Quantification ^np+++??+=Quantification
of ^in++++=of
antimicrobial ^nn+++??+=antimicrobial
diversity ^nn++++=diversity
and ^cc++++=and
Amrs ^np+++??+=AMRs
are ^vb+ber+vrb++=are
key ^jjb+atrb+++=key
components ^nns++++=components
of ^in++++=of
global ^jj+atrb+++=global
antibiotic ^nn+++??+=antibiotic
stewardship ^nn++++=stewardship.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
predicting ^vbg+++xvbg+=predicting
antibiotic ^jj+atrb++??+=antibiotic
resistance ^nn++++=resistance
from ^in++++=from
genetic ^jj+atrb+++=genetic
sequences ^nns++++=sequences
alone ^rb++++=alone
is ^vbz+bez+aux++=is
challenging ^vbg+++xvbgx+=challenging,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
detection ^nn++++=detection
accuracy ^nn++++=accuracy
depends ^vbz++++=depends
on ^in++++=on
the ^ati++++=the
class ^nn++++=class
of ^in++++=of
antibiotics ^nns++++=antibiotics
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
some ^dti++++=some
Amr ^np+++??+=AMR
genes ^nns++++=genes
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
main ^jjb+atrb+++=main
metabolic ^nn+++??+=metabolic
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
are ^vb+ber+aux++=are
uniquely ^rb++splt++=uniquely
used ^vpsv++++=used
to ^in++++=to
metabolize ^nn+++??+=metabolize
antibiotics ^nns++++=antibiotics).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
first ^od++++=first
step ^vb++++=step
toward ^in++++=toward
a ^at++++=a
global ^jj+atrb+++=global
survey ^nn++++=survey
of ^in++++=of
antibiotic ^nn+++??+=antibiotic
resistance ^nn++++=resistance
in ^in++++=in
urban ^jj+atrb+++=urban
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
mapped ^vbd+++xvbn+=mapped
reads ^vbz++++=reads
to ^to++++=to
known ^vbn+vprv++xvbn+=known
antibiotic ^jj+atrb++??+=antibiotic
resistance ^nn++++=resistance
genes ^nns++++=genes,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
Megares ^np+++??+=MegaRES
ontology ^nn+++??+=ontology
and ^cc++++=and
alignment ^nn++++=alignment
software ^nn+++??+=software.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
quantified ^nn+++??+=quantified
their ^pp$+pp3+++=their
relative ^jj+atrb+++=relative
abundance ^nn++++=abundance
using ^xvbg+++xvbg+=using
reads ^vbz++++=reads/kilobase/million
mapped ^vbd+++xvbn+=mapped
reads ^vbz++++=reads
( ^zz++++=(RPKM)
rpkm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
20 ^cd++++=20
classes ^nns++++=classes
of ^in++++=of
antibiotic ^nn+++??+=antibiotic
resistance ^nn++++=resistance
genes ^nns++++=genes
detected ^vwbn+++xvbn+=detected
in ^in++++=in
our ^pp$+pp1+++=our
samples ^nns++++=samples
( ^zz++++=(
Figures ^np++++=Figures
4 ^zz++++=4
A ^at++++=A
and ^cc++++=and
4b ^cd++++=4B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2,210 ^cd++++=2,210
samples ^nns++++=samples
had ^vb+hv+vrb++=had
some ^dti++++=some
sequences ^nns++++=sequences
aligning ^nn+++??+=aligning
to ^in++++=to
an ^at++++=an
Amr ^np+++??+=AMR
gene ^np++++=gene,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
consistent ^nn++++=consistent
core ^vb++++=core
set ^vbd+++xvbn+=set
of ^in++++=of
Amr ^np+++??+=AMR
genes ^nns++++=genes
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
common ^jj+atrb+++=common
classes ^nns++++=classes
of ^in++++=of
antibiotic ^nn+++??+=antibiotic
resistance ^nn++++=resistance
genes ^nns++++=genes
were ^vbd+bed+vrb++=were
for ^in++++=for
macrolides ^nns+++??+=macrolides,
, ^zz++++=EXTRAWORD
lincosamides ^nns+++??+=lincosamides,
, ^zz++++=EXTRAWORD
streptogamines ^nns+++??+=streptogamines
( ^zz++++=(MLS),
mls ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beta ^nn++++=beta-lactams,
- ^zz++++=EXTRAWORD
lactams ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
class ^nn++++=class
of ^in++++=of
antibiotic ^nn+++??+=antibiotic
resistance ^nn++++=resistance
genes ^nns++++=genes,
, ^zz++++=EXTRAWORD
Mls ^np+++??+=MLS,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
only ^rb+down+++=only
56 ^cd++++=56%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
samples ^nns++++=samples
where ^wrb+who+++=where
Amr ^np+++??+=AMR
sequence ^nn++++=sequence
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
quantified ^vb+++??+=quantified
the ^ati++++=the
likely ^jj+atrb+++=likely
mechanisms ^nns++++=mechanisms
of ^in++++=of
identified ^vbd+++xvbn+=identified
antibiotic ^nn+++??+=antibiotic
resistance ^nn++++=resistance
genes ^nns++++=genes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
most ^ap+emph+++=most
prevalent ^jj+atrb+++=prevalent
resistance ^nn++++=resistance
mechanisms ^nns++++=mechanisms
are ^vb+ber+vrb++=are
Ef ^np+++??+=EF-Tu
- ^zz++++=EXTRAWORD
tu ^&fw++++=EXTRAWORD
inhibition ^nn++++=inhibition,
, ^zz++++=EXTRAWORD
23s ^cd++++=23S
rrna ^nn+++??+=rRNA
methyltransferases ^nns+++??+=methyltransferases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
multi ^nn+++??+=multi-drug
- ^zz++++=EXTRAWORD
drug ^nn++++=EXTRAWORD
efflux ^nn++++=efflux
pumps ^nns++++=pumps.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
these ^dt+pdem+++=these
are ^vb+ber+aux++=are
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
more ^rbr++++=more
than ^in++++=than
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
of ^in++++=of
samples ^nns++++=samples
( ^zz++++=(abundance
abundance ^nn++++=EXTRAWORD
and ^cc++++=and
prevalence ^nn+++??+=prevalence
of ^in++++=of
amr ^np++++=AMR
mechanisms ^nns++++=mechanisms
( ^zz++++=(
figures ^nns++++=Figures
s5 ^np++++=S5
a ^at++++=A
and ^cc++++=and
s5b ^np++++=S5B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
