Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
the ^ati++++=the
enhanced ^jj+++xvbn+=enhanced
Ezh2 ^np+++??+=EZH2
activity ^nn++++=activity
underpins ^nns+++??+=underpins
the ^ati++++=the
epigenetic ^nn+++??+=epigenetic
reprograming ^nn+++??+=reprograming
of ^in++++=of
tumor ^nn+++??+=tumor
cells ^nns++++=cells
in ^in++++=in
bone ^nn++++=bone
microenvironment ^nn+++??+=microenvironment
for ^in++++=for
further ^jjb+atrb+++=further
metastases ^nns+++??+=metastases.
. ^zz++++=EXTRAWORD
Ezh2 ^np+++??+=EZH2
maintains ^vbz+vpub+++=maintains
the ^ati++++=the
de ^&fw++++=de-differentiated
- ^zz++++=EXTRAWORD
differentiated ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
stem ^nn++++=stem
cell ^nn++++=cell-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
status ^nn++++=status
of ^in++++=of
breast ^nn++++=breast
cancer ^nn++++=cancer
cells ^nns++++=cells
by ^in++++=by
repressing ^nn+++??+=repressing
the ^ati++++=the
lineage ^nn+++??+=lineage-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
transcriptional ^nn+++??+=transcriptional
programs ^nns+++??+=programs
( ^zz++++=(
Chang ^np++++=Chang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
12 ^cd++++=12.
. ^zz++++=EXTRAWORD
Chang ^np+++??+=Chang,
, ^zz++++=EXTRAWORD
C.j ^np+++??+=C.J.
. ^zz++++=EXTRAWORD
Yang ^np+++??+=Yang,
, ^zz++++=EXTRAWORD
J.y ^np+++??+=J.Y.
. ^zz++++=EXTRAWORD
Xia ^np+++??+=Xia,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ezh2 ^np+++??+=EZH2
promotes ^vbz++++=promotes
expansion ^nn++++=expansion
of ^in++++=of
breast ^nn++++=breast
tumor ^nn+++??+=tumor
initiating ^jj+atrb+++=initiating
cells ^nns++++=cells
through ^in++++=through
activation ^nn+++??+=activation
of ^in++++=of
Raf1 ^np+++??+=RAF1-catenin
- ^zz++++=EXTRAWORD
catenin ^nn+++??+=EXTRAWORD
signaling ^nn+++??+=signaling
Cancer ^nn++++=Cancer
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
19 ^cd++++=19
: ^zz++++=:86-100
86 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(357)
357 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Gonzalez ^np++++=Gonzalez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
24 ^cd++++=24.
. ^zz++++=EXTRAWORD
Gonzalez ^np++++=Gonzalez,
, ^zz++++=EXTRAWORD
M.e ^np+++??+=M.E.
. ^zz++++=EXTRAWORD
Moore ^np++++=Moore,
, ^zz++++=EXTRAWORD
H.m ^np++++=H.M.
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
X ^zz++++=X.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ezh2 ^np+++??+=EZH2
expands ^vbz++++=expands
breast ^nn++++=breast
stem ^nn++++=stem
cells ^nns++++=cells
through ^in++++=through
activation ^nn+++??+=activation
of ^in++++=of
Notch1 ^np+++??+=NOTCH1
signaling ^nn+++??+=signaling
Proc ^np+++??+=Proc.
. ^zz++++=EXTRAWORD
Natl ^np+++??+=Natl.
. ^zz++++=EXTRAWORD
Acad ^np+++??+=Acad.
. ^zz++++=EXTRAWORD
Sci ^np+++??+=Sci.
. ^zz++++=EXTRAWORD
Usa ^np++++=USA.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
111 ^cd++++=111
: ^zz++++=:3098-3103
3098 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
