Quantification ^np+++??+=Quantification
of ^in++++=of
photobleaching ^nn+++??+=photobleaching
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
Fiji ^np+++??+=FiJI
by ^in++++=by
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
mean ^jj+atrb+++=mean
intensities ^nns++++=intensities
of ^in++++=of
regions ^nns++++=regions
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
bleached ^jj+atrb++xvbn+=bleached
areas ^nns++++=areas
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
after ^in++++=after
and ^cc++++=and
30 ^cd++++=30
min ^nnu++++=min
after ^in++++=after
photobleaching ^nn+++??+=photobleaching.
. ^zz++++=EXTRAWORD
The ^ati++++=The
intensity ^nn++++=intensity
values ^nns++++=values
were ^vbd+bed+vrb++=were
normalized ^nn+++??+=normalized
in ^in++++=in
Prism ^np+++??+=Prism
and ^cc++++=and
the ^ati++++=the
average ^jj+atrb+++=average
intensities ^nns++++=intensities
and ^cc++++=and
standard ^jj+atrb+++=standard
deviations ^nns++++=deviations
across ^in+pl+++=across
all ^abn++++=all
experiments ^nns++++=experiments
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
for ^in++++=for
significance ^nn++++=significance
in ^in++++=in
prism ^nn++++=prism
using ^vbg+++xvbg+=using
the ^ati++++=the
t ^zz++++=t
test ^nn++++=test.
. ^zz++++=EXTRAWORD
