Raw ^jj+atrb+++=Raw
image ^nn++++=image
files ^nns++++=files
were ^vbd+bed+aux++=were
imported ^vpsv++agls+xvbnx+=imported
into ^in++++=into
Imaris ^np+++??+=Imaris
( ^zz++++=(Bitplane).
bitplane ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
images ^nns++++=images
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
with ^in++++=with
a ^at++++=a
weighted ^jj+++xvbn+=weighted
Gaussian ^np+++??+=Gaussian
filter ^nn++++=filter.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
individual ^jj+atrb+++=individual
Tiff ^np+++??+=TIFF
generated ^vbd+++xvbn+=generated
frames ^nns++++=frames
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
processed ^vpsv++agls+xvbnx+=processed
with ^in++++=with
a ^at++++=a
blind ^jj+atrb+++=blind
deconvolution ^nn+++??+=deconvolution
program ^nn+++??+=program
written ^vbd+++xvbn+=written
in ^in++++=in
Matlab ^np+++??+=MATLAB
following ^vwbg+++xvbg+=following
processing ^nvbg+++xvbg+=processing
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
ringing ^jj+atrb++xvbg+=ringing
effect ^nn++++=effect
of ^in++++=of
deconvolution ^nn+++??+=deconvolution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Psf ^np+++??+=PSF
of ^in++++=of
the ^ati++++=the
image ^nn++++=image
frame ^nn++++=frame
was ^vbd+bedz+aux++=was
retrieved ^vpsv++agls+xvbnx+=retrieved
during ^in++++=during
the ^ati++++=the
deconvolution ^nn+++??+=deconvolution
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Files ^nns++++=Files
were ^vbd+bed+aux++=were
reassembled ^vpsv++agls+xvbnx+=reassembled
in ^in++++=in
Imaris ^np+++??+=Imaris
and ^cc++++=and
further ^jjb+atrb+++=further
thresholds ^nns+++??+=thresholds
and ^cc++++=and
filters ^vbz+++??+=filters
applied ^vbd+++xvbn+=applied
where ^wrb+who+++=where
necessary ^jj++++=necessary.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
required ^jj+++xvbn+=required,
, ^zz++++=EXTRAWORD
sample ^nn++++=sample
motion ^nn++++=motion
in ^in++++=in
time ^nn++++=time
series ^nn++++=series
data ^nns++++=data
were ^vbd+bed+aux++=were
corrected ^vpsv++agls+xvbnx+=corrected
using ^vbg+++xvbg+=using
the ^ati++++=the
open ^jj+atrb+++=open
source ^nn++++=source
package ^nn++++=package
Galene ^np+++??+=Galene
( ^zz++++=(
Warren ^np++++=Warren
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
75 ^cd++++=75.
