Using ^vbg+++xvbg+=Using
evidence ^nn++++=evidence
derived ^vbd+++xvbn+=derived
from ^in++++=from
expression ^nn++++=expression
data ^nns++++=data,
, ^zz++++=EXTRAWORD
Rnaseq ^np+++??+=RNAseq
data ^nns++++=data
were ^vbd+bed+aux++=were
first ^rb++splt++=first
mapped ^vpsv++agls+xvbnx+=mapped
using ^jj+atrb++xvbg+=using
Star ^nn++++=STAR
( ^zz++++=(
Dobin ^np++++=Dobin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
16 ^cd++++=16.
. ^zz++++=EXTRAWORD
Dobin ^np++++=Dobin,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Davis ^np++++=Davis,
, ^zz++++=EXTRAWORD
C.a ^np+++??+=C.A.
. ^zz++++=EXTRAWORD
Schlesinger ^np+++??+=Schlesinger,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Star ^nn++++=STAR:
: ^zz++++=EXTRAWORD
ultrafast ^nn+++??+=ultrafast
universal ^nn++++=universal
Rna ^np+++??+=RNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
aligner ^nn+++??+=aligner
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
29 ^cd++++=29
: ^zz++++=:15-21
15 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
21 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(17570)
17570 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(version
version ^nn++++=EXTRAWORD
2.7.8a ^cd++++=2.7.8a)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
assembled ^jj+++xvbn+=assembled
into ^in++++=into
transcripts ^nns+++??+=transcripts
by ^in++++=by
Stringtie ^np+++??+=StringTie
( ^zz++++=(
Kovaka ^np++++=Kovaka
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
44 ^cd++++=44.
. ^zz++++=EXTRAWORD
Kovaka ^np+++??+=Kovaka,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Zimin ^np+++??+=Zimin,
, ^zz++++=EXTRAWORD
A.v ^np+++??+=A.V.
. ^zz++++=EXTRAWORD
Pertea ^np+++??+=Pertea,
, ^zz++++=EXTRAWORD
G.m ^np+++??+=G.M.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Transcriptome ^np+++??+=Transcriptome
assembly ^nn++++=assembly
from ^in++++=from
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
Rna ^np+++??+=RNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
alignments ^nns++++=alignments
with ^in++++=with
Stringtie2 ^np+++??+=StringTie2
Genome ^np+++??+=Genome
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
20 ^cd++++=20
: ^zz++++=:278
278 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(288)
288 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(version
version ^nn++++=EXTRAWORD
2.1.5 ^cd++++=2.1.5,
, ^zz++++=EXTRAWORD
parameters ^nns++++=parameters
- ^zz++++=-m
m ^zz++++=EXTRAWORD
150 ^cd++++=150-t
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
- ^zz++++=-f
f ^zz++++=EXTRAWORD
0.3 ^nn+++??+=0.3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Triticeae ^np+++??+=Triticeae
protein ^nn++++=protein
sequences ^nns++++=sequences
from ^in++++=from
available ^jj+atrb+++=available
public ^jj+atrb+++=public
datasets ^nns+++??+=datasets
( ^zz++++=(UniProt,
uniprot ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
https ^nns+++??+=https://www.uniprot.org
: ^zz++++=EXTRAWORD
, ^zz++++=,
05 ^nn+++??+=05/10/2016)
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
against ^in++++=against
the ^ati++++=the
genome ^nn+++??+=genome
sequence ^nn++++=sequence
using ^vwbg+++xvbg+=using
Genomethreader ^np+++??+=GenomeThreader
( ^zz++++=(
Gremme ^np++++=Gremme
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
30 ^cd++++=30.
. ^zz++++=EXTRAWORD
Gremme ^np+++??+=Gremme,
, ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Brendel ^np+++??+=Brendel,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Sparks ^np++++=Sparks,
, ^zz++++=EXTRAWORD
M.e ^np+++??+=M.E.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Engineering ^nn++++=Engineering
a ^at++++=a
software ^nn+++??+=software
tool ^nn++++=tool
for ^in++++=for
gene ^np++++=gene
structure ^nn++++=structure
prediction ^nn++++=prediction
in ^in++++=in
higher ^jjr+atrb+++=higher
organisms ^nns++++=organisms
Inf ^np+++??+=Inf.
. ^zz++++=EXTRAWORD
Software ^np+++??+=Software
Technol ^np+++??+=Technol.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
47 ^cd++++=47
: ^zz++++=:965-978
965 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
978 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(145)
145 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(version
version ^nn++++=EXTRAWORD
1.7.1 ^cd++++=1.7.1;
; ^zz++++=EXTRAWORD
arguments ^nns++++=arguments
- ^zz++++=-startcodon
startcodon ^nn+++??+=EXTRAWORD
- ^zz++++=-finalstopcodon
finalstopcodon ^nn+++??+=EXTRAWORD
- ^zz++++=-species
species ^nn++++=EXTRAWORD
rice ^np++++=rice
- ^zz++++=-gcmincoverage
gcmincoverage ^nn+++??+=EXTRAWORD
70 ^cd++++=70
- ^zz++++=-prseedlength
prseedlength ^nn+++??+=EXTRAWORD
7 ^zz++++=7
- ^zz++++=-prhdist
prhdist ^nn+++??+=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Isoseq ^np+++??+=Isoseq
datasets ^nns+++??+=datasets
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
the ^ati++++=the
genome ^nn+++??+=genome
assembly ^nn++++=assembly
using ^vwbg+++xvbg+=using
Gmap ^np+++??+=GMAP
( ^zz++++=(
Wu ^np++++=Wu
and ^cc++++=and
Watanabe ^np+++??+=Watanabe,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
102 ^cd++++=102.
. ^zz++++=EXTRAWORD
Wu ^np+++??+=Wu,
, ^zz++++=EXTRAWORD
T.d ^npt++++=T.D.
. ^zz++++=EXTRAWORD
Watanabe ^np+++??+=Watanabe,
, ^zz++++=EXTRAWORD
C.k ^np+++??+=C.K.
. ^zz++++=EXTRAWORD
Gmap ^np+++??+=GMAP:
: ^zz++++=EXTRAWORD
a ^at++++=a
genomic ^nn+++??+=genomic
mapping ^nn++++=mapping
and ^cc++++=and
alignment ^nn++++=alignment
program ^nn+++??+=program
for ^in++++=for
mrna ^nn+++??+=mRNA
and ^cc++++=and
Est ^&fw++++=EST
sequences ^nns++++=sequences
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
21 ^cd++++=21
: ^zz++++=:1859-1875
1859 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1875 ^cd+date+++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(1350)
1350 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(version
version ^nn++++=EXTRAWORD
2018 ^cd++++=2018-07-04).
- ^zz++++=EXTRAWORD
07 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
04 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
transcripts ^nns+++??+=transcripts
from ^in++++=from
Rnaseq ^np+++??+=RNAseq,
, ^zz++++=EXTRAWORD
Isoseq ^np+++??+=IsoSeq,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
aligned ^vbd+++xvbn+=aligned
protein ^nn++++=protein
sequences ^nns++++=sequences
were ^vbd+bed+aux++=were
combined ^vpsv++agls+xvbnx+=combined
using ^vbg+++xvbg+=using
Cuffcompare ^np+++??+=Cuffcompare
( ^zz++++=(
Ghosh ^np++++=Ghosh
and ^cc++++=and
Chan ^np+++??+=Chan,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
26 ^cd++++=26.
. ^zz++++=EXTRAWORD
Ghosh ^np+++??+=Ghosh,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Chan ^np+++??+=Chan,
, ^zz++++=EXTRAWORD
C.k ^np+++??+=C.K.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
Rna ^np+++??+=RNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
data ^nns++++=data
using ^vwbg+++xvbg+=using
Tophat ^np+++??+=TopHat
and ^cc++++=and
cufflinks ^nns+++??+=cufflinks
Methods ^nns++++=Methods
Mol ^np+++??+=Mol.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
1374 ^cd++++=1374
: ^zz++++=:339-361
339 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
361 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(307)
307 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(version
version ^nn++++=EXTRAWORD
2.2.1 ^cd++++=2.2.1)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
merged ^vbd+++xvbn+=merged
with ^in++++=with
Stringtie ^np+++??+=StringTie
( ^zz++++=(version
version ^nn++++=EXTRAWORD
2.1.5 ^cd++++=2.1.5,
, ^zz++++=EXTRAWORD
parameters ^nns++++=parameters
-- ^--+clp+++=--merge
merge ^vb++++=EXTRAWORD
- ^zz++++=-m150)
m150 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
pool ^nn++++=pool
of ^in++++=of
candidate ^nn++++=candidate
transcripts ^nns+++??+=transcripts.
. ^zz++++=EXTRAWORD
Transdecoder ^np+++??+=TransDecoder
( ^zz++++=(version
version ^nn++++=EXTRAWORD
5.5.0 ^cd++++=5.5.0;
; ^zz++++=EXTRAWORD
http ^nn+++??+=http://transdecoder.github.io
: ^zz++++=EXTRAWORD
) ^zz++++=)
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
find ^vb+vprv+++=find
potential ^jj+atrb+++=potential
open ^jj+atrb+++=open
reading ^jj+atrb++xvbg+=reading
frames ^nns++++=frames
and ^cc++++=and
to ^to++++=to
predict ^vbi+vpub+++=predict
protein ^nn++++=protein
sequences ^nns++++=sequences
within ^in++++=within
the ^ati++++=the
candidate ^nn++++=candidate
transcript ^nn++++=transcript
set ^nn++++=set.
. ^zz++++=EXTRAWORD
