Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
optogenetically ^nn+++??+=optogenetically
activating ^nn+++??+=activating
this ^dt+dem+++=this
pathway ^nn++++=pathway
did ^vbd+dod+aux++=did
not ^xnot++not++=not
induce ^vb++++=induce
appetitive ^nn+++??+=appetitive
( ^zz++++=(or
or ^cc++++=EXTRAWORD
aversive ^nn+++??+=aversive)
) ^zz++++=EXTRAWORD
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
affect ^vb++++=affect
animals ^nns++++=animals
locomotion ^nn+++??+=locomotion
in ^in++++=in
the ^ati++++=the
Rtpp ^np+++??+=RTPP/A
test ^nn++++=test
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
H ^zz++++=H
S4l ^np+++??+=S4L).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Activating ^np+++??+=Activating
this ^dt+dem+++=this
pathway ^nn++++=pathway
also ^rb++++=also
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
support ^vbi++++=support
self ^nn++++=self-stimulation
- ^zz++++=EXTRAWORD
stimulation ^nn++++=EXTRAWORD
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
M ^zz++++=M
S4o ^np+++??+=S4O).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
test ^nn++++=test
whether ^cs+who+++=whether
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS
activation ^nn+++??+=activation
promotes ^vbz++++=promotes
consumption ^nn++++=consumption,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
activated ^nn+++??+=activated
the ^ati++++=the
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS
pathway ^nn++++=pathway
in ^in++++=in
hungry ^jj+atrb+++=hungry
or ^cc+phrs+++=or
thirsty ^jj+atrb+++=thirsty
mice ^nns++++=mice
in ^in++++=in
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
food ^nn++++=food
or ^cc++++=or
water ^nn++++=water,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
activation ^nn+++??+=activation
did ^vbd+dod+aux++=did
not ^xnot++not++=not
increase ^vb++++=increase
food ^nn++++=food
or ^cc++++=or
water ^nn++++=water
intake ^nn++++=intake
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
P ^zz++++=P
and ^cc++++=and
S4q ^np+++??+=S4Q).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
separate ^vb++++=separate
test ^nn++++=test,
, ^zz++++=EXTRAWORD
activating ^nn+++??+=activating
this ^dt+dem+++=this
pathway ^nn++++=pathway
also ^rb++++=also
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
ad ^&fw++++=ad
libitum ^nn+++??+=libitum
sucrose ^nn+++??+=sucrose
consumption ^nn++++=consumption
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
F ^zz++++=F
and ^cc++++=and
S4r ^np+++??+=S4R).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS
activity ^nn++++=activity
does ^vbz+doz+aux++=does
not ^xnot++not++=not
produce ^vb++++=produce
valence ^nn+++??+=valence,
, ^zz++++=EXTRAWORD
affect ^vb++++=affect
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
influence ^nn++++=influence
food ^nn++++=food
and ^cc++++=and
liquid ^jj+atrb+++=liquid
consumption ^nn++++=consumption.
. ^zz++++=EXTRAWORD
