One ^cd1++++=One
concern ^nn++++=concern
with ^in++++=with
fostering ^nn+++??+=fostering
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
T ^zz++++=T
Eff ^np+++??+=EFF
is ^vbz+bez+vrb++=is
the ^ati++++=the
preventing ^jj+++xvbg+=preventing
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
T ^zz++++=T
Mem ^np+++??+=MEM
. ^zz++++=.
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
next ^ap++++=next
examined ^jj+atrb++xvbn+=examined
formation ^nn++++=formation
of ^in++++=of
Fli1 ^np+++??+=Fli1-deficient
- ^zz++++=EXTRAWORD
deficient ^jj+atrb+++=EXTRAWORD
T ^zz++++=T
Mem ^np+++??+=MEM
1 ^zz++++=1
month ^nn++++=month
p.i ^nn+++??+=p.i.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Klrg1 ^np+++??+=KLRG1
Hi ^uh++++=Hi
effector ^nn+++??+=effector
memory ^nn++++=memory
C9p14 ^np+++??+=C9P14
cells ^nns++++=cells
remained ^vbd+++xvbn+=remained
higher ^jjr++++=higher
in ^in++++=in
the ^ati++++=the
sgfli1 ^nn+++??+=sgFli1
+ ^zz++++=+
C9p14 ^np+++??+=C9P14
group ^nn++++=group
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
sgctrl ^nn+++??+=sgCtrl
+ ^zz++++=+
group ^nn++++=group
on ^in++++=on
day ^nn++++=day
29 ^cd++++=29
p.i ^nn+++??+=p.i.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
Cd127 ^np+++??+=CD127
Hi ^uh++++=Hi
T ^zz++++=T
Mem ^np+++??+=MEM
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time
point ^nn++++=point
was ^vbd+bedz+vrb++=was
similar ^jj+pred+++=similar
between ^in++++=between
the ^ati++++=the
groups ^nns++++=groups
( ^zz++++=(
Figures ^np++++=Figures
S3 ^np+++??+=S3
E ^zz++++=E
and ^cc++++=and
S3f ^np+++??+=S3F),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
robust ^jj+atrb+++=robust
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
Krlg1 ^np+++??+=KRLG1
Hi ^uh++++=HI
T ^zz++++=T
Eff ^np+++??+=EFF
populations ^nns++++=populations
generated ^vbd+++xvbn+=generated
in ^in++++=in
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
Fli1 ^np+++??+=Fli1
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
compromise ^nn++++=compromise
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
T ^zz++++=T
Mem ^np+++??+=MEM
. ^zz++++=.
To ^in++++=To
further ^jjb+atrb+++=further
interrogate ^nn+++??+=interrogate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
Fli1 ^np+++??+=Fli1
deficiency ^nn++++=deficiency
on ^rp++++=on
T ^zz++++=T
Mem ^np+++??+=MEM
, ^zz++++=,
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
expression ^nn++++=expression
of ^in++++=of
pro ^nn++++=pro-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
anti ^nn+++??+=anti-apoptotic
- ^zz++++=EXTRAWORD
apoptotic ^nn+++??+=EXTRAWORD
molecules ^nns++++=molecules,
, ^zz++++=EXTRAWORD
Bcl ^np+++??+=Bcl-2,
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
