Raw ^jj+atrb+++=Raw
Atacseq ^np+++??+=ATACseq
Fastq ^np+++??+=FASTQ
files ^nns++++=files
from ^in++++=from
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
sequencing ^nn+++??+=sequencing
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
using ^vbg+++xvbg+=using
the ^ati++++=the
script ^nn++++=script
available ^jj++++=available
at ^in++++=at
the ^ati++++=the
following ^jj+atrb++xvbg+=following
repository ^nn++++=repository
( ^zz++++=(
https ^nns+++??+=https://github.com/wherrylab/jogiles_ATAC
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
the ^ati++++=the
Grcm38 ^np+++??+=GRCm38/mm10
reference ^nn++++=reference
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
Bowtie2 ^np+++??+=Bowtie2.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
samtools ^nns+++??+=samtools
to ^to++++=to
remove ^vbi++++=remove
unmapped ^nn+++??+=unmapped,
, ^zz++++=EXTRAWORD
unpaired ^nn+++??+=unpaired,
, ^zz++++=EXTRAWORD
mitochondrial ^nn+++??+=mitochondrial
reads ^vbz++++=reads.
. ^zz++++=EXTRAWORD
Encode ^np+++??+=ENCODE
blacklist ^nn+++??+=blacklist
regions ^nns++++=regions
were ^vbd+bed+aux++=were
also ^rb++splt++=also
removed ^vpsv++agls+xvbnx+=removed
( ^zz++++=(
https ^nns+++??+=https://sites.google.com/site/anshulkundaje/projects/blackli
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Pcr ^np+++??+=PCR
duplicates ^nns++++=duplicates
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
using ^vbg+++xvbg+=using
Picard ^np+++??+=Picard.
. ^zz++++=EXTRAWORD
Peak ^nn++++=Peak
calling ^vwbg+++xvbg+=calling
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Macs ^np+++??+=MACS
v2 ^nn+++??+=v2
( ^zz++++=(FDR
fdr ^nn+++??+=EXTRAWORD
q ^zz++++=q-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
0.01 ^nn+++??+=0.01).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
experiment ^nn++++=experiment,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
combined ^vbd+++xvbn+=combined
peaks ^nns++++=peaks
of ^in++++=of
all ^abn++++=all
samples ^nns++++=samples
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
union ^nn++++=union
peak ^nn++++=peak
list ^nn++++=list
and ^cc++++=and
merged ^xvbn+++xvbn+=merged
overlapping ^jj+atrb++xvbg+=overlapping
peaks ^nns++++=peaks
with ^in++++=with
Bedtools ^np+++??+=BedTools
merge ^vb++++=merge
. ^zz++++=.
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
reads ^nn++++=reads
in ^in++++=in
each ^ppls++++=each
peak ^np++++=peak
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
using ^vbg+++xvbg+=using
Bedtools ^np+++??+=BedTools
coverage ^nn++++=coverage.
. ^zz++++=EXTRAWORD
Differentially ^np+++??+=Differentially
accessible ^jj+atrb+++=accessible
regions ^nns++++=regions
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
following ^jj+++xvbg+=following
Deseq2 ^np+++??+=DESeq2
normalization ^nn+++??+=normalization
using ^vwbg+++xvbg+=using
an ^at++++=an
Fdr ^np+++??+=FDR
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
< ^zz++++=<
0.05 ^nn+++??+=0.05
unless ^cs+cnd+++=unless
otherwise ^rb+cnj+++=otherwise
indicated ^vbd+vprv++xvbn+=indicated.
. ^zz++++=EXTRAWORD
Motif ^nn++++=Motif
enrichment ^nn++++=enrichment
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
Homer ^np++++=HOMER
( ^zz++++=(default
default ^nn+++??+=EXTRAWORD
parameters ^nns++++=parameters)
) ^zz++++=EXTRAWORD
on ^in++++=on
peaks ^nns++++=peaks
differentially ^rb++++=differentially
accessible ^jj++++=accessible
across ^in+pl+++=across
sgctrl ^nn+++??+=sgCtrl
group ^nn++++=group
and ^cc++++=and
sgfli1 ^jj+atrb++??+=sgFli1
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Transcription ^np+++??+=Transcription
binding ^jj+atrb+++=binding
site ^nn++++=site
prediction ^nn++++=prediction
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbn+=performed
using ^vbg+++xvbg+=using
known ^vprf+++xvbn+=known
motif ^nn++++=motif
discovery ^nn++++=discovery
strategy ^nn++++=strategy.
. ^zz++++=EXTRAWORD
