Since ^cs+sub+++=Since
humans ^nns++++=humans
are ^vb+ber+vrb++=are
a ^at++++=a
major ^jj+atrb+++=major
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
urban ^jj+atrb+++=urban
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dna ^np+++??+=DNA
in ^in++++=in
our ^pp$+pp1+++=our
samples ^nns++++=samples
could ^md+pos+++=could
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
resemble ^vbi++++=resemble
commensal ^nn+++??+=commensal
human ^jj+atrb+++=human
microbiomes ^nns+++??+=microbiomes.
. ^zz++++=EXTRAWORD
To ^to++++=To
investigate ^vbi++++=investigate
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
compared ^vbd+++xvbn+=compared
non ^&fw++++=non-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
Dna ^np+++??+=DNA
fragments ^nns++++=fragments
from ^in++++=from
our ^pp$+pp1+++=our
samples ^nns++++=samples
to ^to++++=to
50 ^cd++++=50
randomly ^rb++++=randomly
selected ^xvbn+++xvbn+=selected
samples ^nns++++=samples
from ^in++++=from
five ^cd++++=five
commensal ^nn+++??+=commensal
microbiome ^nn+++??+=microbiome
sites ^nns++++=sites
( ^zz++++=(stool,
stool ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
airway ^nn++++=airway,
, ^zz++++=EXTRAWORD
gastrointestinal ^nn+++??+=gastrointestinal
tract ^nn++++=tract,
, ^zz++++=EXTRAWORD
urogenital ^nn+++??+=urogenital
tract ^nn++++=tract;
; ^zz++++=EXTRAWORD
10 ^cd++++=10
samples ^nns++++=samples
of ^in++++=of
each ^dt++++=each
type ^nn++++=type)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Human ^jj+atrb+++=Human
Microbiome ^np+++??+=Microbiome
Project ^nn++++=Project
( ^zz++++=(HMP)
hmp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(
Consortium ^np++++=Consortium
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
16 ^cd++++=16.
. ^zz++++=EXTRAWORD
Consortium ^nn++++=Consortium,
, ^zz++++=EXTRAWORD
T.h.m.p ^np+++??+=T.H.M.P.
. ^zz++++=EXTRAWORD
Human ^jj++++=Human,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Project ^nn++++=Project,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
. ^zz++++=...,
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Human ^jj+atrb+++=Human
Microbiome ^np+++??+=Microbiome
Project ^nn++++=Project
Consortium ^nn++++=Consortium
Structure ^nn++++=Structure,
, ^zz++++=EXTRAWORD
function ^nn++++=function
and ^cc++++=and
diversity ^nn++++=diversity
