Having ^xvbg+++xvbg+=Having
established ^vbn+vprv+tht0+xvbn+=established
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
Tsa ^np+++??+=TSA,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
minimal ^jj+atrb+++=minimal
dense ^jj+atrb+++=dense
chromatin ^nn+++??+=chromatin
formation ^nn++++=formation
in ^in++++=in
the ^ati++++=the
nucleoplasm ^nn+++??+=nucleoplasm
outside ^in+cmpx+++=outside
of ^in"++++=of
chromocenters ^nns+++??+=chromocenters,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assessed ^vbd+++xvbn+=assessed
the ^ati++++=the
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
hyperacetylated ^nn+++??+=hyperacetylated
chromatin ^nn+++??+=chromatin
using ^vwbg+++xvbg+=using
time ^nn++++=time-lapse
- ^zz++++=EXTRAWORD
lapse ^nn++++=EXTRAWORD
microscopy ^nn++++=microscopy
and ^cc++++=and
Frap ^np+++??+=FRAP.
. ^zz++++=EXTRAWORD
After ^in++++=After
Tsa ^np+++??+=TSA
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chromocenters ^nn++++=chromocenters
persisted ^vbd+++xvbn+=persisted
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
A ^at++++=A),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
expected ^nn++++=expected
from ^in++++=from
the ^ati++++=the
transmission ^nn++++=transmission
electron ^nn++++=electron
microscopy ^nn++++=microscopy
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
disassembly ^nn+++??+=disassembly
of ^in++++=of
the ^ati++++=the
condensed ^nn++++=condensed
chromatin ^vb+++??+=chromatin
found ^vbd+vprv++xvbn+=found
throughout ^in++++=throughout
the ^ati++++=the
nucleoplasm ^nn+++??+=nucleoplasm,
, ^zz++++=EXTRAWORD
in ^in++++=in
cells ^nns++++=cells
where ^wrb+who+++=where
euchromatin ^vb+++??+=euchromatin
incorporated ^vbd+++xvbn+=incorporated
the ^ati++++=the
label ^nn++++=label
during ^in++++=during
the ^ati++++=the
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
labeled ^nn+++??+=labeled
chromatin ^nn+++??+=chromatin
still ^rb++++=still
persisted ^vbd+++xvbn+=persisted
as ^ql++++=as
numerous ^jj++++=numerous
independently ^rb++++=independently
visible ^jj+atrb+++=visible
foci ^nns++++=foci
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
B ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
these ^dt+dem+++=these
foci ^nns++++=foci
