Nucleosomal ^np+++??+=Nucleosomal
arrays ^nns++++=arrays
were ^vbd+bed+vrb++=were
reconstituted ^nn+++??+=reconstituted
from ^in++++=from
the ^ati++++=the
601 ^cd++++=601-207
- ^zz++++=EXTRAWORD
207 ^cd++++=EXTRAWORD
bp ^nn+++??+=bp
x ^zz++++=x
12 ^cd++++=12
Dna ^np+++??+=DNA
and ^cc++++=and
purified ^vprf+++xvbn+=purified
histone ^nn+++??+=histone
octamers ^nns+++??+=octamers
using ^vwbg+++xvbg+=using
a ^at++++=a
salt ^jj+atrb+++=salt
dialysis ^nns+++??+=dialysis
protocol ^nn++++=protocol.
. ^zz++++=EXTRAWORD
Unlabeled ^np+++??+=Unlabeled
and ^cc++++=and
fluorescently ^nn+++??+=fluorescently
labeled ^nn+++??+=labeled
histone ^nn+++??+=histone
octamers ^nns+++??+=octamers
were ^vbd+bed+aux++=were
combined ^vpsv++agls+xvbnx+=combined
at ^rb++++=at
a ^at++++=a
ratio ^nn++++=ratio
of ^in++++=of
1:20 ^cd++++=1:20
labeled ^nn+++??+=labeled
to ^in++++=to
unlabeled ^nn+++??+=unlabeled
octamer ^nn+++??+=octamer
prior ^in+cmpx+++=prior
to ^in++++=to
reconstitution ^nn+++??+=reconstitution.
. ^zz++++=EXTRAWORD
Purified ^np+++??+=Purified
template ^nn++++=template
Dna ^np+++??+=DNA
and ^cc++++=and
histone ^nn+++??+=histone
octamers ^nns+++??+=octamers
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed
in ^in++++=in
Te ^np+++??+=TE
buffer ^nn++++=buffer
( ^zz++++=(10mM
10mm ^cd++++=EXTRAWORD
Tris ^np+++??+=Tris
ph ^nn++++=pH
7.8 ^cd++++=7.8,
, ^zz++++=EXTRAWORD
1mm ^cd++++=1mM
Edta ^np+++??+=EDTA)
) ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
2m ^cd++++=2M
Nacl ^np+++??+=NaCl
at ^in++++=at
a ^at++++=a
final ^jj+atrb+++=final
Dna ^np+++??+=DNA
concentration ^nn++++=concentration
of ^in++++=of
0.3 ^nn+++??+=0.3
mg ^nnu++++=mg/ml.
The ^ati++++=The
mixture ^nn++++=mixture
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
dialyzed ^nn+++??+=dialyzed
successively ^rb++++=successively
for ^in++++=for
4 ^zz++++=4
h ^zz++++=h
against ^in++++=against
Te ^np+++??+=TE
buffer ^nn++++=buffer
containing ^vwbg+++xvbg+=containing
1.0m ^cd++++=1.0M,
, ^zz++++=EXTRAWORD
0.75m ^nn+++??+=0.75M
and ^cc++++=and
2.5 ^cd++++=2.5
mm ^nnu++++=mM
Nacl ^np+++??+=NaCl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
final ^jj+atrb+++=final
dialysis ^nns+++??+=dialysis
step ^vb++++=step
was ^vbd+bedz+vrb++=was
against ^in++++=against
10mm ^cd++++=10mM
Tris ^np+++??+=Tris
ph ^nn++++=pH
7.8 ^cd++++=7.8,
, ^zz++++=EXTRAWORD
0.25mm ^nn+++??+=0.25mM
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
2.5mm ^cd++++=2.5mM
Nacl ^np+++??+=NaCl,
, ^zz++++=EXTRAWORD
0.1mm ^nn+++??+=0.1mM
Pmsf ^np+++??+=PMSF
( ^zz++++=(TEN)
ten ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
buffer ^nn++++=buffer
for ^in++++=for
4 ^zz++++=4
h ^zz++++=h.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
nucleosomal ^nn+++??+=nucleosomal
arrays ^nns++++=arrays
that ^tht+rel+obj++=that
sedimented ^nn+++??+=sedimented
at ^rb++++=at
27 ^cd++++=27-29S
- ^zz++++=EXTRAWORD
29s ^cd++++=EXTRAWORD
and ^cc++++=and
contained ^vbd+++xvbn+=contained
11 ^cd++++=11-12
- ^zz++++=EXTRAWORD
12 ^cd++++=EXTRAWORD
histone ^nn+++??+=histone
octamers ^nns+++??+=octamers/DNA
template ^nn++++=template
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
subsequent ^jj+atrb+++=subsequent
experiments ^nns++++=experiments.
. ^zz++++=EXTRAWORD
Sedimentation ^np+++??+=Sedimentation
coefficients ^nns++++=coefficients
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
using ^vbg+++xvbg+=using
a ^at++++=a
Beckman ^np+++??+=Beckman
Xl ^np+++??+=XL-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
analytical ^jj+atrb+++=analytical
ultracentrifuge ^nn+++??+=ultracentrifuge.
. ^zz++++=EXTRAWORD
Sedimentation ^np+++??+=Sedimentation
velocity ^nn++++=velocity
data ^nns++++=data
were ^vbd+bed+aux++=were
edited ^vpsv++agls+xvbn+=edited
and ^cc++++=and
analyzed ^nn++++=analyzed
with ^in++++=with
the ^ati++++=the
ultrascan ^np++++=UltraScan
iii ^np++++=III
program ^nn++++=program.
. ^zz++++=EXTRAWORD
