Bhk ^np+++??+=BHK-21
- ^zz++++=EXTRAWORD
21 ^cd++++=EXTRAWORD
( ^zz++++=(hamster,
hamster ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
male ^jj+atrb+++=male
origin ^nn++++=origin;
; ^zz++++=EXTRAWORD
Atcc ^np+++??+=ATCC)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Vero ^np+++??+=Vero
( ^zz++++=(monkey,
monkey ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
female ^nn++++=female
origin ^nn++++=origin;
; ^zz++++=EXTRAWORD
Atcc ^np+++??+=ATCC)
) ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
Dmem ^np+++??+=DMEM
( ^zz++++=(GIBCO)
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
heat ^nn++++=heat-inactivated
- ^zz++++=EXTRAWORD
inactivated ^nn+++??+=EXTRAWORD
Fbs ^np+++??+=FBS
( ^zz++++=(Thermo
thermo ^nn+++??+=EXTRAWORD
Fisher ^np++++=Fisher
Scientific ^jj++++=Scientific)
) ^zz++++=EXTRAWORD
at ^rb++++=at
37 ^cd++++=37
C ^zz++++=C
in ^in++++=in
a ^at++++=a
humidified ^nn+++??+=humidified
atmosphere ^nn++++=atmosphere
of ^in++++=of
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
Co ^nn++++=CO
2 ^zz++++=2
. ^zz++++=.
Hmaa ^np+++??+=HMAA
2.5 ^cd++++=2.5
cells ^nns++++=cells
( ^zz++++=(mouse-human,
mouse ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
human ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gender ^nn++++=gender
information ^nn++++=information
not ^xnot++not++=not
available ^jj++++=available;
; ^zz++++=EXTRAWORD
kindly ^rb++++=kindly
provided ^vpsv++by+xvbn+=provided
by ^in++++=by
Lisa ^np++++=Lisa
Cavacini ^np+++??+=Cavacini)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
non ^&fw++++=non-secreting
- ^zz++++=EXTRAWORD
secreting ^nn+++??+=EXTRAWORD
myeloma ^nn+++??+=myeloma
cell ^nn++++=cell
line ^nn++++=line
and ^cc++++=and
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
Clonacell ^np+++??+=ClonaCell
- ^zz++++=-HY
hy ^nn+++??+=EXTRAWORD
Medium ^jjb++++=Medium
A ^at++++=A
( ^zz++++=(Stem
stem ^nn++++=EXTRAWORD
Cell ^nn++++=Cell
Technologies ^np+++??+=Technologies)
) ^zz++++=EXTRAWORD
at ^rb++++=at
37 ^cd++++=37
C ^zz++++=C
in ^in++++=in
a ^at++++=a
humidified ^nn+++??+=humidified
atmosphere ^nn++++=atmosphere
of ^in++++=of
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
Co ^nn++++=CO
2 ^zz++++=2
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
( ^zz++++=(
Yu ^np++++=Yu
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008a ^cd++++=2008a
99 ^cd++++=99.
. ^zz++++=EXTRAWORD
Yu ^np+++??+=Yu,
, ^zz++++=EXTRAWORD
X ^zz++++=X.
. ^zz++++=EXTRAWORD
Mcgraw ^np+++??+=McGraw,
, ^zz++++=EXTRAWORD
P.a ^nnu++++=P.A.
. ^zz++++=EXTRAWORD
House ^npl++++=House,
, ^zz++++=EXTRAWORD
F.s ^np+++??+=F.S.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
An ^at++++=An
optimized ^nn+++??+=optimized
electrofusion ^nn+++??+=electrofusion-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
protocol ^nn++++=protocol
for ^in++++=for
generating ^xvbg+++xvbg+=generating
virus ^nn++++=virus-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
human ^jj+atrb+++=human
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Immunol ^np+++??+=Immunol.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
336 ^cd++++=336
: ^zz++++=:142-151
142 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
151 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(89)
89 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
, ^zz++++=,
2008b ^cd++++=2008b
100 ^cd++++=100.
. ^zz++++=EXTRAWORD
Yu ^np+++??+=Yu,
, ^zz++++=EXTRAWORD
X ^zz++++=X.
. ^zz++++=EXTRAWORD
Tsibane ^np+++??+=Tsibane,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Mcgraw ^np+++??+=McGraw,
, ^zz++++=EXTRAWORD
P.a ^nnu++++=P.A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Neutralizing ^np+++??+=Neutralizing
antibodies ^nns++++=antibodies
derived ^vbd+++xvbn+=derived
from ^in++++=from
the ^ati++++=the
B ^zz++++=B
cells ^nns++++=cells
of ^in++++=of
1918 ^cd+date+++=1918
influenza ^nn++++=influenza
pandemic ^nn+++??+=pandemic
survivors ^nns++++=survivors
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
455 ^cd++++=455
: ^zz++++=:532-536
532 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
536 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(283)
283 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
B95.8 ^np+++??+=B95.8
( ^zz++++=(monkey,
monkey ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gender ^nn++++=gender
information ^nn++++=information
not ^xnot++not++=not
available ^jj++++=available;
; ^zz++++=EXTRAWORD
Atcc ^np+++??+=ATCC)
) ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
cultured ^vpsv++agls+xvbnx+=cultured
in ^in++++=in
Medium ^jjb++++=Medium
A ^at++++=A
for ^in++++=for
collection ^nn++++=collection
of ^in++++=of
supernatants ^nns+++??+=supernatants
containing ^vwbg+++xvbg+=containing
Epstein ^np+++??+=Epstein-Barr
- ^zz++++=EXTRAWORD
barr ^np++++=EXTRAWORD
virus ^nn++++=virus
( ^zz++++=(EBV).
ebv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Expi293f ^np+++??+=Expi293F
( ^zz++++=(human,
human ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
female ^nn++++=female
origin ^nn++++=origin;
; ^zz++++=EXTRAWORD
Thermo ^np+++??+=Thermo
Fisher ^np++++=Fisher
Scientific ^jj++++=Scientific)
) ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
Expi293 ^np+++??+=Expi293
expression ^nn++++=expression
medium ^nn++++=medium
( ^zz++++=(GIBCO)
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
Freestyle ^np+++??+=Freestyle
F17 ^np+++??+=F17
medium ^nn++++=medium
( ^zz++++=(GIBCO)
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
supplemented ^vbd+++xvbn+=supplemented
with ^in++++=with
4 ^zz++++=4
mm ^nnu++++=mM
L ^zz++++=L-glutamine
- ^zz++++=EXTRAWORD
glutamine ^nn+++??+=EXTRAWORD
( ^zz++++=(GIBCO)
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
0.1 ^nn+++??+=0.1%
% ^zz++++=EXTRAWORD
pluronic ^nn+++??+=pluronic
F ^zz++++=F-68
- ^zz++++=EXTRAWORD
68 ^cd++++=EXTRAWORD
( ^zz++++=(GIBCO)
