Using ^vbg+++xvbg+=Using
the ^ati++++=the
Hcsra ^np+++??+=HCSRA,
, ^zz++++=EXTRAWORD
the ^ati++++=the
t ^zz++++=t
50 ^cd++++=50
for ^in++++=for
all ^abn++++=all
self ^nn++++=self
and ^cc++++=and
pairwise ^nn+++??+=pairwise
helixcam ^nn+++??+=helixCAM
interactions ^nns++++=interactions
were ^vbd+bed+aux++=were
measured ^vpsv++agls+xvbnx+=measured,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
interactions ^nns++++=interactions
with ^in++++=with
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
K562 ^np+++??+=K562
cells ^nns++++=cells
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
B ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
t ^zz++++=t
50 ^cd++++=50
values ^nns++++=values
for ^in++++=for
interactions ^nns++++=interactions
between ^in++++=between
the ^ati++++=the
original ^jj++++=original
six ^cd++++=six
helixcams ^vbz+++??+=helixCAMs
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
interaction ^nn++++=interaction
frequencies ^nns++++=frequencies
derived ^vbd+++xvbn+=derived
from ^in++++=from
microscopy ^nn++++=microscopy
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
C ^zz++++=C),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
R ^zz++++=R
2 ^zz++++=2
of ^in++++=of
0.624 ^nn+++??+=0.624
and ^cc++++=and
a ^at++++=a
linear ^jj+atrb+++=linear
model ^nn++++=model
p ^zz++++=p
value ^nn++++=value
of ^in++++=of
0.0005 ^nn+++??+=0.0005.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agreement ^nn++++=agreement
of ^in++++=of
the ^ati++++=the
Hcsra ^np+++??+=HCSRA
t ^zz++++=t
50 ^cd++++=50
values ^nns++++=values
to ^in++++=to
the ^ati++++=the
microscopy ^nn++++=microscopy-derived
- ^zz++++=EXTRAWORD
derived ^vbd+++xvbn+=EXTRAWORD
interaction ^nn++++=interaction
frequency ^nn++++=frequency
supports ^vbz++++=supports
the ^ati++++=the
intended ^jj+atrb++xvbn+=intended
function ^nn++++=function
of ^in++++=of
Hcsra ^np+++??+=HCSRA
as ^in++++=as
a ^at++++=a
readout ^nn+++??+=readout
for ^in++++=for
the ^ati++++=the
affinity ^nn++++=affinity
between ^in++++=between
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv+tht0+xvbn+=observed
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
agreement ^nn++++=agreement
with ^in++++=with
microscopy ^nn++++=microscopy
observations ^nns++++=observations,
, ^zz++++=EXTRAWORD
both ^abx++++=both
library ^nn++++=library-derived
- ^zz++++=EXTRAWORD
derived ^vbd+++xvbn+=EXTRAWORD
helixcam ^nn+++??+=helixCAM
pairs ^nns++++=pairs
demonstrated ^vbd+vprv++xvbn+=demonstrated
high ^np++++=high
affinity ^nn++++=affinity
and ^cc++++=and
specificity ^nn++++=specificity
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
D ^zz++++=D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^nn++++=mean
Hcsra ^np+++??+=HCSRA
value ^nn++++=value
measured ^vbd+++xvbn+=measured
for ^in++++=for
the ^ati++++=the
sg30 ^nn+++??+=sg30/sg61
pair ^nn++++=pair
surpasses ^vbz++++=surpasses
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
previous ^jj++++=previous
highest ^jjt++++=highest-affinity
- ^zz++++=EXTRAWORD
affinity ^nn++++=EXTRAWORD
pair ^nn++++=pair,
, ^zz++++=EXTRAWORD
Z17 ^np+++??+=Z17/Z18
( ^zz++++=(3.43
3.43 ^cd++++=EXTRAWORD
2.38 ^cd++++=2.38
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
p ^zz++++=p
value ^nn++++=value
= ^zz++++==
0.19 ^nn++++=0.19).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
