Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
report ^nn++++=report
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
and ^cc++++=and
contiguous ^nns+++??+=contiguous
chromosome ^nn++++=chromosome-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
reference ^nn++++=reference
genomes ^nns+++??+=genomes
for ^in++++=for
three ^cd++++=three
species ^nn++++=species
with ^in++++=with
repeat ^vb++++=repeat-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
holocentromeres ^nns+++??+=holocentromeres,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
, ^zz++++=,
R ^zz++++=R.
. ^zz++++=EXTRAWORD
breviuscula ^nn+++??+=breviuscula
, ^zz++++=,
and ^cc+cls+++=and
R ^zz++++=R.
. ^zz++++=EXTRAWORD
tenuis ^nns+++??+=tenuis
, ^zz++++=,
and ^cc+cls+++=and
their ^pp$+pp3+++=their
closest ^jjt+atrb+++=closest
monocentric ^nn+++??+=monocentric
relative ^jj++++=relative,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
effusus ^nns+++??+=effusus
. ^zz++++=.
These ^dt+dem+++=These
newly ^rb++++=newly
assembled ^xvbn+++xvbn+=assembled
genomes ^nns+++??+=genomes
provide ^vb+vsua+++=provide
a ^at++++=a
valuable ^jj+atrb+++=valuable
resource ^nn++++=resource
for ^in++++=for
comparative ^jj+atrb+++=comparative
biology ^nn++++=biology
and ^cc++++=and
studies ^nns++++=studies
related ^vpsv++agls+xvbn+=related
to ^in++++=to
genome ^nn++++=genome
adaptation ^nn++++=adaptation
to ^in++++=to
different ^jj+atrb+++=different
centromere ^nn++++=centromere
types ^nns++++=types.
. ^zz++++=EXTRAWORD
