Cancer ^nn++++=Cancer
cells ^nns++++=cells
may ^md+pos+++=may
enter ^vb++++=enter
circulation ^nn++++=circulation
and ^cc++++=and
seed ^nn++++=seed
other ^ap++++=other
tumor ^nn+++??+=tumor
lesions ^nns+++??+=lesions
or ^cc++++=or
re ^in++++=re-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
the ^ati++++=the
original ^nn++++=original
tumors ^nns+++??+=tumors
( ^zz++++=(
Kim ^np++++=Kim
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
35 ^cd++++=35.
. ^zz++++=EXTRAWORD
Kim ^np++++=Kim,
, ^zz++++=EXTRAWORD
M.y ^np+++??+=M.Y.
. ^zz++++=EXTRAWORD
Oskarsson ^np+++??+=Oskarsson,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Acharyya ^np+++??+=Acharyya,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tumor ^np+++??+=Tumor
self ^nn++++=self-seeding
- ^zz++++=EXTRAWORD
seeding ^jj++++=EXTRAWORD
by ^in++++=by
circulating ^xvbg+++xvbg+=circulating
cancer ^nn++++=cancer
cells ^nns++++=cells
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
139 ^cd++++=139
: ^zz++++=:1315-1326
1315 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1326 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(1136)
1136 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
By ^in++++=By
using ^xvbg+++xvbg+=using
Mda ^np+++??+=MDA-MB-231
- ^zz++++=EXTRAWORD
mb ^nnu++++=EXTRAWORD
- ^zz++++=EXTRAWORD
231 ^cd++++=EXTRAWORD
cells ^nns++++=cells
tagged ^vprf+++xvbn+=tagged
with ^in++++=with
different ^jj+atrb+++=different
fluorescent ^jj+atrb+++=fluorescent
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
bone ^nn++++=bone
lesions ^nns+++??+=lesions
can ^md+pos+++=can
cross ^jj++++=cross-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
mammary ^nn+++??+=mammary
tumors ^nns+++??+=tumors
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
although ^cs+con+++=although
orthotopic ^nn+++??+=orthotopic
tumors ^nns+++??+=tumors
can ^md+pos+++=can
be ^vb+be+vrb++=be
readily ^rb++++=readily
seeded ^nn+++??+=seeded
by ^in++++=by
cells ^nns++++=cells
derived ^vbd+++xvbn+=derived
from ^in++++=from
bone ^nn++++=bone
lesions ^nns+++??+=lesions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reverse ^jj++++=reverse
seeding ^jj++++=seeding
rarely ^rb++++=rarely
occurs ^vbz++++=occurs
( ^zz++++=(
Figures ^np++++=Figures
3 ^zz++++=3
B ^zz++++=B
and ^cc++++=and
3c ^cd++++=3C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
difference ^nn++++=difference
again ^rb+tm+++=again
highlights ^nns++++=highlights
the ^ati++++=the
enhanced ^jj+atrb++xvbn+=enhanced
metastatic ^nn+++??+=metastatic
aggressiveness ^nns++++=aggressiveness
of ^in++++=of
cancer ^nn++++=cancer
cells ^nns++++=cells
in ^in++++=in
the ^ati++++=the
bone ^nn++++=bone
microenvironment ^nn++++=microenvironment.
. ^zz++++=EXTRAWORD
