Because ^cs+cos+++=Because
Pt ^nnu++++=PT
neurons ^nns+++??+=neurons
are ^vb+ber+aux++=are
specified ^vpsv++by+xvbnx+=specified
by ^in++++=by
the ^ati++++=the
master ^nn++++=master
transcription ^nn+++??+=transcription
factor ^nn++++=factor
forebrain ^vb+++??+=forebrain
expressed ^vbd+vpub++xvbn+=expressed
zinc ^nn++++=zinc
finger ^nn++++=finger
2 ^zz++++=2
( ^zz++++=(Fezf2)
fezf2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(
Harris ^np++++=Harris
and ^cc++++=and
Shepherd ^nn++++=Shepherd,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
29 ^cd++++=29.
. ^zz++++=EXTRAWORD
Harris ^np++++=Harris,
, ^zz++++=EXTRAWORD
K.d ^np+++??+=K.D.
. ^zz++++=EXTRAWORD
Shepherd ^nn++++=Shepherd,
, ^zz++++=EXTRAWORD
G.m ^np+++??+=G.M.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neocortical ^nn+++??+=neocortical
circuit ^nn++++=circuit:
: ^zz++++=EXTRAWORD
themes ^nns++++=themes
and ^cc++++=and
variations ^nns++++=variations
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Neurosci ^np+++??+=Neurosci.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
18 ^cd++++=18
: ^zz++++=:170-181
170 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
181 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(661)
661 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Lodato ^np+++??+=Lodato
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
43 ^cd++++=43.
. ^zz++++=EXTRAWORD
Lodato ^np+++??+=Lodato,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Molyneaux ^np+++??+=Molyneaux,
, ^zz++++=EXTRAWORD
B.j ^np+++??+=B.J.
. ^zz++++=EXTRAWORD
Zuccaro ^np+++??+=Zuccaro,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gene ^np++++=Gene
co ^nn++++=co-regulation
- ^zz++++=EXTRAWORD
regulation ^nn++++=EXTRAWORD
by ^in++++=by
Fezf2 ^np+++??+=Fezf2
selects ^vbz++++=selects
neurotransmitter ^jj+atrb++??+=neurotransmitter
identity ^nn++++=identity
and ^cc++++=and
connectivity ^nn+++??+=connectivity
of ^in++++=of
corticospinal ^nn+++??+=corticospinal
neurons ^nns+++??+=neurons
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Neurosci ^np+++??+=Neurosci.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
17 ^cd++++=17
: ^zz++++=:1046-1054
1046 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1054 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(90)
90 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
a ^at++++=a
Fezf2 ^np+++??+=Fezf2
Creer ^np+++??+=CreER
knockin ^nn+++??+=knockin
mouse ^nn++++=mouse
driver ^nn++++=driver
that ^tht+rel+subj++=that
expresses ^vbz++++=expresses
the ^ati++++=the
inducible ^nn+++??+=inducible
Cre ^np+++??+=Cre
recombinase ^nn+++??+=recombinase
( ^zz++++=(CreER)
creer ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
control ^nn++++=control
of ^in++++=of
endogenous ^nns+++??+=endogenous
Fezf2 ^np+++??+=Fezf2
promoter ^nn++++=promoter
to ^in++++=to
target ^nn++++=target
Pt ^nnu++++=PT
neurons ^nns+++??+=neurons
in ^in++++=in
the ^ati++++=the
aic ^nn+++??+=aIC.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
injected ^vbd+++xvbn+=injected
the ^ati++++=the
aic ^nn+++??+=aIC
of ^in++++=of
Fezf2 ^np+++??+=Fezf2
Creer ^np+++??+=CreER
mice ^nns++++=mice
with ^in++++=with
an ^at++++=an
adeno ^nn+++??+=adeno-associated
- ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=EXTRAWORD
virus ^nn++++=virus
( ^zz++++=(AAV)
aav ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
expressing ^vbg+++xvbg+=expressing
Gfp ^np+++??+=GFP
in ^in++++=in
a ^at++++=a
Cre ^np+++??+=Cre-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
manner ^nn++++=manner
( ^zz++++=(
Figure ^np++++=Figure
S1 ^np+++??+=S1
A ^at++++=A),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
tamoxifen ^nn+++??+=tamoxifen
induction ^nn++++=induction.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
observed ^vbd+vprv++xvbn+=observed
dense ^jj+atrb+++=dense
axon ^nn+++??+=axon
fibers ^nns+++??+=fibers
originating ^nn+++??+=originating
from ^in++++=from
the ^ati++++=the
labeled ^nn+++??+=labeled
aic ^nn+++??+=aIC
Pt ^nnu++++=PT
neurons ^nns+++??+=neurons
hereafter ^rb++++=hereafter
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
aic ^vb+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neurons ^nns+++??+=neurons
in ^in++++=in
brainstem ^nn+++??+=brainstem
areas ^nns++++=areas
( ^zz++++=(including
including ^in++++=EXTRAWORD
the ^ati++++=the
Nts ^np+++??+=NTS
and ^cc++++=and
parabrachial ^jj+atrb++??+=parabrachial
nucleus ^nn++++=nucleus
[ ^zz++++=[PBN])
pbn ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
