Raw ^jj+atrb+++=Raw
Fastq ^np+++??+=FASTQ
files ^nns++++=files
from ^in++++=from
Rnaseq ^np+++??+=RNaseq
paired ^vwbn+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
sequencing ^nn+++??+=sequencing
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
the ^ati++++=the
Grcm38 ^np+++??+=GRCm38/mm10
reference ^nn++++=reference
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
Kallisto ^np+++??+=Kallisto
( ^zz++++=(
https ^nns+++??+=https://pachterlab.github.io/kallisto/
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Sequencing ^np+++??+=Sequencing
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
read ^vpsv++agls+xvbnx+=read
in ^in++++=in
for ^in++++=for
19357 ^cd++++=19357
genes ^nns++++=genes
and ^cc++++=and
8 ^zz++++=8
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Genes ^np+++??+=Genes
with ^in++++=with
zero ^cd++++=zero
read ^vb+vprv++xvbn+=read
count ^npt++++=count
in ^in++++=in
more ^rbr++++=more
than ^in++++=than
three ^cd++++=three
conditions ^nns++++=conditions
were ^vbd+bed+aux++=were
filtered ^vpsv++agls+xvbnx+=filtered
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
13628 ^cd++++=13628
genes ^nns++++=genes
remained ^vbd+++xvbn+=remained
after ^in++++=after
this ^dt+dem+++=this
step ^nn++++=step.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
differential ^jj+atrb+++=differential
expression ^nn++++=expression
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
using ^vbg+++xvbg+=using
Deseq ^np+++??+=DESeq
2 ^zz++++=2
package ^nn++++=package.
. ^zz++++=EXTRAWORD
The ^ati++++=The
expression ^nn++++=expression
of ^in++++=of
1440 ^cd++++=1440
genes ^nns++++=genes
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
significantly ^rb++splt++=significantly
differ ^vbi++++=differ
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
conditions ^nns++++=conditions
at ^in++++=at
a ^at++++=a
Bh ^np+++??+=BH
corrected ^vwbn+++xvbn+=corrected
P ^zz++++=P
value ^nn++++=value
< ^zz++++=<
0.05 ^nn+++??+=0.05.
. ^zz++++=EXTRAWORD
Go ^vb++++=GO
enrichment ^nn++++=enrichment
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Clusterprofiler ^np+++??+=ClusterProfiler.
. ^zz++++=EXTRAWORD
The ^ati++++=The
top ^jjb++++=top
20 ^cd++++=20
most ^ql+emph+++=most
enriched ^jj+atrb++xvbn+=enriched
pathways ^nns+++??+=pathways
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
the ^ati++++=the
plot ^nn++++=plot.
. ^zz++++=EXTRAWORD
Gsea ^np+++??+=GSEA
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
Broad ^jj+atrb+++=Broad
Institute ^nn++++=Institute
software ^nn+++??+=software
( ^zz++++=(
http ^nn+++??+=http://software.broadinstitute.org/gsea/index.jsp
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Enrichment ^nn++++=Enrichment
scores ^nns++++=scores
were ^vbd+bed+aux++=were
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
comparing ^xvbg+++xvbg+=comparing
sgctrl ^nn+++??+=sgCtrl
to ^in++++=to
sgfli1 ^jj+atrb++??+=sgFli1
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
T ^zz++++=T
Ex ^jjb+atrb+++=EX
precursor ^nn++++=precursor
gene ^np++++=gene
signature ^nn++++=signature
was ^vbd+bedz+vrb++=was
from ^in++++=from
Chen ^np+++??+=Chen
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019b)
2019b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
14 ^cd++++=14.
. ^zz++++=EXTRAWORD
Chen ^np+++??+=Chen,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ji ^np+++??+=Ji,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ngiow ^np+++??+=Ngiow,
, ^zz++++=EXTRAWORD
S.f ^np+++??+=S.F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tcf ^np+++??+=TCF-1-Centered
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
centered ^vbd+++xvbn+=EXTRAWORD
Transcriptional ^np+++??+=Transcriptional
Network ^nn++++=Network
Drives ^nns++++=Drives
an ^at++++=an
