Raw ^jj+atrb+++=Raw
fastq ^nn+++??+=fastq
files ^nns++++=files
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
lengths ^nns++++=lengths
of ^in++++=of
75 ^cd++++=75
bp ^nn+++??+=bp
and ^cc++++=and
100 ^cd++++=100
bp ^nn+++??+=bp,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
preprocessing ^nn+++??+=preprocessing
step ^vb++++=step,
, ^zz++++=EXTRAWORD
fastq ^nn+++??+=fastq
files ^nns++++=files
with ^in++++=with
100 ^cd++++=100
bp ^vb+++??+=bp
read ^vbd+vprv++xvbn+=read
length ^rb++++=length
were ^vbd+bed+aux++=were
trimmed ^vpsv++agls+xvbnx+=trimmed
to ^to++++=to
75 ^cd++++=75
bp ^nn+++??+=bp
to ^to++++=to
achieve ^vbi++++=achieve
comparable ^jj++++=comparable
initial ^jj++++=initial
read ^vb+vprv++xvbn+=read
lengths ^nns++++=lengths
for ^in++++=for
all ^abn++++=all
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Afterwards ^rb+cnj+++=Afterwards,
, ^zz++++=EXTRAWORD
fastq ^nn+++??+=fastq
files ^nns++++=files
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
with ^in++++=with
the ^ati++++=the
Hicup ^np+++??+=HiCUP
pipeline ^nn++++=pipeline
v0.8.1 ^nn+++??+=v0.8.1
( ^zz++++=(no
no ^at++++=EXTRAWORD
size ^nn++++=size
selection ^nn++++=selection,
, ^zz++++=EXTRAWORD
Nofill ^np+++??+=Nofill:
: ^zz++++=EXTRAWORD
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Format ^nn++++=Format:
: ^zz++++=EXTRAWORD
Sanger ^np+++??+=Sanger)
) ^zz++++=EXTRAWORD
for ^in++++=for
mapping ^nn++++=mapping,
, ^zz++++=EXTRAWORD
filtering ^vbg+++xvbg+=filtering
and ^cc++++=and
deduplication ^nn+++??+=deduplication
steps ^nns++++=steps
( ^zz++++=(
Wingett ^np++++=Wingett
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
143 ^cd++++=143.
. ^zz++++=EXTRAWORD
Wingett ^np+++??+=Wingett,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Ewels ^np+++??+=Ewels,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Furlan ^np+++??+=Furlan-Magaril,
- ^zz++++=EXTRAWORD
magaril ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hicup ^np+++??+=HiCUP:
: ^zz++++=EXTRAWORD
pipeline ^nn++++=pipeline
for ^in++++=for
mapping ^nn++++=mapping
and ^cc++++=and
processing ^vbg+++xvbg+=processing
Hi ^uh++++=Hi-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
data ^nns++++=data
F1000res ^np+++??+=F1000Res.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
4 ^zz++++=4
: ^zz++++=:1310
1310 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(252)
252 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
pipeline ^nn++++=pipeline
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
up ^rb+phrv+++=up
with ^in+ppvb+++=with
Bowtie ^np+++??+=Bowtie
2.4.2 ^cd++++=2.4.2
for ^in++++=for
mapping ^nn++++=mapping
short ^rb++++=short
reads ^vbz++++=reads
to ^in++++=to
reference ^nn++++=reference
genome ^nn+++??+=genome
mm10 ^nn+++??+=mm10
( ^zz++++=(
Langmead ^np++++=Langmead
and ^cc++++=and
Salzberg ^np+++??+=Salzberg,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
76 ^cd++++=76.
. ^zz++++=EXTRAWORD
Langmead ^np+++??+=Langmead,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Salzberg ^np+++??+=Salzberg,
, ^zz++++=EXTRAWORD
S.l ^np+++??+=S.L.
. ^zz++++=EXTRAWORD
Fast ^jj+atrb+++=Fast
gapped ^nn+++??+=gapped-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
alignment ^nn++++=alignment
with ^in++++=with
Bowtie ^np+++??+=Bowtie
2 ^zz++++=2
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:357-359
357 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
359 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(24558)
24558 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
replicates ^nns+++??+=replicates
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
merged ^vpsv++agls+xvbnx+=merged
after ^in++++=after
the ^ati++++=the
processing ^jj+++xvbg+=processing
with ^in++++=with
the ^ati++++=the
Hicup ^np+++??+=HiCUP
pipeline ^nn++++=pipeline.
. ^zz++++=EXTRAWORD
Binned ^np+++??+=Binned
and ^cc++++=and
