Using ^vbg+++xvbg+=Using
this ^dt+dem+++=this
method ^nn++++=method,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
five ^cd++++=five
orders ^nns++++=orders
of ^in++++=of
magnitude ^nn++++=magnitude
of ^in++++=of
protein ^nn++++=protein
concentrations ^nns++++=concentrations
and ^cc++++=and
an ^at++++=an
untreated ^nn+++??+=untreated
condition ^nn++++=condition
for ^in++++=for
all ^rb++++=all
eight ^cd++++=eight
Cc ^nn++++=CC
fusions ^nns+++??+=fusions.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
from ^in++++=from
four ^cd++++=four
replicates ^nns+++??+=replicates
were ^vbd+bed+vrb++=were
normalized ^nn+++??+=normalized
by ^in++++=by
channel ^nn++++=channel
to ^in++++=to
control ^nn++++=control
for ^in++++=for
variability ^nn++++=variability
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
image ^vb++++=image
segmentation ^nn+++??+=segmentation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
median ^jjb++++=median
and ^cc++++=and
Sd ^np+++??+=SD
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
Figure ^nn++++=Figure
7 ^zz++++=7
B ^zz++++=B
for ^in++++=for
Cc ^nn++++=CC-His
- ^zz++++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
coating ^nn++++=coating
and ^cc++++=and
Figure ^nn++++=Figure
7 ^zz++++=7
C ^zz++++=C
for ^in++++=for
Cc ^nn++++=CC-GFP-His
- ^zz++++=EXTRAWORD
gfp ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
( ^zz++++=(raw
raw ^jj+atrb+++=EXTRAWORD
counts ^nns++++=counts
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Figure ^nn++++=Figure
S21 ^np+++??+=S21
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
conditions ^nns++++=conditions
but ^cc++++=but
sg30 ^nn+++??+=sg30-His,
- ^zz++++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Cc ^nn++++=CC-coated
- ^zz++++=EXTRAWORD
coated ^vwbn+++xvbn+=EXTRAWORD
surface ^nn++++=surface
led ^vbd+++xvbn+=led
to ^in++++=to
helixcam ^nn+++??+=helixCAM
cell ^nn++++=cell
binding ^nn++++=binding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cells ^nns++++=cells
bound ^vwbn+++xvbn+=bound
strongly ^rb+amp+++=strongly
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
the ^ati++++=the
concentration ^nn++++=concentration
of ^in++++=of
protein ^nn++++=protein
coating ^nn++++=coating
applied ^vwbn+++xvbn+=applied.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
coating ^nn++++=coating
concentration ^nn++++=concentration,
, ^zz++++=EXTRAWORD
Cc ^nn++++=CC-GFP-His-coated
- ^zz++++=EXTRAWORD
gfp ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
coated ^xvbn+++xvbn+=EXTRAWORD
wells ^np++++=wells
bound ^vwbn+++xvbn+=bound
markedly ^rb++++=markedly
more ^ql++++=more
cells ^nns++++=cells
than ^in++++=than
Cc ^nn++++=CC-His-coated
- ^zz++++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
coated ^xvbn+++xvbn+=EXTRAWORD
wells ^np++++=wells
( ^zz++++=(p
p ^zz++++=EXTRAWORD
value ^nn++++=value
= ^zz++++==
5.51 ^cd++++=5.51
10 ^cd++++=10
10 ^cd++++=10
, ^zz++++=,
Anova ^np+++??+=ANOVA),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^in++++=at
higher ^jjr+atrb+++=higher
concentrations ^nns++++=concentrations,
, ^zz++++=EXTRAWORD
led ^j+++xvbn+=led
to ^in++++=to
cells ^nns++++=cells
covering ^vbg+++xvbg+=covering
the ^ati++++=the
entirety ^nn++++=entirety
of ^in++++=of
the ^ati++++=the
plate ^nn++++=plate
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
