Using ^vbg+++xvbg+=Using
the ^ati++++=the
most ^ql+emph+++=most
orthogonal ^jj+atrb+++=orthogonal
set ^nn+++xvbn+=set
of ^in++++=of
helixcam ^nn+++??+=helixCAM
pairs ^nns++++=pairs
( ^zz++++=(P9/AP10,
p9 ^nn+++??+=EXTRAWORD
sg30 ^nn+++??+=sg30/sg61,
sg83 ^nn+++??+=sg83/sg88),
we ^pp1a+pp1+++=we
repeated ^vbd+++xvbn+=repeated
the ^ati++++=the
three ^cd++++=three-pair
- ^zz++++=EXTRAWORD
pair ^nn++++=EXTRAWORD
co ^nn++++=co-culture
- ^zz++++=EXTRAWORD
culture ^nn++++=EXTRAWORD
experiment ^nn++++=experiment.
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
previous ^jj+atrb+++=previous
set ^nn+++xvbn+=set,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
segregation ^nn++++=segregation
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
cell ^nn++++=cell
aggregates ^nns++++=aggregates
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
F ^zz++++=F,
, ^zz++++=EXTRAWORD
uninduced ^nn+++??+=uninduced
image ^nn++++=image
in ^in++++=in
S7 ^np+++??+=S7
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
quantification ^nn+++??+=quantification
of ^in++++=of
interaction ^nn++++=interaction
frequencies ^nns++++=frequencies
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
the ^ati++++=the
new ^nn++++=new
set ^vbd+++xvbn+=set
had ^vb+hv+vrb++=had
notably ^rb++++=notably
fewer ^ap++++=fewer
inter ^rb++++=inter-pair
- ^zz++++=EXTRAWORD
pair ^nn++++=EXTRAWORD
interactions ^nns++++=interactions,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
frequent ^jj+atrb+++=frequent
complementary ^jj+atrb+++=complementary
interactions ^nns++++=interactions
and ^cc++++=and
few ^ap++++=few
off ^rp+pl+++=off-target
- ^zz++++=EXTRAWORD
target ^nn++++=EXTRAWORD
interactions ^nns++++=interactions
( ^zz++++=(
Figures ^np++++=Figures
4 ^zz++++=4
G ^zz++++=G
and ^cc++++=and
S17 ^np+++??+=S17
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
show ^vb+vprv+tht0++=show
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
utilizing ^nn+++??+=utilizing
the ^ati++++=the
Hcsra ^np+++??+=HCSRA
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
select ^vbi++++=select
multiple ^jj+atrb+++=multiple
compatible ^jj+atrb+++=compatible
helixcams ^nns+++??+=helixCAMs
for ^in++++=for
directing ^xvbg+++xvbg+=directing
parallel ^nn++++=parallel
cell ^nn++++=cell
adhesion ^nn++++=adhesion
events ^nns++++=events
within ^in++++=within
a ^at++++=a
single ^jj+atrb+++=single
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
