Using ^vbg+++xvbg+=Using
Crisprcasfinder ^np+++??+=CRISPRCasFinder
( ^zz++++=(
Couvin ^np++++=Couvin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
18 ^cd++++=18.
. ^zz++++=EXTRAWORD
Couvin ^np+++??+=Couvin,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Bernheim ^np+++??+=Bernheim,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Toffano ^np+++??+=Toffano-Nioche,
- ^zz++++=EXTRAWORD
nioche ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Crisprcasfinder ^np+++??+=CRISPRCasFinder,
, ^zz++++=EXTRAWORD
an ^at++++=an
update ^nn+++??+=update
of ^in++++=of
Crisrfinder ^np+++??+=CRISRFinder,
, ^zz++++=EXTRAWORD
includes ^vb++++=includes
a ^at++++=a
portable ^jj+atrb+++=portable
version ^nn++++=version,
, ^zz++++=EXTRAWORD
enhanced ^xvbn+++xvbn+=enhanced
performance ^nn++++=performance
and ^cc++++=and
integrates ^nns+++??+=integrates
search ^nn++++=search
for ^in++++=for
Cas ^np+++??+=Cas
proteins ^nns+++??+=proteins
Nucleic ^np+++??+=Nucleic
Acids ^np+++??+=Acids
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
46 ^cd++++=46
: ^zz++++=:W246-W251
w246 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
w251 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(747)
747 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
the ^ati++++=the
Metasub ^np+++??+=MetaSUB
database ^nn+++??+=database
was ^vbd+bedz+aux++=was
investigated ^vpsv++agls+xvbnx+=investigated
to ^to++++=to
predict ^vbi+vpub+++=predict
Crispr ^np+++??+=CRISPR
arrays ^nns++++=arrays
and ^cc++++=and
annotate ^nn+++??+=annotate
them ^pp3o+pp3+++=them
with ^in++++=with
their ^pp$+pp3+++=their
corresponding ^xvbg+++xvbg+=corresponding
predicted ^vwbn+vpub+tht0+xvbn+=predicted
type ^nn++++=type
based ^vwbn+++xvbn+=based
on ^in++++=on
Crispr ^np+++??+=CRISPR-Cas
- ^zz++++=EXTRAWORD
cas ^nns+++??+=EXTRAWORD
genes ^nns++++=genes
in ^in++++=in
their ^pp$+pp3+++=their
vicinity ^nn++++=vicinity.
. ^zz++++=EXTRAWORD
Crisprcasfinder ^np+++??+=CRISPRCasFinder
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
with ^in++++=with
default ^nn+++??+=default
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
- ^zz++++=-so
so ^ql++++=EXTRAWORD
and ^cc++++=and
- ^zz++++=-cas
cas ^nns+++??+=EXTRAWORD
options ^nns+++??+=options
to ^to++++=to
identify ^vbi++++=identify
cas ^nns+++??+=cas
genes ^nns++++=genes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
precision ^nn++++=precision
and ^cc++++=and
recall ^vb+vprv+++=recall
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
detection ^nn++++=detection
was ^vbd+bedz+vrb++=was
99.6 ^cd++++=99.6%
% ^zz++++=EXTRAWORD
and ^cc++++=and
37.5 ^cd++++=37.5%
% ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
( ^zz++++=(
Paez ^np++++=Paez-Espino
- ^zz++++=EXTRAWORD
espino ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
63 ^cd++++=63.
. ^zz++++=EXTRAWORD
Paez ^np+++??+=Paez-Espino,
- ^zz++++=EXTRAWORD
espino ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Eloe ^np+++??+=Eloe-Fadrosh,
- ^zz++++=EXTRAWORD
fadrosh ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
E.a ^np+++??+=E.A.
. ^zz++++=EXTRAWORD
Pavlopoulos ^np+++??+=Pavlopoulos,
, ^zz++++=EXTRAWORD
G.a ^np+++??+=G.A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Uncovering ^np+++??+=Uncovering
Earth ^nn++++=Earth
s ^zz++++=s
virome ^nn+++??+=virome
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
536 ^cd++++=536
: ^zz++++=:425-430
425 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
430 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np++++=Scopus
 ^zz++++=(676)
76 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Pubmed ^np++++=PubMed
Google ^np++++=Google
Scholar ^nn++++=Scholar
	 ^zz++++=).
 ^zz++++=EXTRAWORD
