Since ^cs+sub+++=Since
srankl ^nn+++??+=sRANKL
induced ^vbd+++xvbn+=induced
osteoclast ^nn+++??+=osteoclast
recycling ^nn+++??+=recycling,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
next ^ap++++=next
determined ^jj+++xvbn+=determined
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
therapeutic ^jj+atrb+++=therapeutic
inhibition ^nn++++=inhibition
on ^in++++=on
this ^dt+dem+++=this
process ^nn++++=process.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
achieved ^vpsv++by+xvbnx+=achieved
by ^in++++=by
administering ^xvbg+++xvbg+=administering
Opg:fc ^np+++??+=OPG:Fc,
, ^zz++++=EXTRAWORD
the ^ati++++=the
decoy ^np++++=decoy
receptor ^nn+++??+=receptor
for ^in++++=for
Rankl ^np+++??+=RANKL,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
inhibits ^vbz++++=inhibits
Rank ^nn++++=RANK
signaling ^nn+++??+=signaling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
withdrawing ^vbg+++xvbg+=withdrawing
it ^pp3+it+++=it
( ^zz++++=(OPG:W).
opg:w ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
compared ^vpsv++agls+xvbnx+=compared
to ^in++++=to
mice ^nns++++=mice
treated ^vwbn+++xvbn+=treated
with ^in++++=with
vehicle ^nn++++=vehicle,
, ^zz++++=EXTRAWORD
srankl ^nn+++??+=sRANKL,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Opg:fc ^np+++??+=OPG:Fc
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
fission ^nn++++=fission,
, ^zz++++=EXTRAWORD
fusion ^nn++++=fusion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recycling ^nn+++??+=recycling
events ^nns++++=events
were ^vbd+bed+vrb++=were
quantified ^nn+++??+=quantified
and ^cc++++=and
visualized ^vbd+++xvbn+=visualized
using ^jj+atrb++xvbg+=using
cell ^nn++++=cell
fate ^nn++++=fate
maps ^nns++++=maps
( ^zz++++=(
Figure ^np++++=Figure
S1 ^np+++??+=S1
) ^zz++++=).
. ^zz++++=EXTRAWORD
Osteoclast ^np+++??+=Osteoclast
recycling ^nn+++??+=recycling
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
steady ^jj+atrb+++=steady
state ^nn++++=state
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
G ^zz++++=G
1i ^cd++++=1I;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
S1 ^np+++??+=S1
; ^zz++++=;
Video ^np+++??+=Video
S2 ^np+++??+=S2
) ^zz++++=).
. ^zz++++=EXTRAWORD
Mice ^nns++++=Mice
treated ^vwbn+++xvbn+=treated
with ^in++++=with
srankl ^nn+++??+=sRANKL
underwent ^nn+++??+=underwent
cycles ^nns++++=cycles
of ^in++++=of
fission ^nn++++=fission
and ^cc++++=and
fusion ^nn++++=fusion
when ^wrb+who+++=when
imaged ^nn+++??+=imaged
for ^in++++=for
up ^rp++++=up
to ^to++++=to
7 ^zz++++=7
h ^zz++++=h
( ^zz++++=(
Figures ^np++++=Figures
4 ^zz++++=4
A ^at++++=A
4f ^cd++++=4F;
; ^zz++++=EXTRAWORD
Video ^np+++??+=Video
S7 ^np+++??+=S7
) ^zz++++=).
. ^zz++++=EXTRAWORD
Treatment ^nn++++=Treatment
with ^in++++=with
Opg:fc ^np+++??+=OPG:Fc
inhibited ^vwbn+++xvbn+=inhibited
osteoclast ^nn+++??+=osteoclast
recycling ^nn+++??+=recycling
( ^zz++++=(
Figure ^np++++=Figure
S1 ^np+++??+=S1
; ^zz++++=;
Video ^np+++??+=Video
S8 ^np+++??+=S8
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
3 ^zz++++=3
weeks ^nns++++=weeks
after ^cs+sub+++=after
Opg:fc ^np+++??+=OPG:Fc
was ^vbd+bedz+aux++=was
withdrawn ^vpsv++agls+xvbnx+=withdrawn,
, ^zz++++=EXTRAWORD
osteoclasts ^nns+++??+=osteoclasts
underwent ^nn+++??+=underwent
cycles ^nns++++=cycles
of ^in++++=of
fission ^nn++++=fission
and ^cc++++=and
fusion ^nn++++=fusion
similar ^jj++++=similar
to ^in++++=to
that ^dt+pdem+++=that
seen ^vbd+vprv++xvbn+=seen
in ^in++++=in
mice ^nns++++=mice
treated ^vwbn+++xvbn+=treated
with ^in++++=with
srankl ^nn+++??+=sRANKL
( ^zz++++=(
Figures ^np++++=Figures
4 ^zz++++=4
D ^zz++++=D
4f ^cd++++=4F;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
S1 ^np+++??+=S1
; ^zz++++=;
Video ^np+++??+=Video
S8 ^np+++??+=S8
) ^zz++++=).
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
events ^nns++++=events
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
fusion ^nn++++=fusion
and ^cc++++=and
fission ^nn++++=fission
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
detected ^vbd+++xvbn+=detected
in ^in++++=in
the ^ati++++=the
7 ^zz++++=7
h ^zz++++=h
analysis ^nn++++=analysis
timeframe ^nn+++??+=timeframe.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
srankl ^nn+++??+=sRANKL
