Raw ^jj+atrb+++=Raw
sequencing ^nn+++??+=sequencing
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
trimmed ^vpsv++by+xvbnx+=trimmed
by ^in++++=by
Cutadapt ^np+++??+=Cutadapt
( ^zz++++=(
Martin ^np++++=Martin,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
61 ^cd++++=61.
. ^zz++++=EXTRAWORD
Martin ^np++++=Martin,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Cutadapt ^np+++??+=Cutadapt
removes ^vbz++++=removes
adapter ^jj+atrb++??+=adapter
sequences ^nns++++=sequences
from ^in++++=from
high ^jj++++=high-throughput
- ^zz++++=EXTRAWORD
throughput ^nn++++=EXTRAWORD
sequencing ^nn+++??+=sequencing
reads ^vbz++++=reads
Embnet.journal ^np+++??+=EMBnet.journal.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
17 ^cd++++=17
: ^zz++++=:10-12
10 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
12 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
to ^to++++=to
remove ^vbi++++=remove
low ^jj++++=low-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
nucleotides ^nns+++??+=nucleotides
( ^zz++++=(with
with ^in++++=EXTRAWORD
quality ^nn++++=quality
score ^nn++++=score
less ^rbr++++=less
than ^in++++=than
30 ^cd++++=30)
) ^zz++++=EXTRAWORD
and ^cc++++=and
adapters ^nns+++??+=adapters.
. ^zz++++=EXTRAWORD
Trimmed ^j+++xvbn+=Trimmed
Chiped ^np+++??+=ChIPed
150 ^cd++++=150-bp
- ^zz++++=EXTRAWORD
bp ^nn+++??+=EXTRAWORD
single ^jj++++=single-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
mapped ^vpsv++agls+xvbnx+=mapped
to ^in++++=to
the ^ati++++=the
