Raw ^jj+atrb+++=Raw
sequencing ^nn+++??+=sequencing
fastq ^nn+++??+=fastq
files ^nns++++=files
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
using ^vbg+++xvbg+=using
Star ^nn++++=STAR
( ^zz++++=(
Dobin ^np++++=Dobin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
39 ^cd++++=39.
. ^zz++++=EXTRAWORD
Dobin ^np++++=Dobin,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Davis ^np++++=Davis,
, ^zz++++=EXTRAWORD
C.a ^np+++??+=C.A.
. ^zz++++=EXTRAWORD
Schlesinger ^np+++??+=Schlesinger,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Star ^nn++++=STAR:
: ^zz++++=EXTRAWORD
ultrafast ^nn+++??+=ultrafast
universal ^nn++++=universal
Rna ^np+++??+=RNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
aligner ^nn+++??+=aligner
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
29 ^cd++++=29
: ^zz++++=:15-21
15 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
21 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(17570)
17570 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
for ^in++++=for
mapping ^nn++++=mapping,
, ^zz++++=EXTRAWORD
Samtools ^np+++??+=SAMtools
( ^zz++++=(
Li ^np++++=Li
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
82 ^cd++++=82.
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Handsaker ^np+++??+=Handsaker,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
