Since ^cs+sub+++=Since
Rankl ^np+++??+=RANKL
regulates ^vbz++++=regulates
osteoclast ^nn+++??+=osteoclast
recycling ^nn+++??+=recycling,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sought ^vbd+++xvbn+=sought
to ^in++++=to
quantify ^nn+++??+=quantify
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
srankl ^nn+++??+=sRANKL,
, ^zz++++=EXTRAWORD
Opg:fc ^np+++??+=OPG:Fc,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Opg:w ^np+++??+=OPG:W
on ^in++++=on
the ^ati++++=the
number ^nn++++=number,
, ^zz++++=EXTRAWORD
morphology ^nn++++=morphology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
network ^nn++++=network
connections ^nns++++=connections
between ^in++++=between
double ^jj++++=double-labeled
- ^zz++++=EXTRAWORD
labeled ^nn+++??+=EXTRAWORD
cells ^nns++++=cells
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
bisphosphonate ^nn+++??+=bisphosphonate
( ^zz++++=(
Figures ^np++++=Figures
5 ^zz++++=5
A ^at++++=A
5d ^cd++++=5D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Opg:fc ^np+++??+=OPG:Fc
treatment ^nn++++=treatment
induced ^vbd+++xvbn+=induced
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
large ^jj+atrb+++=large
aspherical ^nn+++??+=aspherical
cells ^nns++++=cells
> ^zz++++=>10,000
10,000 ^cd++++=EXTRAWORD
m ^zz++++=m
3 ^zz++++=3
and ^cc++++=and
a ^at++++=a
shift ^nn++++=shift
in ^in++++=in
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
cell ^nn++++=cell
volume ^nn++++=volume
and ^cc++++=and
sphericity ^nn+++??+=sphericity,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
overall ^jjb+atrb+++=overall
cells ^nns++++=cells
were ^vbd+bed+vrb++=were
smaller ^jjr+pred+++=smaller
and ^cc++++=and
more ^ql++++=more
rounded ^jj+++xvbn+=rounded
( ^zz++++=(
Figures ^np++++=Figures
5 ^zz++++=5
A ^at++++=A
and ^cc++++=and
5b ^cd++++=5B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Network ^nn++++=Network
analysis ^nn++++=analysis
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
these ^dt+dem+++=these
cells ^nns++++=cells
did ^vbd+dod+aux++=did
not ^xnot++not++=not
form ^vb++++=form
the ^ati++++=the
extensive ^nn++++=extensive
interconnected ^vbd+++xvbn+=interconnected
networks ^nns++++=networks
of ^in++++=of
cells ^nns++++=cells
> ^zz++++=>1,000
1,000 ^cd++++=EXTRAWORD
m ^zz++++=m
in ^in++++=in
length ^rb++++=length
seen ^vprf+++xvbn+=seen
in ^in++++=in
steady ^jj++++=steady-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
conditions ^nns++++=conditions
and ^cc++++=and
in ^in++++=in
srankl ^nn+++??+=sRANKL-treated
- ^zz++++=EXTRAWORD
treated ^xvbn+++xvbn+=EXTRAWORD
mice ^nns++++=mice
( ^zz++++=(
Figures ^np++++=Figures
5 ^zz++++=5
C ^zz++++=C
and ^cc++++=and
5d ^cd++++=5D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
Opg:fc ^np+++??+=OPG:Fc
inhibits ^vbz++++=inhibits
Rankl ^np+++??+=RANKL-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
fusion ^nn++++=fusion,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
accumulation ^nn++++=accumulation
of ^in++++=of
osteomorphs ^nns++++=osteomorphs.
. ^zz++++=EXTRAWORD
