Since ^cs+sub+++=Since
the ^ati++++=the
Fantom ^np+++??+=FANTOM
data ^nns++++=data
contained ^vbd+++xvbn+=contained
the ^ati++++=the
resulting ^jj+++xvbg+=resulting
gene ^np++++=gene
x ^zz++++=x
sample ^nn++++=sample
count ^nn++++=count
matrix ^nn++++=matrix
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
normalized ^nn+++??+=normalized
as ^ql++++=as
per ^nnu++++=per
( ^zz++++=(
Alam ^np++++=Alam
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Alam ^np+++??+=Alam,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Agrawal ^np+++??+=Agrawal,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Severin ^np+++??+=Severin,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Comparative ^jj+atrb+++=Comparative
transcriptomics ^nns+++??+=transcriptomics
of ^in++++=of
primary ^jj+atrb+++=primary
cells ^nns++++=cells
in ^in++++=in
vertebrates ^nns++++=vertebrates
Genome ^np+++??+=Genome
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
30 ^cd++++=30
: ^zz++++=:951-961
951 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
961 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(5)
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
normalized ^nn+++??+=normalized
counts ^vbz++++=counts-per-million
- ^zz++++=EXTRAWORD
per ^nnu++++=EXTRAWORD
- ^zz++++=EXTRAWORD
million ^cd++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
As ^ql++++=As
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
in ^in++++=in
the ^ati++++=the
Fantom ^np+++??+=FANTOM
Cage ^nn++++=CAGE
data ^nns++++=data
were ^vbd+bed+aux++=were
highly ^rb+amp+splt++=highly
correlated ^vpsv++agls+xvbnx+=correlated
( ^zz++++=(due
due ^jj++++=EXTRAWORD
e.g ^rb++++=e.g.
. ^zz++++=EXTRAWORD
to ^to++++=to
being ^vbg+beg++xvbg+=being
replicates ^nns+++??+=replicates
or ^cc++++=or
adjacent ^jj+atrb+++=adjacent
time ^nn++++=time
points ^nns++++=points),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
performed ^vbd+++xvbn+=performed
hierarchical ^nn+++??+=hierarchical
clustering ^vwbg+++xvbg+=clustering
on ^in++++=on
the ^ati++++=the
829 ^cd++++=829
remaining ^vbg+++xvbg+=remaining
datasets ^nns+++??+=datasets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
merged ^xvbn+++xvbn+=merged
libraries ^nns++++=libraries
with ^in++++=with
a ^at++++=a
pearson ^np++++=pearson
correlation ^nn++++=correlation
of ^in++++=of
0.95 ^nn+++??+=0.95
or ^cc++++=or
greater ^jjr++++=greater,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
final ^jj++++=final
349 ^cd++++=349
metasamples ^nns+++??+=metasamples.
. ^zz++++=EXTRAWORD
Co ^nn++++=Co-expression
- ^zz++++=EXTRAWORD
expression ^nn++++=EXTRAWORD
between ^in++++=between
two ^cd++++=two
genes ^nns++++=genes
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
defined ^vpsv++agls+xvbn+=defined
as ^ql++++=as
pearson ^np++++=pearson
correlation ^nn++++=correlation
across ^in+pl+++=across
these ^dt+dem+++=these
349 ^cd++++=349
metasamples ^nns++++=metasamples.
. ^zz++++=EXTRAWORD
