Since ^cs+sub+++=Since
the ^ati++++=the
Rankl ^np+++??+=RANKL/RANK/OPG
signaling ^nn+++??+=signaling
system ^nn++++=system
is ^vbz+bez+vrb++=is
the ^ati++++=the
physiological ^jj+atrb+++=physiological
master ^nn++++=master
regulator ^nn+++??+=regulator
of ^in++++=of
osteoclast ^nn+++??+=osteoclast
biology ^nn++++=biology
and ^cc++++=and
bone ^nn++++=bone
resorption ^nn+++??+=resorption,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
to ^to++++=to
manipulate ^vbi++++=manipulate
this ^dt+dem+++=this
system ^nn++++=system
to ^to++++=to
determine ^vbi++++=determine
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
osteoclast ^nn+++??+=osteoclast
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
Soluble ^jj+atrb+++=Soluble
Rankl ^np+++??+=RANKL-stimulated
- ^zz++++=EXTRAWORD
stimulated ^xvbn+++xvbn+=EXTRAWORD
osteoclasts ^nns+++??+=osteoclasts
were ^vbd+bed+vrb++=were
highly ^rb+amp+++=highly
dynamic ^jj+pred+++=dynamic
and ^cc+phrs+++=and
underwent ^jj+atrb++??+=underwent
morphological ^jj+atrb+++=morphological
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
began ^vbd+++xvbn+=began
within ^in++++=within
20 ^cd++++=20
min ^nnu++++=min
of ^in++++=of
srankl ^nn+++??+=sRANKL
administration ^nn++++=administration
by ^in++++=by
retracting ^nn+++??+=retracting
their ^pp$+pp3+++=their
cellular ^jj+atrb+++=cellular
processes ^nns++++=processes
( ^zz++++=(
Figures ^np++++=Figures
2 ^zz++++=2
A ^at++++=A
2d ^cd++++=2D;
; ^zz++++=EXTRAWORD
Video ^np+++??+=Video
S3 ^np+++??+=S3
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
activated ^nn+++??+=activated
state ^nn++++=state,
, ^zz++++=EXTRAWORD
osteoclasts ^nns+++??+=osteoclasts
migrated ^nn+++??+=migrated
toward ^in++++=toward
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
undergo ^vbi++++=undergo
cell ^nn++++=cell
fusion ^nn++++=fusion
to ^in++++=to
form ^nn++++=form
larger ^jjr+atrb+++=larger
cells ^nns++++=cells
( ^zz++++=(
Figure ^np++++=Figure
2 ^zz++++=2
E ^zz++++=E
and ^cc++++=and
2f ^cd++++=2F;
; ^zz++++=EXTRAWORD
Videos ^np+++??+=Videos
S3 ^np+++??+=S3
and ^cc++++=and
S4 ^np+++??+=S4
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
limitation ^nn++++=limitation
of ^in++++=of
two ^cd++++=two-photon
- ^zz++++=EXTRAWORD
photon ^nn++++=EXTRAWORD
imaging ^nn+++??+=imaging
through ^in++++=through
intact ^jj+atrb+++=intact
cortical ^nn+++??+=cortical
bone ^nn++++=bone
is ^vbz+bez+vrb++=is
the ^ati++++=the
need ^vb++++=need
to ^to+vcmp+++=to
trade ^vb++++=trade
off ^in+pl+++=off
the ^ati++++=the
detection ^nn++++=detection
of ^in++++=of
weak ^jj+atrb+++=weak
signals ^nns++++=signals
from ^in++++=from
fine ^jj+atrb+++=fine
cellular ^jj+atrb+++=cellular
processes ^nns++++=processes
with ^in++++=with
the ^ati++++=the
saturation ^nn++++=saturation
of ^in++++=of
strong ^jj+atrb+++=strong
signals ^nns++++=signals
from ^in++++=from
cell ^nn++++=cell
bodies ^nns++++=bodies.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
to ^to++++=to
confirm ^vbi+vpub+++=confirm
that ^tht+vcmp+++=that
the ^ati++++=the
cells ^nns++++=cells
do ^vb+do+vrb++=do
fuse ^nn++++=fuse,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
performed ^vbd+++xvbn+=performed
in ^in++++=in
vitro ^nn+++??+=vitro
live ^vb++++=live
cell ^nn++++=cell
imaging ^nn+++??+=imaging
by ^in++++=by
confocal ^nn+++??+=confocal
microscopy ^nn++++=microscopy.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
also ^rb++++=also
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
fusion ^nn++++=fusion
of ^in++++=of
multinucleated ^nn+++??+=multinucleated
osteoclasts ^nns+++??+=osteoclasts
to ^in++++=to
form ^nn++++=form
even ^rb++++=even
larger ^jjr+atrb+++=larger
polykaryons ^nns+++??+=polykaryons
( ^zz++++=(
Figures ^np++++=Figures
2 ^zz++++=2
G ^zz++++=G
and ^cc++++=and
2h ^cd++++=2H;
; ^zz++++=EXTRAWORD
Video ^np+++??+=Video
S4 ^np+++??+=S4
; ^zz++++=;
Jansen ^np+++??+=Jansen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
34 ^cd++++=34.
. ^zz++++=EXTRAWORD
Jansen ^np+++??+=Jansen,
, ^zz++++=EXTRAWORD
I.d ^np+++??+=I.D.
. ^zz++++=EXTRAWORD
Vermeer ^np+++??+=Vermeer,
, ^zz++++=EXTRAWORD
J.a ^np+++??+=J.A.
. ^zz++++=EXTRAWORD
Bloemen ^np+++??+=Bloemen,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Osteoclast ^np+++??+=Osteoclast
fusion ^nn++++=fusion
and ^cc++++=and
fission ^nn++++=fission
Calcif ^np+++??+=Calcif.
. ^zz++++=EXTRAWORD
Tissue ^nn++++=Tissue
Int ^np+++??+=Int.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
90 ^cd++++=90
: ^zz++++=:515-522
515 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
522 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(65)
65 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
srankl ^nn+++??+=sRANKL-stimulated
- ^zz++++=EXTRAWORD
stimulated ^xvbn+++xvbn+=EXTRAWORD
osteoclasts ^nns+++??+=osteoclasts
are ^vb+ber+vrb++=are
larger ^jjr+pred+++=larger
and ^cc++++=and
more ^rbr++++=more
active ^jj++++=active
than ^in++++=than
steady ^jj++++=steady-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
osteoclasts ^nns++++=osteoclasts,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
vivo ^rb"++++=vivo
and ^cc++++=and
in ^in++++=in
vitro ^nn++++=vitro
. ^zz++++=.
