Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mice ^nns++++=mice
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
thirsty ^jj++++=thirsty
and ^cc+phrs+++=and
learned ^vb+++xvbn+=learned
that ^tht+vcmp+++=that
the ^ati++++=the
Cs ^np+++??+=CS
predicted ^vbd+vpub+tht0+xvbn+=predicted
a ^at++++=a
small ^nn++++=small
drop ^vb++++=drop
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
L ^zz++++=L)
) ^zz++++=EXTRAWORD
of ^in++++=of
sucrose ^nn+++??+=sucrose
in ^in++++=in
one ^cd1++++=one
block ^nn++++=block,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
same ^ap++++=same
Cs ^np+++??+=CS
predicted ^vbd+vpub+tht0+xvbn+=predicted
a ^at++++=a
large ^nn++++=large
drop ^vb++++=drop
( ^zz++++=(12
12 ^cd++++=EXTRAWORD
L ^zz++++=L)
) ^zz++++=EXTRAWORD
of ^in++++=of
sucrose ^nn+++??+=sucrose
in ^in++++=in
another ^dt++++=another
block ^nn++++=block
of ^in++++=of
trials ^nns++++=trials
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
L ^zz++++=L,
, ^zz++++=EXTRAWORD
M ^zz++++=M).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
imaged ^nn+++??+=imaged
the ^ati++++=the
activity ^nn++++=activity
of ^in++++=of
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neurons ^nns+++??+=neurons
across ^in+pl+++=across
the ^ati++++=the
two ^cd++++=two
blocks ^nns++++=blocks
( ^zz++++=(
Figures ^np++++=Figures
S2 ^np+++??+=S2
K ^zz++++=K
S2m ^np+++??+=S2M),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
presumably ^rb++++=presumably
engaged ^vbd+++xvbn+=engaged
with ^in++++=with
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
motivation ^nn++++=motivation.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
blocks ^nns++++=blocks,
, ^zz++++=EXTRAWORD
many ^ap++++=many
neurons ^nns+++??+=neurons
showed ^vbd+vprv++xvbn+=showed
either ^dtx++++=either
excitatory ^nn+++??+=excitatory
or ^cc++++=or
inhibitory ^jj+atrb++??+=inhibitory
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
Cs ^np+++??+=CS,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
response ^nn++++=response
in ^in++++=in
the ^ati++++=the
large ^jj++++=large-reward
- ^zz++++=EXTRAWORD
reward ^nn++++=EXTRAWORD
block ^nn++++=block
was ^vbd+bedz+vrb++=was
much ^ap++++=much
larger ^jjr++++=larger
than ^cs+sub+++=than
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
small ^jj++++=small-reward
- ^zz++++=EXTRAWORD
reward ^nn++++=EXTRAWORD
block ^nn++++=block
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
N ^zz++++=N,
, ^zz++++=EXTRAWORD
1o ^cd++++=1O,
, ^zz++++=EXTRAWORD
S2 ^np+++??+=S2
K ^zz++++=K,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S2l ^np+++??+=S2L).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Cs ^np+++??+=CS-evoked
- ^zz++++=EXTRAWORD
evoked ^vbd+++xvbn+=EXTRAWORD
licking ^vbg+++xvbg+=licking
was ^vbd+bedz+vrb++=was
comparable ^jj+pred+++=comparable
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
blocks ^nns++++=blocks,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
Us ^pp1o+pp1+++=US-evoked
- ^zz++++=EXTRAWORD
evoked ^vbd+++xvbn+=EXTRAWORD
licking ^vbg+++xvbg+=licking
in ^in++++=in
the ^ati++++=the
large ^jj++++=large-reward
- ^zz++++=EXTRAWORD
reward ^nn++++=EXTRAWORD
block ^nn++++=block
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
vigorous ^jj+pred+++=vigorous
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
M ^zz++++=M
and ^cc++++=and
S2 ^np+++??+=S2
M ^zz++++=M).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neuron ^nn+++??+=neuron
response ^nn++++=response
reflects ^vbz++++=reflects
alterations ^nns++++=alterations
in ^in++++=in
motivation ^nn++++=motivation
levels ^nns++++=levels
preceding ^vbg+++xvbg+=preceding
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
apparent ^jj+atrb+++=apparent
motor ^nn++++=motor
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
