Other ^ap++++=Other
studies ^nns++++=studies
involving ^vwbg+++xvbg+=involving
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
increasing ^vbg+++xvbg+=increasing
solvent ^nn++++=solvent
polarity ^nn+++??+=polarity
leads ^vbz++++=leads
to ^in++++=to
the ^ati++++=the
separation ^nn++++=separation
of ^in++++=of
phytocompounds ^nns+++??+=phytocompounds
( ^zz++++=(Santos
santos ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
fractions ^nns++++=fractions
analyzed ^nn+++??+=analyzed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
contained ^vbd+++xvbn+=contained
tannins ^nns+++??+=tannins
equivalent ^jj++++=equivalent
to ^in++++=to
catechin ^nn+++??+=catechin;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract
( ^zz++++=(EE)
ee ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
tannin ^nn+++??+=tannin
content ^nn++++=content
of ^in++++=of
15.83 ^cd++++=15.83
mg ^nnu++++=mg/g.
This ^dt+dem+++=This
result ^nn++++=result
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
polarity ^nn+++??+=polarity
of ^in++++=of
the ^ati++++=the
solvents ^nn++++=solvents
employed ^vbd+++xvbn+=employed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
have ^vb+hv+aux++=have
limited ^vprf+++xvbnx+=limited
the ^ati++++=the
extraction ^nn++++=extraction
of ^in++++=of
compounds ^nns++++=compounds
with ^in++++=with
polarity ^nn+++??+=polarity
similar ^jj++++=similar
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
catechin ^nn+++??+=catechin.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
catechin ^nn+++??+=catechin-equivalent
- ^zz++++=EXTRAWORD
equivalent ^jj+atrb+++=EXTRAWORD
tannins ^nns+++??+=tannins
in ^in++++=in
the ^ati++++=the
fractions ^nns++++=fractions
does ^vbz+doz+aux++=does
not ^xnot++not++=not
necessarily ^rb++++=necessarily
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
lacks ^vbz++++=lacks
tannins ^nns+++??+=tannins.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flavonoid ^nn+++??+=flavonoid
content ^nn++++=content
in ^in++++=in
each ^dt++++=each
fraction ^nn++++=fraction
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
than ^in++++=than
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
Ee ^np+++??+=EE,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
because ^cs+cos+++=because
the ^ati++++=the
fractions ^nns++++=fractions
are ^vb+ber+aux++=are
more ^rbr++splt++=more
concentrated ^vpsv++agls+xvbnx+=concentrated,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
higher ^nn++++=higher
measured ^vbd+++xvbn+=measured
values ^nns++++=values.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
aurones ^nns+++??+=aurones,
, ^zz++++=EXTRAWORD
catechins ^nns+++??+=catechins,
, ^zz++++=EXTRAWORD
chalcones ^nns+++??+=chalcones,
, ^zz++++=EXTRAWORD
flavanones ^nns+++??+=flavanones,
, ^zz++++=EXTRAWORD
saponins ^nns+++??+=saponins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tannins ^nns+++??+=tannins
was ^vbd+bedz+aux++=was
qualitatively ^rb++splt++=qualitatively
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
the ^ati++++=the
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate
fraction ^nn++++=fraction,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
only ^rb+down+++=only
steroids ^nns+++??+=steroids
and ^cc++++=and
triterpenes ^nns+++??+=triterpenes
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
hexane ^nn+++??+=hexane
and ^cc++++=and
chloroform ^nn++++=chloroform
fractions ^nns++++=fractions,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quantify ^vb+++??+=quantify
these ^dt+dem+++=these
compounds ^nns++++=compounds
but ^cc++++=but
rather ^rb++++=rather
reported ^vbd+vpub++xvbn+=reported
their ^pp$+pp3+++=their
presence ^nn++++=presence
or ^cc++++=or
absence ^nn++++=absence
without ^in++++=without
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
standard ^jj+atrb+++=standard
compounds ^nns++++=compounds,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
differing ^jj+atrb++xvbg+=differing
results ^nns++++=results
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate
fraction ^nn++++=fraction.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
working ^nvbg+++xvbg+=working
with ^in++++=with
natural ^jj+atrb+++=natural
products ^nns++++=products,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
consider ^vbi+vprv+++=consider
factors ^nns++++=factors
that ^tht+rel+obj++=that
influence ^nn++++=influence
