Dental ^jj+atrb+++=Dental
caries ^nn++++=caries
is ^vbz+bez+vrb++=is
a ^at++++=a
highly ^rb+amp+++=highly
prevalent ^jj+atrb+++=prevalent
global ^jj+atrb+++=global
disease ^nn++++=disease
( ^zz++++=(Bagramian
bagramian ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
multifactorial ^nn+++??+=multifactorial
and ^cc++++=and
chronic ^jj+atrb+++=chronic
infectious ^nns+++??+=infectious
condition ^nn++++=condition
caused ^vwbn+++xvbn+=caused
by ^in++++=by
tooth ^nn++++=tooth-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
Streptococcus ^np+++??+=Streptococcus
species ^nn++++=species,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
metabolize ^nn+++??+=metabolize
dietary ^jj+atrb+++=dietary
sugars ^nns+++??+=sugars
to ^to++++=to
produce ^vbi++++=produce
acid ^nn++++=acid,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
demineralization ^nn+++??+=demineralization
of ^in++++=of
tooth ^nn++++=tooth
structure ^nn++++=structure
over ^in++++=over
time ^nn++++=time
( ^zz++++=(Abranches
abranches ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Streptococcus ^np+++??+=Streptococcus
mitis ^nns+++??+=mitis,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
oralis ^nns+++??+=oralis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
salivarius ^nns+++??+=salivarius
are ^vb+ber+aux++=are
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
adhesion ^nn++++=adhesion
of ^in++++=of
bacteria ^nns++++=bacteria
to ^in++++=to
the ^ati++++=the
tooth ^nn++++=tooth
surface ^nn++++=surface
and ^cc++++=and
can ^md+pos+++=can
facilitate ^vb++++=facilitate
the ^ati++++=the
colonization ^nn++++=colonization
of ^in++++=of
other ^ap++++=other
oral ^jj+atrb+++=oral
microbiota ^nn+++??+=microbiota,
, ^zz++++=EXTRAWORD
including ^in++++=including
additional ^jj+atrb+++=additional
streptococci ^nn+++??+=streptococci
and ^cc++++=and
periodontopathogens ^nns+++??+=periodontopathogens
( ^zz++++=(Butler
butler ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
salivarius ^nns+++??+=salivarius
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
implicated ^vpsv++agls+xvbnx+=implicated
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
meningitis ^nns+++??+=meningitis
( ^zz++++=(Falomir
falomir ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Suy ^np+++??+=Suy
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Vignier ^np+++??+=Vignier
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
S ^zz++++=S.
. ^zz++++=EXTRAWORD
oralis ^nns+++??+=oralis
and ^cc++++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mitis ^nns+++??+=mitis
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
the ^ati++++=the
virulence ^nn+++??+=virulence
of ^in++++=of
Candida ^np+++??+=Candida
albicans ^nns+++??+=albicans
( ^zz++++=(Palma
palma ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
and ^cc++++=and
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
bloodstream ^nn++++=bloodstream
infections ^nns++++=infections
in ^in++++=in
pediatric ^nn+++??+=pediatric
patients ^nns++++=patients
( ^zz++++=(Basaranoglu
basaranoglu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Streptococcus ^np+++??+=Streptococcus
mutans ^nns+++??+=mutans
is ^vbz+bez+vrb++=is
the ^ati++++=the
microorganism ^nn+++??+=microorganism
most ^ql+emph+++=most
frequently ^rb++++=frequently
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
dental ^jj+atrb+++=dental
caries ^nn++++=caries,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
initiates ^vbz+++??+=initiates
tooth ^nn++++=tooth
demineralization ^nn+++??+=demineralization
by ^in++++=by
acidifying ^xvbg+++xvbg+=acidifying
the ^ati++++=the
microenvironment ^nn+++??+=microenvironment
and ^cc++++=and
tooth ^nn++++=tooth
surface ^nn++++=surface
( ^zz++++=(Abranches
abranches ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Baker ^np++++=Baker
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mutans ^nns+++??+=mutans
is ^vbz+bez+aux++=is
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
bacteremia ^nn+++??+=bacteremia
and ^cc++++=and
endocarditis ^nns+++??+=endocarditis
( ^zz++++=(Nakano
nakano ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Nakano ^np+++??+=Nakano
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
research ^nn++++=research
into ^in++++=into
effective ^jj+atrb+++=effective
strategies ^nns++++=strategies
to ^in++++=to
minimize ^nn++++=minimize
these ^dt+dem+++=these
infections ^nns++++=infections
is ^vbz+bez+aux++=is
warranted ^vbd+++xvbn+=warranted.
. ^zz++++=EXTRAWORD
