Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
Timorese ^np+nom++??+=Timorese
migrants ^nns+nom+++=migrants
in ^in++++=in
Northern ^np++++=Northern
Ireland ^np++++=Ireland
demonstrates ^nns+nom+++=demonstrates
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
adopting ^xvbg+++xvbg+=adopting
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
trajectory ^nn++++=trajectory
as ^in++++=as
a ^at++++=a
conceptual ^jj+atrb+++=conceptual
compass ^nn++++=compass:
: ^zz++++=EXTRAWORD
It ^pp3+it+++=It
enables ^vbz++++=enables
us ^pp1o+pp1+++=us
to ^in++++=to
foreground ^nn++++=foreground
two ^cd++++=two
processes ^nns+nom+++=processes
in ^rb++++=in
particular ^rb"++++=particular:
: ^zz++++=EXTRAWORD
( ^zz++++=(1.)
1 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
educational ^jj+atrb+++=educational
backgrounds ^nns++++=backgrounds,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
with ^in++++=with
migration ^nn+nom+++=migration
trajectories ^nns++++=trajectories,
, ^zz++++=EXTRAWORD
shape ^nn++++=shape
the ^ati++++=the
communicative ^jj+atrb+++=communicative
repertoires ^nns+++??+=repertoires,
, ^zz++++=EXTRAWORD
language ^nn+nom+++=language
resources ^nns++++=resources
and ^cc++++=and
funds ^nns++++=funds
of ^in++++=of
knowledge ^nn++++=knowledge
available ^jj++++=available
to ^in++++=to
migrants ^nns+nom+++=migrants;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(2.)
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
individual ^jj+atrb+++=individual
migrants ^nns+nom+++=migrants,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
linguistic ^jj+atrb+++=linguistic
repertoires ^nns+++??+=repertoires
and ^cc++++=and
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+vrb++=have
higher ^jjr+atrb+++=higher
value ^nn++++=value
on ^in++++=on
the ^ati++++=the
local ^jj+atrb+++=local
linguistic ^jj+atrb+++=linguistic
market ^nn++++=market,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
assume ^vb+vprv+++=assume
local ^jj+atrb+++=local
leadership ^nn+nom+++=leadership
roles ^nns++++=roles
in ^in++++=in
creating ^xvbg+++xvbg+=creating
local ^jj+atrb+++=local
communities ^nns+nom+++=communities
of ^in++++=of
practice ^nn++++=practice
and ^cc++++=and
organising ^jj+atrb+++=organising
life ^nn++++=life
world ^nn++++=world
activities ^nns+nom+++=activities
around ^in++++=around
sports ^nns++++=sports
like ^in++++=like
football ^nn++++=football.
. ^zz++++=EXTRAWORD
