Other ^ap++++=Other
issues ^nns++++=issues
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
regarding ^in++++=regarding
research ^nn++++=research
on ^in++++=on
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotions ^nns+nom+++=emotions.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
and ^cc++++=and
their ^pp$+pp3+++=their
consequences ^nns+nom+++=consequences,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
a ^at++++=a
tendency ^nn++++=tendency
to ^to+ncmp+++=to
focus ^vb++++=focus
on ^in++++=on
specific ^jj+atrb+++=specific
tactics ^nns++++=tactics
used ^vwbn+++xvbn+=used
by ^in++++=by
teachers ^nns+nom+++=teachers.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
study ^nn++++=study
by ^in++++=by
Yin ^np+++??+=Yin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
revealed ^vprf++tht0+xvbn+=revealed
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
under ^in++++=under
emotionally ^rb++++=emotionally
exhaustive ^jj+atrb+++=exhaustive
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
were ^vbd+bed+vrb++=were
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
suppress ^nns+nom+++=suppress
than ^in++++=than
to ^to++++=to
reappraise ^vbi++++=reappraise
their ^pp$+pp3+++=their
emotions ^nns+nom+++=emotions.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
reappraisal ^nn+nom+++=reappraisal
is ^vbz+bez+vrb++=is
usually ^rb+down+++=usually
more ^rbr++++=more
beneficial ^jj++++=beneficial
and ^cc++++=and
that ^dt+dem+++=that
suppression ^nn++++=suppression
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
exhaustion ^nn+nom+++=exhaustion.
. ^zz++++=EXTRAWORD
As ^ql++++=As
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
tend ^vb++++=tend
to ^to+vcmp+++=to
group ^vbi++++=group
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
into ^in++++=into
adaptive ^nn++++=adaptive
and ^cc++++=and
maladaptive ^jj+atrb+++=maladaptive
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
neglecting ^vbg+++xvbg+=neglecting,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
primary ^jj+atrb+++=primary
functions ^nns+nom+++=functions
and ^cc++++=and
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
personal ^jj+atrb+++=personal
and ^cc+phrs+++=and
situational ^jj+atrb+++=situational
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
