Other ^ap++++=Other
studies ^nns++++=studies
with ^in++++=with
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
showed ^vb+++xvbn+=showed
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
separation ^nn++++=separation
of ^in++++=of
phyotocompounds ^nns+++??+=phyotocompounds
when ^wrb+who+++=when
the ^ati++++=the
polarity ^nn+++??+=polarity
is ^vbz+bez+aux++=is
increased ^vpsv++agls+xvbnx+=increased
( ^zz++++=(Santos
santos ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
fraction ^nn++++=fraction
studied ^vbd+++xvbn+=studied
presented ^vbd+++xvbn+=presented
tannins ^nns+++??+=tannins
equivalent ^jj++++=equivalent
to ^in++++=to
catechin ^nn+++??+=catechin,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Ee ^np+++??+=EE
showed ^vbd+vprv++xvbn+=showed
15.83 ^cd++++=15.83
mg ^nnu++++=mg/g
of ^in++++=of
tannins ^nns+++??+=tannins.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
be ^vb+be+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
polarity ^nn+++??+=polarity
of ^in++++=of
each ^dt++++=each
solvent ^nn++++=solvent
used ^vwbn+++xvbn+=used,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
possibly ^rb++++=possibly
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
extraction ^nn++++=extraction
of ^in++++=of
compounds ^nns++++=compounds
with ^in++++=with
a ^at++++=a
polarity ^nn+++??+=polarity
similar ^jj++++=similar
to ^in++++=to
catechin ^nn+++??+=catechin.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
mean ^vb++++=mean
that ^tht+vcmp+++=that
the ^ati++++=the
samples ^nns++++=samples
produced ^vbd+++xvbn+=produced
with ^in++++=with
bark ^nn++++=bark
of ^in++++=of
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
contain ^vb++++=contain
tannins ^nns+++??+=tannins.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
flavonoid ^nn++++=flavonoid
found ^vbd+vprv++xvbn+=found
in ^in++++=in
each ^dt++++=each
fraction ^nn++++=fraction
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
than ^in++++=than
that ^dt+pdem+++=that
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
Ee ^np+++??+=EE,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
probably ^rb++++=probably
because ^cs+cos+++=because
the ^ati++++=the
fractions ^nns++++=fractions
of ^in++++=of
the ^ati++++=the
compounds ^nns++++=compounds
are ^vb+ber+aux++=are
more ^rbr++splt++=more
concentrated ^vpsv++agls+xvbnx+=concentrated
than ^in++++=than
in ^in++++=in
the ^ati++++=the
Ee ^np+++??+=EE
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi++vrb++=be
higher ^jjr+pred+++=higher.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
study ^nn++++=study,
, ^zz++++=EXTRAWORD
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
qualitatively ^rb++++=qualitatively
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
auronas ^nns+++??+=auronas,
, ^zz++++=EXTRAWORD
catechins ^nns+++??+=catechins,
, ^zz++++=EXTRAWORD
chalcones ^nns+++??+=chalcones,
, ^zz++++=EXTRAWORD
flavonones ^nns+++??+=flavonones,
, ^zz++++=EXTRAWORD
saponins ^nns+++??+=saponins
and ^cc++++=and
tannins ^nns+++??+=tannins
in ^in++++=in
the ^ati++++=the
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate
fraction ^nn++++=fraction,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
hexane ^nn+++??+=hexane
fraction ^nn++++=fraction
and ^cc++++=and
chloroform ^nn++++=chloroform
only ^rb+down+++=only
steroids ^nns+++??+=steroids
and ^cc++++=and
triterpenes ^nns+++??+=triterpenes
