Dental ^jj+atrb+++=Dental
caries ^nn++++=caries
and ^cc++++=and
periodontal ^jj+atrb++??+=periodontal
disease ^nn++++=disease
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj++++=prevalent
of ^in++++=of
the ^ati++++=the
biofilm ^nn+++??+=biofilm-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
With ^in++++=With
numerous ^jj+atrb+++=numerous
side ^nn++++=side
effects ^nns++++=effects
on ^in++++=on
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
chlorhexidine ^nn+++??+=chlorhexidine,
, ^zz++++=EXTRAWORD
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
new ^jj+atrb+++=new
safe ^jj+atrb+++=safe
therapeutic ^jj+atrb+++=therapeutic
alternatives ^nns++++=alternatives
for ^in++++=for
microorganisms ^nn++++=microorganisms
involved ^vbd+++xvbn+=involved
with ^in++++=with
these ^dt+dem+++=these
diseases ^nns++++=diseases
increases ^nns++++=increases
every ^at++++=every
day ^nn++++=day.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
antimicrobial ^nn+++??+=antimicrobial
activity ^nn++++=activity
and ^cc++++=and
cytotoxicity ^nn+++??+=cytotoxicity
of ^in++++=of
extracts ^nns++++=extracts
made ^vbd+++xvbn+=made
from ^in++++=from
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
Schinopsis ^np+++??+=Schinopsis
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
against ^in++++=against
five ^cd++++=five
oral ^jj+atrb+++=oral
microorganisms ^nns+++??+=microorganisms
and ^cc++++=and
analyze ^nn+++??+=analyze
their ^pp$+pp3+++=their
phytochemical ^nn+++??+=phytochemical
and ^cc++++=and
thermal ^jj+atrb+++=thermal
degradation ^nn++++=degradation
profile ^nn++++=profile.
. ^zz++++=EXTRAWORD
The ^ati++++=The
liquid ^jj++++=liquid-liquid
- ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=EXTRAWORD
partition ^nn++++=partition
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
with ^in++++=with
hexane ^nn+++??+=hexane,
, ^zz++++=EXTRAWORD
chloroform ^nn++++=chloroform
and ^cc++++=and
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
identification ^nn++++=identification
and ^cc++++=and
quantification ^nn+++??+=quantification
of ^in++++=of
the ^ati++++=the
chemical ^jj+atrb+++=chemical
marker ^nn++++=marker
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Antimicrobial ^np+++??+=Antimicrobial
activity ^nn++++=activity
was ^vbd+bedz+aux++=was
evaluated ^vpsv++agls+xvbnx+=evaluated
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
minimum ^jj+atrb+++=minimum
inhibitory ^nn+++??+=inhibitory
concentration ^nn++++=concentration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cytotoxicity ^nn+++??+=cytotoxicity
was ^vbd+bedz+vrb++=was
analyzed ^jj+++??+=analyzed
based ^jj+++xvbn+=based
on ^in++++=on
the ^ati++++=the
hemolysing ^nn+++??+=hemolysing
potential ^jj++++=potential
of ^in++++=of
the ^ati++++=the
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thermal ^jj+atrb+++=thermal
degradation ^nn++++=degradation
profile ^nn++++=profile
was ^vbd+bedz+aux++=was
performed ^vpsv++by+xvbnx+=performed
by ^in++++=by
two ^cd++++=two
different ^jj+atrb+++=different
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
Gallic ^np+++??+=Gallic
acid ^nn++++=acid
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
main ^jjb+atrb+++=main
compound ^nn++++=compound
of ^in++++=of
the ^ati++++=the
samples ^nns++++=samples
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
highest ^jjt+atrb+++=highest
amount ^nn++++=amount
in ^in++++=in
the ^ati++++=the
chloroform ^nn++++=chloroform
fraction ^nn++++=fraction.
. ^zz++++=EXTRAWORD
All ^abn++++=All
samples ^nns++++=samples
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
inhibit ^vb++++=inhibit
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
the ^ati++++=the
microorganisms ^nn++++=microorganisms
tested ^vwbn+++xvbn+=tested
and ^cc+phrs+++=and
