Materials ^nns++++=Materials
and ^cc++++=and
Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
retrospective ^jj++++=retrospective
single ^jj++++=single-center
- ^zz++++=EXTRAWORD
center ^nn+++??+=EXTRAWORD
study ^nn++++=study
selected ^vwbn+++xvbn+=selected
91 ^cd++++=91
patients ^nns++++=patients
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
chest ^nn++++=chest
Ct ^np+++??+=CT
and ^cc++++=and
real ^jj++++=real-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
polymerase ^nn+++??+=polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
( ^zz++++=(RT-PCR)
rt ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
test ^vb++++=test
collected ^vbd+++xvbn+=collected
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Ct ^np+++??+=CT
results ^nns++++=results
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
in ^in++++=in
negative ^jj++++=negative,
, ^zz++++=EXTRAWORD
typical ^jj++++=typical,
, ^zz++++=EXTRAWORD
indeterminate ^jj+atrb+++=indeterminate
or ^cc+phrs+++=or
atypical ^jj+atrb+++=atypical
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
Diagnostic ^np+++??+=Diagnostic
accuracy ^nn++++=accuracy,
, ^zz++++=EXTRAWORD
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
for ^in++++=for
two ^cd++++=two
different ^jj+atrb+++=different
scenarios ^nns+++??+=scenarios:
: ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
typical ^jj+atrb+++=typical
findings ^nns++++=findings
on ^in++++=on
Ct ^np+++??+=CT
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
positive ^jj++++=positive;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
both ^abx++++=both
typical ^jj+atrb+++=typical
and ^cc+phrs+++=and
indeterminate ^jj+atrb+++=indeterminate
findings ^nns++++=findings
were ^vbd+bed+aux++=were
considered ^vbd+vprv++xvbn+=considered
positive ^jj++++=positive.
. ^zz++++=EXTRAWORD
