Time ^nn++++=Time
spent ^vbd+++xvbn+=spent
in ^in++++=in
Mvpa ^np+++??+=MVPA
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
two ^cd++++=two
questions ^nns++++=questions:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
much ^ap++++=much
time ^nn++++=time
on ^in++++=on
an ^at++++=an
average ^jj+atrb+++=average
day ^nn++++=day
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
in ^in++++=in
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
since ^cs+sub+++=since
self ^nn++++=self-isolating?
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
; ^zz++++=;
and ^cc+cls+++=and
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
much ^ap++++=much
time ^nn++++=time
on ^in++++=on
an ^at++++=an
average ^jj+atrb+++=average
day ^nn++++=day
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
in ^in++++=in
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
since ^cs+sub+++=since
self ^nn++++=self-isolating?
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
. ^zz++++=.
The ^ati++++=The
questions ^nns++++=questions
were ^vbd+bed+aux++=were
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
the ^ati++++=the
following ^jj+atrb++xvbg+=following
explanations ^nns++++=explanations:
: ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
about ^in++++=about
all ^abn++++=all
the ^ati++++=the
vigorous ^jj+atrb+++=vigorous
and ^cc+phrs+++=and
moderate ^jj+atrb+++=moderate
activities ^nns++++=activities
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
on ^in++++=on
average ^jj++++=average
daily ^jj++++=daily
during ^in++++=during
self ^nn++++=self-isolating.
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Vigorous ^jj+atrb+++=Vigorous
physical ^jj+atrb+++=physical
activities ^nns++++=activities
refer ^vb++++=refer
to ^in++++=to
activities ^nns++++=activities
that ^tht+rel+subj++=that
take ^vb++++=take
hard ^jj+atrb+++=hard
physical ^jj+atrb+++=physical
effort ^nn++++=effort
and ^cc++++=and
make ^vb++++=make
you ^pp2+pp2+++=you
breathe ^vb++++=breathe
much ^ap++++=much
harder ^jjr++++=harder
than ^in++++=than
normal ^nn++++=normal.
. ^zz++++=EXTRAWORD
Moderate ^jj+atrb+++=Moderate
activities ^nns++++=activities
refer ^vb++++=refer
to ^in++++=to
activities ^nns++++=activities
that ^tht+rel+subj++=that
take ^vb++++=take
moderate ^jj+atrb+++=moderate
