Comparison ^nn++++=Comparison
of ^in++++=of
the ^ati++++=the
values ^nns++++=values
for ^in++++=for
each ^dt++++=each
Factor ^nn++++=Factor
between ^in++++=between
Series ^nn++++=Series
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
change ^nn++++=change
in ^in++++=in
mood ^nn++++=mood
states ^nns++++=states
as ^ql++++=as
function ^nn+nom+++=function
of ^in++++=of
time ^nn++++=time
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Temporal ^jj+atrb+++=Temporal
patterns ^nns++++=patterns
of ^in++++=of
mood ^nn++++=mood
state ^nn++++=state
changes ^nns++++=changes
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
regarding ^in++++=regarding
Factors ^nns++++=Factors
Iv ^np+++??+=IV
( ^zz++++=(Limerence/Empathy)
limerence ^nn+nom+++=EXTRAWORD
and ^cc++++=and
Vii ^np+++??+=VII
( ^zz++++=(Interest).
interest ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Higher ^jjr+atrb+++=Higher
Factor ^nn++++=Factor
Iv ^np+++??+=IV
( ^zz++++=(Limerence/Empathy)
limerence ^nn+nom+++=EXTRAWORD
presence ^nn+nom+++=presence
values ^nns++++=values
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
for ^in++++=for
Series ^nn++++=Series
1 ^zz++++=1
compared ^xvbn+++xvbn+=compared
to ^in++++=to
Series ^nn++++=Series
2 ^zz++++=2
( ^zz++++=(p=0.012).
p=0.012 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Factor ^nn++++=Factor
Vii ^np+++??+=VII
( ^zz++++=(Interest)
interest ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
presence ^nn+nom+++=presence
values ^nns++++=values
were ^vbd+bed+vrb++=were
higher ^jjr+pred+++=higher
for ^in++++=for
Series ^nn++++=Series
1 ^zz++++=1
compared ^xvbn+++xvbn+=compared
to ^in++++=to
Series ^nn++++=Series
2 ^zz++++=2
( ^zz++++=(p=0,003)
p=0,003 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
also ^rb++++=also
to ^in++++=to
Series ^nn++++=Series
3 ^zz++++=3
( ^zz++++=(being
being ^vbg+beg++xvbg+=EXTRAWORD
marginally ^rb++++=marginally
significant ^jj++++=significant
in ^in++++=in
the ^ati++++=the
latter ^ap++++=latter
case ^nn++++=case,
, ^zz++++=EXTRAWORD
with ^in++++=with
p ^zz++++=p
= ^zz++++==
0.055 ^nn+++??+=0.055).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Factor ^nn++++=Factor
Iv ^np+++??+=IV
( ^zz++++=(Limerence/Empathy)
limerence ^nn+nom+++=EXTRAWORD
presence ^nn+nom+++=presence
values ^nns++++=values
were ^vbd+bed+vrb++=were
higher ^jjr+pred+++=higher
in ^in++++=in
Series ^nn++++=Series
1 ^zz++++=1
than ^in++++=than
in ^in++++=in
Series ^nn++++=Series
2 ^zz++++=2
and ^cc++++=and
Factor ^nn++++=Factor
Vii ^np+++??+=VII
( ^zz++++=(Interest)
interest ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
presence ^nn+nom+++=presence
values ^nns++++=values
were ^vbd+bed+vrb++=were
also ^rb++++=also
higher ^jjr+pred+++=higher
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
series ^nn++++=Series
2 ^zz++++=2
and ^cc++++=and
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
