Eleven ^cd++++=Eleven
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
70 ^cd++++=70
studies ^nns++++=studies
( ^zz++++=(15.7%)
15.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
recommended ^vbd+vsua++xvbn+=recommended
using ^vbg+++xvbg+=using
hydrogels ^nns+++??+=hydrogels
to ^to++++=to
manage ^vbi++++=manage
Mfwrelated ^np+++??+=MFWrelated
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
studies ^nns++++=studies
included ^vbd+++xvbn+=included
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(54.5%),
54.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(36.3%),
36.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews
( ^zz++++=(9.2%).
9.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
( ^zz++++=(72.7%)
72.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
discussed ^vwbn+++xvbn+=discussed
hydrogel ^nn+++??+=hydrogel
perfunctorily ^rb++++=perfunctorily
as ^in++++=as
an ^at++++=an
optional ^nn++++=optional
dressing ^vwbg+++xvbg+=dressing
for ^in++++=for
these ^dt+dem+++=these
patients ^nns++++=patients
to ^to++++=to
reduce ^vbi++++=reduce
pain ^nn++++=pain
by ^in++++=by
maintaining ^xvbg+++xvbg+=maintaining
a ^at++++=a
moist ^jj+atrb+++=moist
wound ^nn+++xvbn+=wound
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Discussions ^nns++++=Discussions
were ^vbd+bed+vrb++=were
brief ^jj+pred+++=brief
without ^in++++=without
substantiation ^nn+nom+++=substantiation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hydrogel ^nn+++??+=hydrogel
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
mentioned ^vpsv++agls+xvbnx+=mentioned
as ^ql++++=as
a ^at++++=a
vehicle ^nn++++=vehicle
to ^to++++=to
deliver ^vbi++++=deliver
other ^ap++++=other
active ^jj+atrb+++=active
substances ^nns+nom+++=substances
such ^abl++++=such
as ^ql++++=as
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
anesthetics ^nns++++=anesthetics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antibiotics ^nns++++=antibiotics
in ^in++++=in
the ^ati++++=the
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
presented ^vwbn+++xvbn+=presented
a ^at++++=a
standardized ^jj+atrb++xvbn+=standardized
way ^nn++++=way
of ^in++++=of
using ^xvbg+++xvbg+=using
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
dressing ^nn++++=dressing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
results ^nns++++=results
were ^vbd+bed+aux++=were
presented ^vbd+++xvbn+=presented.
. ^zz++++=EXTRAWORD
