Today ^nr+tm+++=Today,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
mayor ^nn++++=mayor
goes ^vbz++++=goes
there ^rn+pl+++=there
[ ^zz++++=[municipality],
municipality ^nn+nom+++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
400 ^cd++++=400
people ^nns++++=people
there ^rn+pl+++=there
who ^whp+who+++=who
follow ^vb+vprv+++=follow
our ^pp$+pp1+++=our
networks ^nns++++=networks
and ^cc++++=and
will ^md+prd+++=will
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
In ^in++++=In
two ^cd++++=two
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
becomes ^vbz++++=becomes
a ^at++++=a
problem ^nn++++=problem
for ^in++++=for
the ^ati++++=the
mayor ^nn++++=mayor.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^rb+emph+++=so
foolish ^jj++++=foolish
as ^in++++=as
to ^to++++=to
do ^vbi++++=do
something ^pn++++=something
like ^in++++=like
this ^dt+dem+++=this
( ^zz++++=(Chief
chief ^jjb++++=EXTRAWORD
of ^in++++=of
staff ^nn++++=Staff
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
