Patients ^nns++++=Patients
often ^rb++++=often
experience ^nn+nom+++=experience
pain ^nn++++=pain
during ^in++++=during
dressing ^xvbg+++xvbg+=dressing
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
Careful ^jj+atrb+++=Careful
application ^nn+nom+++=application
and ^cc++++=and
removal ^nn++++=removal,
, ^zz++++=EXTRAWORD
irrigation ^nn+nom+++=irrigation
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
proper ^jj+atrb+++=proper
decision ^nn++++=decision
on ^in++++=on
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
dressing ^xvbg+++xvbg+=dressing
changes ^nns++++=changes
can ^md+pos+++=can
be ^vb+be+aux++=be
easily ^rb++splt++=easily
modified ^vpsv++agls+xvbnx+=modified
to ^to++++=to
contribute ^vbi++++=contribute
to ^in++++=to
topical ^jj+atrb+++=topical
pain ^nn++++=pain
management ^nn+nom+++=management
( ^zz++++=(Woo,
woo ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
