Ten ^cd++++=Ten
( ^zz++++=(14.2%)
14.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
proposed ^vbd+vsua++xvbn+=proposed
using ^vbg+++xvbg+=using
topical ^jj+atrb+++=topical
antimicrobials ^nns+nom+++=antimicrobials
such ^abl++++=such
as ^ql++++=as
Metronidazole ^np+++??+=Metronidazole,
, ^zz++++=EXTRAWORD
Nanocrystalline ^np+++??+=Nanocrystalline
Silver ^nn++++=Silver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Silver ^nn++++=Silver
Sulfadiazine ^np+++??+=Sulfadiazine
to ^to++++=to
manage ^vbi++++=manage
Mfw ^np+++??+=MFW-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
were ^vbd+bed+vrb++=were
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(40%),
40% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
randomized ^jj+atrb++xvbn+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
( ^zz++++=(20%),
20% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(10%),
10% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
retrospective ^jj+atrb+++=retrospective
cohorts ^nns++++=cohorts
( ^zz++++=(10%),
10% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews
( ^zz++++=(10%),
10% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
surveys ^nns++++=surveys
( ^zz++++=(10%).
10% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
( ^zz++++=(60%)
60 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
using ^vbg+++xvbg+=using
antimicrobials ^nns+nom+++=antimicrobials,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
pain ^nn++++=pain
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
their ^pp$+pp3+++=their
main ^jjb+atrb+++=main
focus ^nn++++=focus,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
present ^vb++++=present
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
use ^nn++++=use
or ^cc++++=or
the ^ati++++=the
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
