Other ^ap++++=Other
than ^in++++=than
group ^nn++++=group
and ^cc++++=and
tactile ^jj+atrb+++=tactile
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Eal ^np+++??+=EAL
teacher ^nn++++=teacher
might ^md+pos+++=might
opt ^vb++++=opt
for ^in++++=for
working ^xvbg+++xvbg+=working
with ^in++++=with
sounds ^nns++++=sounds
or ^cc++++=or
songs ^nns++++=songs.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
approach ^nn++++=approach
draws ^vbz++++=draws
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
orality ^nn+nom+++=orality
in ^in++++=in
class ^nn++++=class,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
practical ^jj+atrb+++=practical
uses ^nns++++=uses
of ^in++++=of
oral ^jj+atrb+++=oral
genres ^nns+++??+=genres
in ^in++++=in
different ^jj+atrb+++=different
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
In ^in++++=In
Camargo ^np+++??+=Camargo
and ^cc++++=and
Nardi ^np+++??+=Nardi
s ^zz++++=s
research ^nn++++=research
( ^zz++++=(2006),
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
teachers ^nns+nom+++=teachers
also ^rb++++=also
made ^vprf+++xvbn+=made
use ^nn++++=use
of ^in++++=of
orality ^nn+nom+++=orality
by ^in++++=by
suggesting ^xvbg+++xvbg+=suggesting,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
oral ^jj+atrb+++=oral
presentations ^nns+nom+++=presentations
and ^cc++++=and
theatrical ^jj+atrb+++=theatrical
plays ^nns++++=plays
in ^in++++=in
class ^nn++++=class,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
overcome ^vb+++xvbn+=overcome
impasses ^nns+++??+=impasses
that ^tht+rel+subj++=that
might ^md+pos+++=might
arise ^vb++++=arise
from ^in++++=from
teaching ^nn++++=teaching
physics ^nn++++=Physics
to ^in++++=to
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
