Studying ^jj+atrb++xvbg+=Studying
disaster ^nn+nom+++=disaster-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
abrupt ^jj+atrb+++=abrupt
community ^nn+nom+++=community
change ^nn++++=change
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
fully ^rb+amp+++=fully
articulated ^jj+++xvbn+=articulated
in ^in++++=in
case ^nn++++=case
studies ^nns++++=studies
of ^in++++=of
flood ^nn++++=flood
events ^nns++++=events,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
loss ^nn++++=loss
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
property ^nn++++=property,
, ^zz++++=EXTRAWORD
injury ^nn++++=injury,
, ^zz++++=EXTRAWORD
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
evacuation ^nn+nom+++=evacuation
and ^cc++++=and
potential ^jj+atrb+++=potential
dislocation ^nn+nom+++=dislocation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
critical ^jj+atrb+++=critical
infrastructure ^nn+++??+=infrastructure
disruption ^nn+nom+++=disruption
take ^vb++++=take
place ^nn++++=place
( ^zz++++=(
33 ^cd++++=33
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
kinds ^nns++++=kinds
of ^in++++=of
sudden ^jj+atrb+++=sudden
impacts ^nns+++??+=impacts
change ^nn++++=change
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
life ^nn++++=life
for ^in++++=for
residents ^nns++++=residents
through ^in++++=through
inflicting ^xvbg+++xvbg+=inflicting
disaster ^nn+nom+++=disaster
stress ^vb+vpub+++=stress
on ^in++++=on
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Significant ^jj+atrb+++=Significant
work ^nn++++=work
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++by+xvbnx+=done
by ^in++++=by
sociologist ^nn+nom+++=sociologist
Kai ^np+++??+=Kai
Erikson ^np+++??+=Erikson
( ^zz++++=(
62 ^cd++++=62
) ^zz++++=),
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
provided ^vbd+vsua++xvbn+=provided
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
psychological ^jj+atrb+++=psychological
aftermath ^nn++++=aftermath
following ^vwbg+++xvbg+=following
a ^at++++=a
catastrophic ^jj+atrb+++=catastrophic
dam ^nn++++=dam
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
subsequent ^jj+atrb+++=subsequent
flooding ^nn++++=flooding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
total ^jj+atrb+++=total
devastation ^nn+nom+++=devastation
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Buffalo ^np+++??+=Buffalo
Creek ^nn++++=Creek
in ^in++++=in
rural ^jj+atrb+++=rural
West ^np+pl+++=West
Virginia ^np++++=Virginia.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
initial ^jj+atrb+++=initial
impact ^nn++++=impact
was ^vbd+bedz+vrb++=was
significant ^jj+pred+++=significant,
, ^zz++++=EXTRAWORD
equally ^rb++++=equally
challenging ^jj+++xvbg+=challenging
was ^vbd+bedz+vrb++=was
the ^ati++++=the
lingering ^jj+atrb++xvbg+=lingering
emotional ^jj+atrb+++=emotional
toll ^nn++++=toll
and ^cc++++=and
stress ^vb+vpub+++=stress
experienced ^vpsv++by+xvbn+=experienced
by ^in++++=by
the ^ati++++=the
survivors ^nns++++=survivors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
patterns ^nns++++=patterns
of ^in++++=of
everyday ^jjb+atrb+++=everyday
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
community ^nn+nom+++=community
identity ^nn+nom+++=identity
were ^vbd+bed+vrb++=were
severely ^rb++++=severely
altered ^jj+pred+++=altered
and ^cc+phrs+++=and
impossible ^jj++++=impossible
to ^to+jcmp+++=to
regain ^vb++++=regain.
. ^zz++++=EXTRAWORD
