One ^cd1++++=One
central ^jj+atrb+++=central
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
is ^vbz+bez+vrb++=is
to ^in++++=to
review ^nn++++=review
and ^cc++++=and
assess ^vb++++=assess
the ^ati++++=the
early ^jj+atrb+++=early
literature ^nn++++=literature
on ^in++++=on
climate ^nn+nom+++=climate
change ^nn++++=change
and ^cc++++=and
communities ^nns+nom+++=communities
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
newer ^jjr++++=newer
empirically ^rb++++=empirically
based ^xvbn+++xvbn+=based
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
this ^dt+dem+++=this
literature ^nn++++=literature
is ^vbz+bez+vrb++=is
still ^rb++++=still
relatively ^rb++++=relatively
nascent ^jj++++=nascent,
, ^zz++++=EXTRAWORD
a ^at++++=a
much ^ap++++=much
broader ^jjr+atrb+++=broader
literature ^nn++++=literature
does ^vbz+doz+aux++=does
exist ^vb++++=exist
on ^in++++=on
how ^wrb+who+++=how
community ^nn+nom+++=community
dynamics ^nn++++=dynamics
result ^nn++++=result
in ^in++++=in
challenges ^nn++++=challenges
to ^in++++=to
residents ^nns++++=residents
psychological ^jj++++=psychological
well ^rb++++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
research ^nn++++=research
is ^vbz+bez+aux++=is
deeply ^rb++splt++=deeply
connected ^vpsv++agls+xvbnx+=connected
to ^in++++=to
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
issues ^nns++++=issues
within ^in++++=within
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
disaster ^nn+nom+++=disaster
and ^cc++++=and
hazards ^nns++++=hazards
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
psychology ^nn++++=psychology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
urban ^jj+atrb+++=urban
geography ^nn++++=geography
and ^cc++++=and
planning ^nvbg+++xvbg+=planning
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
research ^nn++++=research
heretofore ^nn+++??+=heretofore
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
fully ^rb+amp+splt++=fully
integrated ^vpsv++agls+xvbn+=integrated
into ^in++++=into
the ^ati++++=the
climate ^nn+nom+++=climate
change ^nn++++=change
and ^cc++++=and
community ^nn+nom+++=community
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
An ^at++++=An
often ^rb++++=often-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
critique ^nn++++=critique
of ^in++++=of
the ^ati++++=the
climate ^nn+nom+++=climate
change ^nn++++=change
inquiry ^nn++++=inquiry
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
it ^pp3+it+++=it
emerges ^vbz++++=emerges
in ^in++++=in
isolation ^nn+nom+++=isolation
from ^in++++=from
the ^ati++++=the
broader ^jjr+atrb+++=broader
social ^jj+atrb+++=social
science ^nn+nom+++=science
literature ^nn++++=literature
on ^in++++=on
topics ^nns++++=topics
of ^in++++=of
related ^vbd+++xvbn+=related
focus ^nn++++=focus
and ^cc++++=and
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
review ^nn++++=review
provides ^vbz+vsua+++=provides
some ^dti++++=some
of ^in++++=of
that ^dt+dem+++=that
integration ^nn+nom+++=integration.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
key ^jjb+atrb+++=key
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
is ^vbz+bez+vrb++=is
to ^in++++=to
review ^nn++++=review
and ^cc++++=and
assess ^vb++++=assess
the ^ati++++=the
broader ^jjr+atrb+++=broader
social ^jj+atrb+++=social
science ^nn+nom+++=science
literature ^nn++++=literature
on ^in++++=on
community ^nn+nom+++=community
transformation ^nn+nom+++=transformation
and ^cc++++=and
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
through ^in++++=through
a ^at++++=a
lens ^nn++++=lens
relevant ^jj++++=relevant
to ^in++++=to
dynamic ^jj+atrb+++=dynamic
coastal ^jj+atrb+++=coastal
risk ^nn++++=risk
and ^cc++++=and
climate ^nn+nom+++=climate
change ^nn++++=change.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analysis ^nn++++=analysis
will ^md+prd+++=will
help ^vb++++=help
us ^pp1o+pp1+++=us
present ^vb++++=present
several ^ap++++=several
key ^jjb+atrb+++=key
areas ^nns++++=areas
of ^in++++=of
research ^nn++++=research
and ^cc++++=and
knowledge ^nn++++=knowledge
gaps ^nns++++=gaps.
. ^zz++++=EXTRAWORD
