Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
observe ^vb+vprv+++=observe
a ^at++++=a
change ^nn++++=change
in ^in++++=in
stromal ^jj+atrb+++=stromal
cell ^nn++++=cell
numbers ^nns+nom+++=numbers
in ^in++++=in
M4 ^np+++??+=M4/M5-high
tissues ^nns++++=tissues
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3d,g ^cd++++=3d,g
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hypothesized ^vbd+++xvbn+=hypothesized
that ^tht+vcmp+++=that
the ^ati++++=the
detected ^jj+atrb++xvbn+=detected
stromal ^jj+atrb+++=stromal
signatures ^nns++++=signatures
could ^md+pos+++=could
have ^vb+hv+aux++=have
arisen ^vprf+++xvbn+=arisen
from ^in++++=from
altered ^jj+atrb++xvbn+=altered
activation ^nn+nom+++=activation
states ^np++++=states
( ^zz++++=(including
including ^in++++=EXTRAWORD
the ^ati++++=the
upregulation ^nn+nom+++=upregulation
of ^in++++=of
Pdpn ^np+++??+=PDPN).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
applied ^vbd+++xvbn+=applied
scrna ^nn+++??+=scRNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
to ^in++++=to
Epcam ^np+++??+=EPCAM
Cd45 ^np+++??+=CD45
intestinal ^jj+atrb+++=intestinal
stromal ^jj+atrb+++=stromal
cells ^nns++++=cells
from ^in++++=from
endoscopic ^jj+atrb+++=endoscopic
biopsies ^nns+++??+=biopsies
of ^in++++=of
inflamed ^jj+atrb+++=inflamed
tissue ^nn++++=tissue
from ^in++++=from
patients ^nns++++=patients
with ^in++++=with
Uc ^np+++??+=UC
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
7 ^zz++++=7)
) ^zz++++=EXTRAWORD
and ^cc++++=and
tissue ^nn++++=tissue
from ^in++++=from
healthy ^jj+atrb+++=healthy
donors ^nns++++=donors
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Extended ^jj+atrb++xvbn+=Extended
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
6 ^zz++++=6
for ^in++++=for
patient ^nn++++=patient
cohort ^nn++++=cohort
details ^nns++++=details),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
compared ^xvbn+++xvbn+=compared
tissues ^nns++++=tissues
with ^in++++=with
low ^jj++++=low,
, ^zz++++=EXTRAWORD
intermediate ^jj+atrb+++=intermediate
and ^cc+phrs+++=and
high ^jj+atrb+++=high
M4 ^np+++??+=M4/M5
expression ^nn++++=expression
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
4a,b ^cd++++=4a,b
and ^cc++++=and
Extended ^jj+atrb++xvbn+=Extended
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
7a ^cd++++=7a
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
expected ^jj+++xvbn+=expected,
, ^zz++++=EXTRAWORD
tissues ^nns++++=tissues
from ^in++++=from
all ^rb++++=all
healthy ^jj+atrb+++=healthy
donors ^nns++++=donors
were ^vbd+bed+vrb++=were
M4 ^np+++??+=M4/M5
low ^jj++++=low,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
tissue ^nn++++=tissue
from ^in++++=from
one ^cd1++++=one
patient ^nn++++=patient
with ^in++++=with
Ibd ^np+++??+=IBD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
low ^jj+atrb+++=low
histologic ^nn++++=histologic
inflammation ^nn+nom+++=inflammation
score ^nn++++=score
( ^zz++++=(Nancy
nancy ^np++++=EXTRAWORD
score ^nn++++=score
= ^zz++++==
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
integrated ^vbd+++xvbn+=integrated
all ^abn++++=all
single ^jj++++=single-cell
