Using ^vbg+++xvbg+=Using
the ^ati++++=the
bias ^nn++++=bias
covariate ^nn+nom+++=covariate
selection ^nn+nom+++=selection
algorithm ^vb+++??+=algorithm
developed ^vpsv++by+xvbn+=developed
by ^in++++=by
Zheng ^np+++??+=Zheng
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
no ^at++++=no
systematic ^jj+atrb+++=systematic
bias ^nn++++=bias
covariates ^nns+nom+++=covariates
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
a ^at++++=a
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
Rr ^np+++??+=RR
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
publication ^nn+nom+++=publication
or ^cc++++=or
reporting ^vbg+++xvbg+=reporting
bias ^nn++++=bias,
, ^zz++++=EXTRAWORD
visual ^jj+atrb+++=visual
inspection ^nn+nom+++=inspection
of ^in++++=of
the ^ati++++=the
symmetry ^nn++++=symmetry
of ^in++++=of
a ^at++++=a
customized ^jj+atrb++xvbn+=customized
funnel ^nn++++=funnel
plot ^nn++++=plot
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1c ^cd++++=1c
) ^zz++++=)
does ^vbz+doz+aux++=does
suggest ^vb+vpub+++=suggest
potential ^jj++++=potential
risk ^vb++++=risk
of ^in++++=of
such ^abl++++=such
bias ^nn++++=bias
among ^in++++=among
the ^ati++++=the
studies ^nns++++=studies
included ^vbd+++xvbn+=included.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^nvbg+++xvbg+=finding
was ^vbd+bedz+aux++=was
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
results ^nns++++=results
of ^in++++=of
an ^at++++=an
Egger ^np+++??+=Egger
s ^zz++++=s
regression ^nn++++=regression
test ^nn++++=test
with ^in++++=with
a ^at++++=a
P ^zz++++=P
value ^nn++++=value
of ^in++++=of
< ^zz++++=<0.05.
0.05 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
pooled ^vbd+++xvbn+=pooled
mean ^jj+atrb+++=mean
effect ^nn++++=effect
sizes ^nns++++=sizes
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
suggestion ^nn+nom+++=suggestion
of ^in++++=of
bias ^nn++++=bias
in ^in++++=in
the ^ati++++=the
funnel ^nn++++=funnel
plot ^nn++++=plot.
. ^zz++++=EXTRAWORD
Regardless ^rb+cnj+++=Regardless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
any ^dti++++=any
such ^abl++++=such
bias ^nn++++=bias
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small
enough ^qlp++++=enough
that ^dt+dem+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
unlikely ^jj+pred+++=unlikely
to ^to+jcmp+++=to
affect ^vb++++=affect
our ^pp$+pp1+++=our
main ^jjb+atrb+++=main
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
