Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
interested ^jj+pred+++=interested
in ^in++++=in
identifying ^xvbg+++xvbg+=identifying
modules ^nns+++??+=modules
of ^in++++=of
genes ^nns++++=genes
that ^tht+rel+subj++=that
changed ^vbd+++xvbn+=changed
in ^in++++=in
expression ^nn++++=expression
as ^in++++=as
a ^at++++=a
function ^nn+nom+++=function
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
another ^dt++++=another
permutation ^nn+nom+++=permutation
test ^nn++++=test
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
identify ^vbi++++=identify
modules ^nns+++??+=modules
that ^tht+rel+subj++=that
significantly ^rb++++=significantly
vary ^vb++++=vary
from ^in++++=from
pre ^nn+++??+=pre-infection.
- ^zz++++=EXTRAWORD
infection ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
every ^at++++=every
cell ^nn++++=cell
was ^vbd+bedz+aux++=was
scored ^vpsv++agls+xvbnx+=scored
for ^in++++=for
the ^ati++++=the
genes ^nns++++=genes
within ^in++++=within
the ^ati++++=the
module ^nn+++??+=module,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
Addmodulescore ^np+++??+=AddModuleScore
function ^nn+nom+++=function
in ^in++++=in
Seurat ^np+++??+=Seurat.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
function ^nn+nom+++=function
calculates ^nns+nom+++=calculates
an ^at++++=an
average ^jj+atrb+++=average
module ^nn+++??+=module
score ^nn++++=score
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
the ^ati++++=the
mean ^jj+atrb+++=mean
expression ^nn++++=expression
of ^in++++=of
the ^ati++++=the
genes ^nns++++=genes
within ^in++++=within
the ^ati++++=the
module ^nn++++=module
corrected ^vwbn+++xvbn+=corrected
for ^in++++=for
expression ^nn++++=expression
of ^in++++=of
other ^ap++++=other
genes ^nns++++=genes
with ^in++++=with
similar ^jj+atrb+++=similar
means ^nns++++=means
across ^in+pl+++=across
the ^ati++++=the
dataset ^nn+++??+=dataset.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
score ^nn++++=score
functions ^nns+nom+++=functions
as ^in++++=as
an ^at++++=an
expression ^nn++++=expression
estimate ^nn+nom+++=estimate
of ^in++++=of
the ^ati++++=the
genes ^nns++++=genes
within ^in++++=within
a ^at++++=a
module ^nn+++??+=module
in ^in++++=in
any ^dti++++=any
given ^jj+atrb++xvbn+=given
single ^jj+atrb+++=single
cell ^nn++++=cell.
. ^zz++++=EXTRAWORD
As ^ql++++=As
testing ^jj+++xvbg+=testing
for ^in++++=for
differences ^nns+nom+++=differences
in ^in++++=in
distribution ^nn+nom+++=distribution
is ^vbz+bez+vrb++=is
sensitive ^jj+pred+++=sensitive
to ^in++++=to
sample ^nn++++=sample
number ^nn++++=number,
