Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
Kit ^nn++++=KIT
D816v ^np+++??+=D816V
became ^vbd+++xvbn+=became
undetectable ^jj++++=undetectable
in ^in++++=in
the ^ati++++=the
Bm ^np+++??+=BM
of ^in++++=of
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
Advsm ^np+++??+=AdvSM,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
highly ^rb+amp+++=highly
sensitive ^jj+atrb+++=sensitive
ddpcr ^nn+++??+=ddPCR
assay ^nn++++=assay.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
avapritinib ^jj+++??+=avapritinib
induced ^jj+++xvbn+=induced
deep ^jj+atrb+++=deep
molecular ^jj+atrb+++=molecular
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
an ^at++++=an
outcome ^nn++++=outcome
that ^tht+rel+subj++=that
represents ^vbz++++=represents
a ^at++++=a
new ^jj+atrb+++=new
response ^nn++++=response
benchmark ^nn+++??+=benchmark
in ^in++++=in
Advsm ^np+++??+=AdvSM.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
earlier ^jjr+atrb+++=earlier
multivariate ^nn+nom+++=multivariate
analysis ^nn++++=analysis
of ^in++++=of
38 ^cd++++=38
midostaurin ^nn+++??+=midostaurin-treated
- ^zz++++=EXTRAWORD
treated ^xvbn+++xvbn+=EXTRAWORD
patients ^nns++++=patients
with ^in++++=with
Advsm ^np+++??+=AdvSM,
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb++++=mere
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
reduction ^nn+nom+++=reduction
in ^in++++=in
Kit ^nn++++=KIT
D816v ^np+++??+=D816V
Rna ^np+++??+=RNA-expressed
- ^zz++++=EXTRAWORD
expressed ^vbd+vpub++xvbn+=EXTRAWORD
allele ^nn++++=allele
burden ^nn++++=burden
was ^vbd+bedz+aux++=was
statistically ^rb++splt++=statistically
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
prolonged ^jj+atrb+++=prolonged
survival ^nn+nom+++=survival
. ^zz++++=.
