Due ^jj++++=Due
to ^to+jcmp+++=to
limited ^vbi++++=limited
amounts ^nns++++=amounts
of ^in++++=of
available ^jj+atrb+++=available
tissue ^nn++++=tissue
samples ^nns++++=samples
from ^in++++=from
each ^dt++++=each
participant ^nn+nom+++=participant,
, ^zz++++=EXTRAWORD
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
replicate ^nn+nom+++=replicate
experiments ^nns+nom+++=experiments
was ^vbd+bedz+aux++=was
restricted ^vpsv++agls+xvbnx+=restricted.
. ^zz++++=EXTRAWORD
For ^in++++=For
histopathology ^nn+++??+=histopathology
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
to ^to++++=to
four ^cd++++=four
sequentially ^rb++++=sequentially
deeper ^jjr+atrb+++=deeper
histologic ^jj+atrb+++=histologic
sections ^nns+nom+++=sections
( ^zz++++=(levels)
levels ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
prepared ^vpsv++agls+xvbnx+=prepared
from ^in++++=from
each ^dt++++=each
biopsy ^nn+++??+=biopsy
and ^cc++++=and
were ^vbd+bed+aux++=were
reviewed ^vpsv++agls+xvbnx+=reviewed
both ^abx++++=both
by ^in++++=by
the ^ati++++=the
local ^jj+atrb+++=local
pathologist ^nn+nom+++=pathologist
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
central ^jj+atrb+++=central
pathologist ^nn+nom+++=pathologist.
. ^zz++++=EXTRAWORD
