One ^cd1++++=One
important ^jj+atrb+++=important
methodological ^jj+atrb+++=methodological
debate ^nn++++=debate
of ^in++++=of
particular ^jj+atrb+++=particular
relevance ^nn+nom+++=relevance
to ^in++++=to
social ^jj+atrb+++=social
epidemiology ^nn+++??+=epidemiology
has ^vbz+hvz+aux++=has
centered ^vprf+++xvbnx+=centered
around ^rp++++=around
defining ^vbg+++xvbg+=defining
which ^whp+who+++=which
causal ^jj+atrb+++=causal
questions ^nns+nom+++=questions
can ^md+pos+++=can
be ^vb+be+aux++=be
answered ^vpsv++agls+xvbnx+=answered
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
potential ^jj+atrb+++=potential
outcomes ^nns+++??+=outcomes
approach ^nn++++=approach
to ^in++++=to
causality ^nn+nom+++=causality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
increased ^jj+atrb++xvbn+=increased
interest ^nn++++=interest
in ^in++++=in
formalizing ^xvbg+++xvbg+=formalizing
causal ^jj+atrb+++=causal
inference ^nn+nom+++=inference
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
potential ^jj+atrb+++=potential
outcomes ^nns+++??+=outcomes
approach ^nn++++=approach
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
debate ^nn++++=debate
about ^in++++=about
which ^whp+rel+pied++=which
factors ^nns++++=factors
should ^md+nec+++=should
be ^vb+be+vrb++=be
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
causal ^jj+atrb+++=causal
inquiry ^nn++++=inquiry
in ^in++++=in
social ^jj+atrb+++=social
epidemiology ^nn+++??+=epidemiology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
scholars ^nns++++=scholars
have ^vb+hv+aux++=have
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
causal ^jj+atrb+++=causal
inference ^nn+nom+++=inference
should ^md+nec+++=should
be ^vb+be+aux++=be
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
exposures ^nns++++=exposures
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
explicitly ^rb++splt++=explicitly
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
realistic ^jj+atrb+++=realistic
or ^cc+phrs+++=or
practicable ^jj+atrb+++=practicable
interventions ^nns+nom+++=interventions
( ^zz++++=(
52 ^cd++++=52
, ^zz++++=,
70 ^cd++++=70
, ^zz++++=,
114 ^cd++++=114
) ^zz++++=).
. ^zz++++=EXTRAWORD
Specifying ^np+++??+=Specifying
the ^ati++++=the
causal ^jj+atrb+++=causal
factor ^nn++++=factor
of ^in++++=of
interest ^nn++++=interest
as ^in++++=as
an ^at++++=an
intervention ^nn+nom+++=intervention
has ^vbz+hvz+vrb++=has
many ^ap++++=many
benefits ^nns++++=benefits.
. ^zz++++=EXTRAWORD
By ^in++++=By
specifying ^xvbg+++xvbg+=specifying
the ^ati++++=the
causal ^jj+atrb+++=causal
question ^nn+nom+++=question
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
precise ^jj+atrb+++=precise
way ^nn++++=way,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
improves ^vbz++++=improves
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
needed ^vwbn+++xvbn+=needed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
best ^jjt+atrb+++=best
analytical ^jj+atrb+++=analytical
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
involved ^vbd+++xvbn+=involved.
. ^zz++++=EXTRAWORD
An ^at++++=An
added ^jj+atrb++xvbn+=added
benefit ^nn++++=benefit
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
answer ^nn++++=answer
to ^in++++=to
the ^ati++++=the
causal ^jj+atrb+++=causal
question ^nn+nom+++=question
also ^rb++++=also
directly ^rb++++=directly
addresses ^nns+nom+++=addresses
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
a ^at++++=a
hypothesized ^jj+atrb++xvbn+=hypothesized
intervention ^nn+nom+++=intervention
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
realized ^vbd+vprv++xvbn+=realized
in ^in++++=in
the ^ati++++=the
real ^jj+atrb+++=real
world ^nn++++=world.
. ^zz++++=EXTRAWORD
