Using ^vbg+++xvbg+=Using
Ngs ^np+++??+=NGS,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
then ^rn+tm+++=then
evaluated ^vbd+++xvbn+=evaluated
22 ^cd++++=22
specimens ^nns++++=specimens
discordant ^nn+nom+++=discordant
between ^in++++=between
Rvp ^np+++??+=RVP
and ^cc++++=and
Rt ^npt++++=RT
qpcr ^nn+++??+=qPCR
results ^nns++++=results
and ^cc++++=and
8 ^zz++++=8
specimens ^nns++++=specimens
for ^in++++=for
which ^whp+rel+pied++=which
Rvp ^np+++??+=RVP
detected ^vwbn+++xvbn+=detected
other ^ap++++=other
respiratory ^jj+atrb+++=respiratory
viruses ^nns++++=viruses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
22 ^cd++++=22
discordant ^jj+atrb+++=discordant
specimens ^nns++++=specimens
included ^vbd+++xvbn+=included
13 ^cd++++=13
positive ^jj++++=positive
by ^in++++=by
Rvp ^np+++??+=RVP
and ^cc++++=and
previous ^jj++++=previous
testing ^jj+++xvbg+=testing
but ^cc++++=but
concurrently ^rb++++=concurrently
negative ^jj++++=negative
by ^in++++=by
Rt ^npt++++=RT
qpcr ^nn+++??+=qPCR,
, ^zz++++=EXTRAWORD
6 ^zz++++=6
positive ^jj++++=positive
by ^in++++=by
previous ^jj++++=previous
testing ^jj+++xvbg+=testing
but ^cc+phrs+++=but
negative ^jj++++=negative
by ^in++++=by
concurrent ^jj+atrb+++=concurrent
Rvp ^np+++??+=RVP
and ^cc++++=and
Rt ^npt++++=RT
qpcr ^nn+++??+=qPCR
and ^cc++++=and
3 ^zz++++=3
positive ^jj++++=positive
by ^in++++=by
Rvp ^np+++??+=RVP
but ^cc++++=but
negative ^jj++++=negative
by ^in++++=by
both ^abx++++=both
Rt ^npt++++=RT
qpcr ^nn+++??+=qPCR
results ^nns++++=results.
. ^zz++++=EXTRAWORD
All ^abn++++=All
but ^cc++++=but
1 ^zz++++=1
of ^in++++=of
the ^ati++++=the
22 ^cd++++=22
( ^zz++++=(95%)
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
discordant ^nn+nom+++=discordant
specimens ^nns++++=specimens
had ^vb+hv+vrb++=had
< ^zz++++=<10
10 ^cd++++=EXTRAWORD
viral ^nn++++=viral
reads ^vbz++++=reads
by ^in++++=by
Ngs ^np+++??+=NGS.
. ^zz++++=EXTRAWORD
The ^ati++++=The
single ^jj+atrb+++=single
specimen ^nn++++=specimen
with ^in++++=with
> ^zz++++=>10
10 ^cd++++=EXTRAWORD
reads ^vbz++++=reads
was ^vbd+bedz+vrb++=was
positive ^jj+pred+++=positive
by ^in++++=by
Rvp ^np+++??+=RVP
and ^cc++++=and
prior ^jj+atrb+++=prior
Rt ^npt++++=RT
qpcr ^nn+++??+=qPCR
but ^cc++++=but
not ^xnot++not++=not
concurrent ^jj+atrb+++=concurrent
testing ^nvbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
just ^rb+emph+++=just
22 ^cd++++=22
reads ^vbz++++=reads
mapped ^vbd+++xvbn+=mapped
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ngs ^np+++??+=NGS
additionally ^rb++++=additionally
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
detect ^vbi++++=detect
other ^ap++++=other
respiratory ^jj+atrb+++=respiratory
viruses ^nns++++=viruses
in ^in++++=in
the ^ati++++=the
eight ^cd++++=eight
Rvp ^np+++??+=RVP-positive
- ^zz++++=EXTRAWORD
positive ^jj+atrb+++=EXTRAWORD
specimens ^nns++++=specimens.
. ^zz++++=EXTRAWORD
Rvp ^np+++??+=RVP
identified ^vwbn+++xvbn+=identified
4 ^zz++++=4
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
coinfections ^nns+nom+++=coinfections
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-HKU1,
- ^zz++++=EXTRAWORD
hku1 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1 ^zz++++=1
Hpiv ^np+++??+=HPIV-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
and ^cc++++=and
1 ^zz++++=1
Hrsv ^np+++??+=HRSV)
) ^zz++++=EXTRAWORD
and ^cc++++=and
4 ^zz++++=4
viruses ^nns++++=viruses
in ^in++++=in
Sars ^np+++??+=SARS-CoV-2-negative
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
negative ^jj+atrb+++=EXTRAWORD
specimens ^nns++++=specimens
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
Fluav ^np+++??+=FLUAV
and ^cc++++=and
1 ^zz++++=1
Hcov ^np+++??+=HCoV-NL63).
- ^zz++++=EXTRAWORD
nl63 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
these ^dt+dem+++=these
specimens ^nns++++=specimens
also ^rb++++=also
had ^vb+hv+vrb++=had
< ^zz++++=<10
10 ^cd++++=EXTRAWORD
viral ^nn++++=viral
reads ^vbz++++=reads
aligned ^vpsv++by+xvbn+=aligned
by ^in++++=by
Ngs ^np+++??+=NGS,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
neither ^dt++neg++=neither
validate ^nn+nom+++=validate
our ^pp$+pp1+++=our
results ^nns++++=results
as ^in++++=as
positive ^jj++++=positive
nor ^cc++neg++=nor
rule ^nn++++=rule
out ^rp+pl+++=out
the ^ati++++=the
