Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
Lrrk2 ^np+++??+=LRRK2
plof ^nn+++??+=pLoF
variants ^nns+nom+++=variants
in ^in++++=in
over ^in++++=over
4 ^zz++++=4
million ^cd++++=million
consented ^vprf+++xvbn+=consented
and ^cc++++=and
array ^nn++++=array-genotyped
- ^zz++++=EXTRAWORD
genotyped ^xvbn+++xvbn+=EXTRAWORD
research ^nn++++=research
participants ^nns+nom+++=participants
from ^in++++=from
the ^ati++++=the
personal ^jj+atrb+++=personal
genetics ^nns++++=genetics
company ^nn++++=company
23andme ^cd++++=23andMe.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
putative ^jj++++=putative
( ^zz++++=(LOFTEE
loftee ^nn++++=EXTRAWORD
high ^jj+atrb+++=high
confidence ^nn+nom+++=confidence)
) ^zz++++=EXTRAWORD
Lrrk2 ^np+++??+=LRRK2
Lof ^np+++??+=LoF
variants ^nns+nom+++=variants
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
After ^in++++=After
manual ^jj+atrb+++=manual
curation ^nn+nom+++=curation,
, ^zz++++=EXTRAWORD
all ^abn++++=all
putative ^jj+atrb+++=putative
carriers ^nns+nom+++=carriers
of ^in++++=of
each ^dt++++=each
variant ^nn+nom+++=variant
were ^vbd+bed+aux++=were
submitted ^vpsv++agls+xvbnx+=submitted
for ^in++++=for
validation ^nn+nom+++=validation
by ^in++++=by
Sanger ^np+++??+=Sanger
sequencing ^vwbg+++xvbg+=sequencing
and ^cc++++=and
variants ^nns+nom+++=variants
with ^in++++=with
< ^zz++++=<5
5 ^zz++++=EXTRAWORD
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
carriers ^nns+nom+++=carriers
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
resulting ^jj+atrb++xvbg+=resulting
cohort ^nn++++=cohort
comprised ^vbd+++xvbn+=comprised
749 ^cd++++=749
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
each ^dt++++=each
a ^at++++=a
Sanger ^np+++??+=Sanger-confirmed
- ^zz++++=EXTRAWORD
confirmed ^vprf+++xvbn+=EXTRAWORD
carrier ^nn++++=carrier
for ^in++++=for
one ^pn++++=one
of ^in++++=of
three ^cd++++=three
plof ^nn+++??+=pLoF
variants ^nns+nom+++=variants
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1a ^cd++++=1a
and ^cc++++=and
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
high ^jj+atrb+++=high
rate ^nn++++=rate
of ^in++++=of
Sanger ^np+++??+=Sanger
confirmation ^nn+nom+++=confirmation
for ^in++++=for
rs183902574 ^nn+++??+=rs183902574
( ^zz++++=(>98%)
> ^zz++++=EXTRAWORD
98 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
allowed ^vbd+++xvbn+=allowed
confident ^jj+atrb+++=confident
addition ^nn+nom+++=addition
of ^in++++=of
354 ^cd++++=354
putative ^jj+atrb+++=putative
carriers ^nns+nom+++=carriers
of ^in++++=of
rs183902574 ^nn+++??+=rs183902574,
, ^zz++++=EXTRAWORD
from ^in++++=from
expansion ^nn++++=expansion
of ^in++++=of
the ^ati++++=the
23andme ^cd++++=23andMe
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
without ^in++++=without
Sanger ^np+++??+=Sanger
confirmation ^nn+nom+++=confirmation.
. ^zz++++=EXTRAWORD
Analyses ^nns++++=Analyses
with ^in++++=with
and ^cc++++=and
without ^in++++=without
these ^dt+dem+++=these
genotyped ^jj+++xvbn+=genotyped-only
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
carriers ^nns+nom+++=carriers
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
significantly ^rb++++=significantly
different ^jj++++=different
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
two ^cd++++=two
most ^ap+emph+++=most
frequent ^jj+atrb+++=frequent
plof ^nn+++??+=pLoF
alleles ^nns+++??+=alleles
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
an ^at++++=an
extremely ^rb+amp+++=extremely
small ^jj+atrb+++=small
number ^nn++++=number
( ^zz++++=(<5)
< ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
