Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
effective ^jj+atrb+++=effective
action ^nn++++=action
to ^to++++=to
mitigate ^nn+nom+++=mitigate
health ^nn++++=health-harming
- ^zz++++=EXTRAWORD
harming ^jj+++xvbg+=EXTRAWORD
Cdoh ^np+++??+=CDoH
will ^md+prd+++=will
require ^vb+vsua+++=require
less ^ql++++=less
siloed ^jj+atrb++xvbn+=siloed
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
proponents ^nns++++=proponents
of ^in++++=of
specific ^jj+atrb+++=specific
strategies ^nns+++??+=strategies
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
health ^nn++++=health
promoters ^nns+nom+++=promoters,
, ^zz++++=EXTRAWORD
litigators ^nns++++=litigators,
, ^zz++++=EXTRAWORD
legislators ^nns++++=legislators,
, ^zz++++=EXTRAWORD
activists ^nns+nom+++=activists),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
split ^j+++xvbn+=split
further ^jjb++++=further
into ^in++++=into
specific ^jj+atrb+++=specific
industries ^nns++++=industries
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
food ^nn++++=food,
, ^zz++++=EXTRAWORD
alcohol ^nn++++=alcohol,
, ^zz++++=EXTRAWORD
pharmaceuticals ^nns+nom+++=pharmaceuticals,
, ^zz++++=EXTRAWORD
firearms ^nns++++=firearms),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
act ^nn++++=act
separately ^rb++++=separately.
. ^zz++++=EXTRAWORD
The ^ati++++=The
business ^nns+nom+++=business
sector ^nn++++=sector
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
forming ^xvbg+++xvbg+=forming
alliances ^nns+nom+++=alliances
through ^in++++=through
trade ^nn++++=trade
associations ^nns+nom+++=associations,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
and ^cc+phrs+++=and
corporate ^jj+atrb+++=corporate
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regulatory ^nn++++=regulatory
agencies ^nns++++=agencies.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
adverse ^jj+atrb+++=adverse
impacts ^nns+++??+=impacts
of ^in++++=of
Cdoh ^np+++??+=CDoH
will ^md+prd+++=will
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
have ^vbi++vrb++=have
a ^at++++=a
similar ^jj+atrb+++=similar
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
break ^vbi++++=break
down ^in++++=down
institutional ^jj+atrb+++=institutional
boundaries ^nns++++=boundaries
to ^to++++=to
mobilize ^vbi++++=mobilize
evidence ^nn+nom+++=evidence
and ^cc++++=and
political ^jj+atrb+++=political
power ^nn++++=power
( ^zz++++=(
125 ^cd++++=125
, ^zz++++=,
139 ^cd++++=139
) ^zz++++=).
. ^zz++++=EXTRAWORD
Policy ^nn++++=Policy
coherence ^nn+nom+++=coherence
across ^in+pl+++=across
sectors ^nns++++=sectors
and ^cc++++=and
approaches ^nns++++=approaches
can ^md+pos+++=can
break ^vb++++=break
down ^rp++++=down
self ^nn++++=self-limiting
- ^zz++++=EXTRAWORD
limiting ^vbg+++xvbg+=EXTRAWORD
siloes ^nns+++??+=siloes
( ^zz++++=(
24 ^cd++++=24
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
effort ^nn++++=effort
should ^md+nec+++=should
include ^vb++++=include
rebuilding ^nvbg+++xvbg+=rebuilding
the ^ati++++=the
alliances ^nns+nom+++=alliances
between ^in++++=between
social ^jj+atrb+++=social
movements ^nns+nom+++=movements
and ^cc++++=and
public ^jj+atrb+++=public
health ^nn++++=health
professionals ^nns+nom+++=professionals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
to ^in++++=to
progress ^nns+nom+++=progress
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
health ^nn++++=health-harming
- ^zz++++=EXTRAWORD
harming ^jj+++xvbg+=EXTRAWORD
Cdoh ^np+++??+=CDoH
in ^in++++=in
the ^ati++++=the
past ^jjb+atrb+++=past
century ^nn++++=century
( ^zz++++=(
33 ^cd++++=33
, ^zz++++=,
92 ^cd++++=92
) ^zz++++=).
. ^zz++++=EXTRAWORD
