Since ^cs+sub+++=Since
current ^jj+atrb+++=current
clinical ^jj+atrb+++=clinical
diagnostics ^nns++++=diagnostics
are ^vb+ber+vrb++=are
not ^xnot++not++=not
well ^jj+pred+++=well
positioned ^vbd+++xvbn+=positioned
to ^to++++=to
identify ^vbi++++=identify
mutations ^nns+nom+++=mutations
single ^jj++++=single-nucleotide
- ^zz++++=EXTRAWORD
nucleotide ^nn+++??+=EXTRAWORD
polymorphisms ^nns+nom+++=polymorphisms
( ^zz++++=(SNPs),
snps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
insertions ^nns+nom+++=insertions
or ^cc++++=or
deletions ^nns+nom+++=deletions
carried ^vbd+++xvbn+=carried
in ^in++++=in
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
variant ^nn+nom+++=variant
lineages ^nns+nom+++=lineages
, ^zz++++=,
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
develop ^vbi++++=develop
a ^at++++=a
single ^jj+atrb+++=single
platform ^nn++++=platform
with ^in++++=with
both ^abx++++=both
diagnostic ^nn++++=diagnostic
and ^cc++++=and
surveillance ^nn+nom+++=surveillance
capabilities ^nns+nom+++=capabilities
for ^in++++=for
comprehensive ^jj+atrb+++=comprehensive
detection ^nn+nom+++=detection
of ^in++++=of
26 ^cd++++=26
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
Spike ^np+++??+=Spike
gene ^np++++=gene
mutations ^nns+nom+++=mutations.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
selected ^vbd+++xvbn+=selected
these ^dt+dem+++=these
26 ^cd++++=26
mutations ^nns+nom+++=mutations
to ^to++++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
or ^cc++++=or
detect ^vb++++=detect
mutations ^nns+nom+++=mutations
shared ^vbd+++xvbn+=shared
among ^in++++=among
the ^ati++++=the
Alpha ^np+++??+=Alpha,
, ^zz++++=EXTRAWORD
Beta ^nn++++=Beta,
, ^zz++++=EXTRAWORD
Gamma ^nn++++=Gamma,
, ^zz++++=EXTRAWORD
Delta ^np+++??+=Delta
and ^cc++++=and
Epsilon ^np+++??+=Epsilon
variant ^jj+atrb+++=variant
lineages ^nns+nom+++=lineages
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
11 ^cd++++=11
; ^zz++++=;
B.1.1.7 ^np+++??+=B.1.1.7,
, ^zz++++=EXTRAWORD
B.1.351 ^np+++??+=B.1.351,
, ^zz++++=EXTRAWORD
P.1 ^np+++??+=P.1,
, ^zz++++=EXTRAWORD
B.1.617.2 ^np+++??+=B.1.617.2
and ^cc++++=and
B.1.427 ^np+++??+=B.1.427/9
using ^vwbg+++xvbg+=using
the ^ati++++=the
Pango ^np+++??+=Pango
nomenclature ^nn++++=nomenclature
system ^nn++++=system,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
Tracking ^vbg+++xvbg+=Tracking
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
variants ^nns+nom+++=variants)
) ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
used ^vbd+++xvbn+=used
a ^at++++=a
generative ^jj+atrb+++=generative
sequence ^nn+nom+++=sequence
design ^nn++++=design
algorithm ^nn+++??+=algorithm
( ^zz++++=(Mantena,
mantena ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
manuscript ^nn++++=manuscript
in ^in++++=in
preparation ^nn+nom+++=preparation)
) ^zz++++=EXTRAWORD
to ^to++++=to
produce ^vbi++++=produce
crrnas ^nns++++=crRNAs
for ^in++++=for
allelic ^jj+atrb+++=allelic
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
