Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
Mmgp ^np+++??+=MMgp
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
responses ^nns++++=responses
sustained ^vbd+++xvbn+=sustained
throughout ^in++++=throughout
acute ^jj+atrb+++=acute
infection ^nn+nom+++=infection,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
implicated ^vbd+++xvbn+=implicated
different ^jj+atrb+++=different
cell ^nn++++=cell
types ^nns++++=types
in ^in++++=in
each ^dt++++=each
participant ^nn+nom+++=participant.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
P2 ^np+++??+=P2,
, ^zz++++=EXTRAWORD
Mmgp ^np+++??+=MMgp
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
monocyte ^nn+++??+=monocyte,
, ^zz++++=EXTRAWORD
B ^zz++++=B
cell ^nn++++=cell,
, ^zz++++=EXTRAWORD
plasmablast ^nn+++??+=plasmablast,
, ^zz++++=EXTRAWORD
Ctl ^np+++??+=CTL
and ^cc++++=and
proliferating ^jj+++xvbg+=proliferating
T ^zz++++=T
cell ^nn++++=cell
Gms ^np+++??+=GMs
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3a ^cd++++=3a
) ^zz++++=).
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
Mmsp ^np+++??+=MMsp
( ^zz++++=(ISGs),
isgs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
Gms ^np+++??+=GMs
spanned ^vwbn+++xvbn+=spanned
several ^ap++++=several
distinct ^jj+atrb+++=distinct
gene ^np++++=gene
expression ^nn++++=expression
programs ^nns+++??+=programs,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
antigen ^nn++++=antigen
presentation ^nn+nom+++=presentation
( ^zz++++=(monocytes
monocytes ^nns+++??+=EXTRAWORD
and ^cc++++=and
B ^zz++++=B
cells ^nns++++=cells),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
interleukin ^nn+++??+=interleukin
( ^zz++++=(IL)-6
il) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
and ^cc++++=and
Il ^&fw++++=IL-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
production ^nn+nom+++=production
( ^zz++++=(plasmablasts)
plasmablasts ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
granzyme ^nn+++??+=granzyme
B ^zz++++=B
production ^nn+nom+++=production
( ^zz++++=(CTLs;
ctls ^nns+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3b,c ^cd++++=3b,c
and ^cc++++=and
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
7 ^zz++++=7
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
these ^dt+dem+++=these
overlap ^nn++++=overlap
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
represent ^vb++++=represent
cell ^nn++++=cell
subsets ^nns+++??+=subsets
responding ^vwbg+++xvbg+=responding
to ^in++++=to
common ^jj+atrb+++=common
stimuli ^nns++++=stimuli
and ^cc++++=and/or
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
for ^in++++=for
known ^vbn+vprv++xvbn+=known
relationships ^nns+nom+++=relationships
between ^in++++=between
genes ^nns++++=genes
within ^in++++=within
and ^cc++++=and
across ^in+pl+++=across
cell ^nn++++=cell
types ^nns++++=types,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
generated ^vbd+++xvbn+=generated
a ^at++++=a
network ^nn++++=network
model ^nn++++=model
describing ^vwbg+++xvbg+=describing
potential ^jj+atrb+++=potential
axes ^nns++++=axes
of ^in++++=of
cell ^nn++++=cell
cell ^nn++++=cell
signaling ^nn+nom+++=signaling,
, ^zz++++=EXTRAWORD
both ^abx++++=both
direct ^jj++++=direct
( ^zz++++=(via
via ^in++++=EXTRAWORD
receptor ^nn++++=receptor
ligand ^nn+++??+=ligand)
) ^zz++++=EXTRAWORD
and ^cc++++=and
indirect ^jj++++=indirect
( ^zz++++=(signaling
signaling ^nn+nom+++=EXTRAWORD
via ^in++++=via
chemokines ^nns+++??+=chemokines
and ^cc++++=and
cytokines ^nns+++??+=cytokines),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
P2 ^np+++??+=P2
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3d ^cd++++=3d
and ^cc++++=and
Methods ^nns++++=Methods
) ^zz++++=).
. ^zz++++=EXTRAWORD
Expression ^nn++++=Expression
of ^in++++=of
Il ^&fw++++=IL-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
and ^cc++++=and
Il ^&fw++++=IL-6
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
in ^in++++=in
B ^zz++++=B
cells ^nns++++=cells
and ^cc++++=and
plasmablasts ^nns+++??+=plasmablasts
may ^md+pos+++=may
attract ^vb++++=attract
monocytes ^nns+++??+=monocytes
presenting ^vwbg+++xvbg+=presenting
antigen ^nn++++=antigen
to ^in++++=to
prime ^npt++++=prime
Cd4 ^np+++??+=CD4
T ^zz++++=T
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^to++++=to
Il ^&fw++++=IL-17
- ^zz++++=EXTRAWORD
17 ^cd++++=EXTRAWORD
production ^nn+nom+++=production
and ^cc++++=and
Bcl2 ^np+++??+=BCL2
upregulation ^nn+nom+++=upregulation,
, ^zz++++=EXTRAWORD
known ^vb+++xvbn+=known
to ^to+vcmp+++=to
restrict ^vbi++++=restrict
Ctl ^np+++??+=CTL-mediated
- ^zz++++=EXTRAWORD
mediated ^jj+++xvbn+=EXTRAWORD
killing ^jj+++xvbg+=killing
of ^in++++=of
infected ^xvbn+++xvbn+=infected
cells ^nns++++=cells
. ^zz++++=.
Together ^nn+nom+++=Together,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
Il ^&fw++++=IL-6
- ^zz++++=EXTRAWORD
