Using ^vbg+++xvbg+=Using
a ^at++++=a
series ^nn++++=series
of ^in++++=of
novel ^nn++++=novel
antibodies ^nns++++=antibodies
that ^tht+rel+subj++=that
distinguish ^vb++++=distinguish
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
Fus ^np+++??+=FUS
from ^in++++=from
the ^ati++++=the
mutant ^nn++++=mutant
isoforms ^nns+++??+=isoforms
of ^in++++=of
the ^ati++++=the
protein ^nn++++=protein
( ^zz++++=(Extended
extended ^vbd+++xvbn+=EXTRAWORD
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
2a ^cd++++=2a
g ^zz++++=g
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
diffuse ^nn+++??+=diffuse
cytoplasmic ^jj+atrb+++=cytoplasmic
mislocalization ^nn+nom+++=mislocalization
of ^in++++=of
mutant ^nn++++=mutant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
wild ^jj++++=wild-type,
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fus ^np+++??+=FUS
in ^in++++=in
P517l ^np+++??+=P517L/WT
and ^cc++++=and
14 ^cd++++=14/WT
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
strong ^jj+atrb+++=strong
nuclear ^jj+atrb+++=nuclear
staining ^nn++++=staining
for ^in++++=for
mutant ^nn++++=mutant
Fus ^np+++??+=FUS
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1f ^cd++++=1f
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
next ^ap++++=next
quantified ^jj+++xvbn+=quantified
the ^ati++++=the
cytoplasmic ^nn++++=cytoplasmic
versus ^in++++=versus
nuclear ^jj+atrb+++=nuclear
distribution ^nn+nom+++=distribution
of ^in++++=of
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
and ^cc++++=and
mutant ^jj+atrb+++=mutant
Fus ^np+++??+=FUS
by ^in++++=by
subcellular ^nn+++??+=subcellular
fractionation ^nn+nom+++=fractionation
and ^cc++++=and
western ^jj+atrb+++=western
blot ^nn++++=blot
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
immunostaining ^xvbg+++xvbg+=immunostaining
experiments ^nns+nom+++=experiments,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
a ^at++++=a
minority ^nn+nom+++=minority
( ^zz++++=(
26 ^cd++++=26
45 ^cd++++=45%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
Fus ^np+++??+=FUS
is ^vbz+bez+vrb++=is
cytoplasmic ^jj+pred+++=cytoplasmic
in ^in++++=in
the ^ati++++=the
spinal ^jj+atrb+++=spinal
cords ^nns++++=cords
of ^in++++=of
1 ^zz++++=1-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
wild ^jj++++=wild-type,
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
P517l ^np+++??+=P517L/WT
and ^cc++++=and
14 ^cd++++=14/WT
animals ^nns+nom+++=animals
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1g,h ^cd++++=1g,h
) ^zz++++=).
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
mutant ^nn++++=mutant
Fus ^np+++??+=FUS
( ^zz++++=(
68 ^cd++++=68
86 ^cd++++=86%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
cytoplasmic ^jj+pred+++=cytoplasmic
in ^in++++=in
P517l ^np+++??+=P517L/WT
and ^cc++++=and
14 ^cd++++=14/WT
mutants ^nns+nom+++=mutants
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1h ^cd++++=1h
) ^zz++++=).
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
mutant ^jj+atrb+++=mutant
Fus ^np+++??+=FUS
does ^vbz+doz+aux++=does
not ^xnot++not++=not
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
carry ^vbi++++=carry
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
Fus ^np+++??+=FUS
into ^in++++=into
the ^ati++++=the
cytoplasm ^nn+++??+=cytoplasm,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
Rbps ^np+++??+=RBPs
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
interact ^vb+++??+=interact
directly ^rb++++=directly
or ^cc+phrs+++=or
indirectly ^rb++++=indirectly
with ^in++++=with
Fus ^np+++??+=FUS
were ^vbd+bed+aux++=were
also ^rb++splt++=also
mislocalized ^vpsv++agls+xvbnx+=mislocalized.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
several ^ap++++=several
of ^in++++=of
these ^dt+dem+++=these
Rbps ^np+++??+=RBPs
( ^zz++++=(including
including ^in++++=EXTRAWORD
Tdp ^np+++??+=TDP-43,
- ^zz++++=EXTRAWORD
43 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hnrnp ^nn+++??+=hnRNP
H ^zz++++=H
and ^cc++++=and
hnrnp ^nn+++??+=hnRNP
U ^zz++++=U
in ^in++++=in
P517l ^np+++??+=P517L/WT
and ^cc++++=and
hnrnp ^nn+++??+=hnRNP
U ^zz++++=U
in ^in++++=in
14 ^cd++++=14/WT)
are ^vb+ber+aux++=are
observed ^vpsv++agls+xvbnx+=observed
at ^rb++++=at
a ^at++++=a
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
proportion ^nn+nom+++=proportion
in ^in++++=in
the ^ati++++=the
cytoplasm ^nn+++??+=cytoplasm
of ^in++++=of
