Research ^nn++++=Research
on ^in++++=on
social ^jj+atrb+++=social
stratification ^nn+nom+++=stratification
and ^cc++++=and
health ^nn++++=health
has ^vbz+hvz+aux++=has
conceptualized ^vprf+++xvbnx+=conceptualized
social ^jj+atrb+++=social
position ^nn+nom+++=position
in ^in++++=in
various ^jj+atrb+++=various
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
constructs ^vbz++++=constructs
such ^abl++++=such
as ^ql++++=as
socioeconomic ^jj+atrb+++=socioeconomic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
socioeconomic ^jj+atrb+++=socioeconomic
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
social ^jj+atrb+++=social
class ^nn++++=class
are ^vb+ber+aux++=are
sometimes ^rb++splt++=sometimes
used ^vpsv++agls+xvbnx+=used
interchangeably ^rb+cnj+++=interchangeably,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
specific ^jj+atrb+++=specific
meanings ^nns++++=meanings
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
theory ^nn++++=theory
of ^in++++=of
social ^jj+atrb+++=social
stratification ^nn+nom+++=stratification
( ^zz++++=(
71 ^cd++++=71
) ^zz++++=).
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
income ^nn++++=income,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
occupation ^nn+nom+++=occupation
as ^ql++++=as
proxy ^vb+++??+=proxy
measures ^nns++++=measures
of ^in++++=of
social ^jj+atrb+++=social
status ^nn++++=status,
, ^zz++++=EXTRAWORD
socioeconomic ^jj+atrb+++=socioeconomic
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
class ^nn++++=class,
, ^zz++++=EXTRAWORD
research ^nn++++=research
has ^vbz+hvz+aux++=has
quantified ^vprf+++xvbnx+=quantified
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
social ^jj+atrb+++=social
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
explored ^j+++xvbn+=explored
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
social ^jj+atrb+++=social
position ^nn+nom+++=position
and ^cc++++=and
health ^nn++++=health,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
investigated ^vbd+++xvbn+=investigated
heterogeneity ^nn+nom+++=heterogeneity
in ^in++++=in
social ^jj++++=social
patterning ^jj+++xvbg+=patterning
over ^in++++=over
time ^nn++++=time
and ^cc++++=and
place ^nn++++=place
( ^zz++++=(
3 ^zz++++=3
, ^zz++++=,
15 ^cd++++=15
, ^zz++++=,
36 ^cd++++=36
, ^zz++++=,
56 ^cd++++=56
, ^zz++++=,
85 ^cd++++=85
) ^zz++++=).
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
work ^nn++++=work
has ^vbz+hvz+aux++=has
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
isolate ^nn+nom+++=isolate
the ^ati++++=the
relative ^jj+atrb+++=relative
importance ^nn+nom+++=importance
of ^in++++=of
specific ^jj+atrb+++=specific
dimensions ^nns++++=dimensions
such ^abl++++=such
as ^ql++++=as
schooling ^nn+nom+++=schooling,
, ^zz++++=EXTRAWORD
income ^nn++++=income,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
wealth ^nn++++=wealth
( ^zz++++=(
60 ^cd++++=60
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
examination ^nn+nom+++=examination
of ^in++++=of
the ^ati++++=the
links ^nns++++=links
between ^in++++=between
social ^jj+atrb+++=social
stratification ^nn+nom+++=stratification
and ^cc++++=and
health ^nn++++=health
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
extended ^vprf+++xvbnx+=extended
over ^in++++=over
the ^ati++++=the
life ^nn++++=life
course ^nn++++=course,
, ^zz++++=EXTRAWORD
illustrating ^vbg+++xvbg+=illustrating
how ^wrb+who+++=how
social ^jj+atrb+++=social
position ^nn+nom+++=position
at ^in++++=at
different ^jj+atrb+++=different
points ^nns++++=points
in ^in++++=in
time ^nn++++=time
can ^md+pos+++=can
have ^vb+hv+vrb++=have
independent ^jj+atrb+++=independent
or ^cc+phrs+++=or
interacting ^jj+atrb+++=interacting
effects ^nns++++=effects
( ^zz++++=(
11 ^cd++++=11
, ^zz++++=,
25 ^cd++++=25
, ^zz++++=,
58 ^cd++++=58
) ^zz++++=).
. ^zz++++=EXTRAWORD
