Using ^vbg+++xvbg+=Using
Picots ^np+++??+=PICOTS
( ^zz++++=(Patient
patient ^nn++++=EXTRAWORD
Population ^nn+nom+++=Population,
, ^zz++++=EXTRAWORD
Intervention ^nn+nom+++=Intervention,
, ^zz++++=EXTRAWORD
Comparator ^np+++??+=Comparator,
, ^zz++++=EXTRAWORD
Outcome ^nn++++=Outcome,
, ^zz++++=EXTRAWORD
Timing ^nn++++=Timing,
, ^zz++++=EXTRAWORD
Setting ^nvbg+++xvbg+=Setting)
) ^zz++++=EXTRAWORD
( ^zz++++=(
3 ^zz++++=3
, ^zz++++=,
42 ^cd++++=42
, ^zz++++=,
57 ^cd++++=57
) ^zz++++=)
and ^cc++++=and
Strobe ^np+++??+=STROBE
( ^zz++++=(STrengthening
strengthening ^nvbg+++xvbg+=EXTRAWORD
the ^ati++++=the
Reporting ^nn++++=Reporting
of ^in++++=of
Observational ^jj+atrb+++=OBservational
studies ^nns++++=studies
in ^in++++=in
Epidemiology ^np+++??+=Epidemiology)
) ^zz++++=EXTRAWORD
( ^zz++++=(
117 ^cd++++=117
) ^zz++++=)
as ^ql++++=as
guidelines ^vbz+++??+=guidelines,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
developed ^vbd+++xvbn+=developed
a ^at++++=a
data ^nns++++=data
extraction ^nn+nom+++=extraction
tool ^nn++++=tool
to ^to++++=to
begin ^vbi++++=begin
the ^ati++++=the
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
tool ^nn++++=tool
included ^vbd+++xvbn+=included
fields ^nns++++=fields
for ^in++++=for
study ^nn++++=study
design ^nn++++=design,
, ^zz++++=EXTRAWORD
population ^nn+nom+++=population
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
study ^nn++++=study
population ^nn+nom+++=population
size ^nn++++=size,
, ^zz++++=EXTRAWORD
comparator ^nn++++=comparator
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
results ^nns++++=results,
, ^zz++++=EXTRAWORD
limitations ^nns+nom+++=limitations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
risk ^nn++++=risk
of ^in++++=of
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
All ^abn++++=All
authors ^nns++++=authors
participated ^vbd+++xvbn+=participated
in ^in++++=in
data ^nns++++=data
extraction ^nn+nom+++=extraction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
extracted ^vbd+++xvbn+=extracted
data ^nns++++=data
were ^vbd+bed+vrb++=were
cross ^jj+pred+++=cross-checked
- ^zz++++=EXTRAWORD
checked ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
other ^ap++++=other
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
disagreements ^nns+nom+++=disagreements
on ^in++++=on
the ^ati++++=the
extracted ^jj+atrb++xvbn+=extracted
data ^nns++++=data
were ^vbd+bed+aux++=were
discussed ^vpsv++agls+xvbn+=discussed
until ^cs+sub+++=until
the ^ati++++=the
team ^nn++++=team
reached ^vprf+++xvbn+=reached
a ^at++++=a
consensus ^nn++++=consensus.
. ^zz++++=EXTRAWORD
