Research ^nn++++=Research
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
this ^dt+dem+++=this
publication ^nn+nom+++=publication
was ^vbd+bedz+aux++=was
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
Bill ^nn++++=Bill
& ^zz++++=&
Melinda ^np+++??+=Melinda
Gates ^nns++++=Gates
Foundation ^nn+nom+++=Foundation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
funders ^nns+nom+++=funders
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
had ^vb+hv+vrb++=had
no ^at++++=no
role ^nn++++=role
in ^in++++=in
study ^nn++++=study
design ^nn++++=design,
, ^zz++++=EXTRAWORD
data ^nns++++=data
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
data ^nns++++=data
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
data ^nns++++=data
interpretation ^nn+nom+++=interpretation,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing
of ^in++++=of
the ^ati++++=the
final ^nn++++=final
report ^vb++++=report
or ^cc++++=or
the ^ati++++=the
decision ^nn++++=decision
to ^to+ncmp+++=to
publish ^vb++++=publish.
. ^zz++++=EXTRAWORD
