Cancer ^nn++++=Cancer
is ^vbz+bez+vrb++=is
a ^at++++=a
life ^nn++++=life-altering
- ^zz++++=EXTRAWORD
altering ^jj+atrb++xvbg+=EXTRAWORD
event ^nn++++=event
causing ^vwbg+++xvbg+=causing
considerable ^jj+atrb+++=considerable
psychological ^jj+atrb+++=psychological
distress ^nns+nom+++=distress.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
on ^in++++=on
the ^ati++++=the
total ^jj+atrb+++=total
burden ^nn++++=burden
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
disorders ^nns+nom+++=disorders
across ^in+pl+++=across
all ^abn++++=all
common ^jj+atrb+++=common
adult ^nn++++=adult
cancers ^nns+nom+++=cancers
and ^cc++++=and
therapy ^nn++++=therapy
exposures ^nns++++=exposures
has ^vbz+hvz+aux++=has
remained ^vprf+++xvbnx+=remained
scarce ^jj++++=scarce.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
estimated ^vbd+vprv++xvbn+=estimated
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
after ^in++++=after
incident ^nn++++=incident
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
diagnosis ^nn++++=diagnosis
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
cancer ^nn++++=cancer
and ^cc++++=and
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
unnatural ^jj+atrb+++=unnatural
deaths ^nns++++=deaths
after ^in++++=after
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
in ^in++++=in
459,542 ^cd++++=459,542
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Depression ^nn++++=Depression
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
who ^whp+rel+subj++=who
received ^vbd+++xvbn+=received
chemotherapy ^nn+++??+=chemotherapy,
, ^zz++++=EXTRAWORD
radiotherapy ^nn+++??+=radiotherapy
and ^cc++++=and
surgery ^nn+nom+++=surgery
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
cumulative ^jj+atrb+++=cumulative
burden ^nn++++=burden
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
disorders ^nns+nom+++=disorders.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
alkylating ^xvbg+++xvbg+=alkylating
agent ^nn++++=agent
chemotherapeutics ^nns++++=chemotherapeutics
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
burden ^nn++++=burden
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
disorders ^nns+nom+++=disorders,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
those ^dt+dem+++=those
treated ^jj+++xvbn+=treated
with ^in++++=with
