Since ^cs+sub+++=Since
the ^ati++++=the
initial ^jj+atrb+++=initial
discovery ^nn+nom+++=discovery
of ^in++++=of
Als ^&fw++++=ALS-associated
- ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=EXTRAWORD
mutations ^nns+nom+++=mutations
in ^in++++=in
Fus ^np+++??+=FUS
, ^zz++++=,
attention ^nn+nom+++=attention
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
the ^ati++++=the
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
loss ^nn++++=loss
of ^in++++=of
one ^cd1++++=one
or ^cc++++=or
more ^rbr++++=more
of ^in++++=of
the ^ati++++=the
many ^ap++++=many
functions ^nns+nom+++=functions
of ^in++++=of
this ^dt+dem+++=this
essential ^jj+atrb+++=essential
regulatory ^nn++++=regulatory
protein ^nn++++=protein
in ^in++++=in
transcriptional ^jj+atrb+++=transcriptional
regulation ^nn+nom+++=regulation,
, ^zz++++=EXTRAWORD
pre ^nn+++??+=pre-mRNA
- ^zz++++=EXTRAWORD
mrna ^nn+++??+=EXTRAWORD
splicing ^vwbg+++xvbg+=splicing,
, ^zz++++=EXTRAWORD
Rna ^np+++??+=RNA
processing ^vwbg+++xvbg+=processing
and ^cc++++=and
Rna ^np+++??+=RNA
localization ^nn+nom+++=localization
might ^md+pos+++=might
lead ^vb++++=lead
to ^in++++=to
selective ^jj+atrb+++=selective
neurodegeneration ^nn+nom+++=neurodegeneration
in ^in++++=in
Als ^&fw++++=ALS
and ^cc++++=and
Ftd ^np+++??+=FTD.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
work ^nn++++=work
in ^in++++=in
our ^pp$+pp1+++=our
group ^nn++++=group
and ^cc++++=and
others ^aps++++=others
has ^vbz+hvz+aux++=has
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
Fus ^np+++??+=FUS-mediated
- ^zz++++=EXTRAWORD
mediated ^jj+atrb++xvbn+=EXTRAWORD
toxicity ^nn+nom+++=toxicity
is ^vbz+bez+vrb++=is
a ^at++++=a
not ^xnot++not++=not
a ^at++++=a
consequence ^nn+nom+++=consequence
of ^in++++=of
Fus ^np+++??+=FUS
loss ^nn++++=loss
of ^in++++=of
function ^nn+nom+++=function
but ^cc++++=but,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
a ^at++++=a
toxic ^jj+atrb+++=toxic
gain ^nn++++=gain
of ^in++++=of
function ^nn++++=function
related ^vbd+++xvbn+=related
the ^ati++++=the
disease ^nn++++=disease-causing
- ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=EXTRAWORD
mutations ^nns+nom+++=mutations.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
series ^nn++++=series
of ^in++++=of
knock ^vb++++=knock-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
mutant ^jj+atrb+++=mutant
mice ^nns++++=mice,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
provide ^vb+vsua+++=provide
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
disease ^nn++++=disease-causing
- ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=EXTRAWORD
mutations ^nns+nom+++=mutations
on ^in++++=on
Fus ^np+++??+=FUS
activity ^nn+nom+++=activity
are ^vb+ber+vrb++=are
complex ^jj+pred+++=complex,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
both ^abx++++=both
loss ^nn++++=loss
and ^cc++++=and
gain ^nn++++=gain
of ^in++++=of
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
Fus ^np+++??+=FUS-P517L
- ^zz++++=EXTRAWORD
p517l ^nn+++??+=EXTRAWORD
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
to ^in++++=to
human ^jj+atrb+++=human
P525l ^np+++??+=P525L)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
truncation ^nn+nom+++=truncation
mutation ^nn+nom+++=mutation
14 ^cd++++=14
both ^abx++++=both
highly ^rb+amp+++=highly
pathogenic ^jj++++=pathogenic
and ^cc+phrs+++=and
associated ^jj+++xvbn+=associated
with ^in++++=with
aggressive ^jj++++=aggressive,
, ^zz++++=EXTRAWORD
juvenile ^jj++++=juvenile-onset
- ^zz++++=EXTRAWORD
onset ^nn++++=EXTRAWORD
Als ^&fw++++=ALS
lead ^nn++++=lead
to ^in++++=to
a ^at++++=a
partial ^jj+atrb+++=partial
loss ^nn++++=loss
of ^in++++=of
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
each ^dt++++=each
able ^jj++++=able
to ^to+jcmp+++=to
rescue ^vb++++=rescue
the ^ati++++=the
perinatal ^jj+atrb+++=perinatal
lethality ^nn+nom+++=lethality
of ^in++++=of
Fus ^np+++??+=FUS
deficiency ^nn++++=deficiency
only ^rb+down+++=only
partially ^rb+down+++=partially.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
this ^dt+dem+++=this
loss ^nn++++=loss
of ^in++++=of
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
genetic ^jj+atrb+++=genetic
complementation ^nn+nom+++=complementation
experiments ^nns+nom+++=experiments
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
toxicity ^nn+nom+++=toxicity
of ^in++++=of
the ^ati++++=the
mutant ^nn++++=mutant
Fus ^np+++??+=FUS
protein ^nn++++=protein
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
primarily ^rb+down+++=primarily
a ^at++++=a
consequence ^nn+nom+++=consequence
of ^in++++=of
Fus ^np+++??+=FUS
deficiency ^nn++++=deficiency
but ^cc++++=but,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
dose ^nn++++=dose-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
gain ^nn++++=gain
of ^in++++=of
function ^nn+nom+++=function
that ^tht+rel+subj++=that
leads ^vbz++++=leads
to ^to++++=to
enhanced ^vbi++++=enhanced
perinatal ^jj+atrb+++=perinatal
lethality ^nn+nom+++=lethality
unrelated ^jj++++=unrelated
to ^in++++=to
Mn ^np+++??+=MN
degeneration ^nn+nom+++=degeneration.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
gain ^vb++++=gain-of-function
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
function ^nn+nom+++=EXTRAWORD
versus ^in++++=versus
loss ^nn++++=loss-of-function
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
function ^nn+nom+++=EXTRAWORD
mechanisms ^nns+nom+++=mechanisms
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
fully ^rb+amp+splt++=fully
distinguished ^vpsv++agls+xvbnx+=distinguished
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
data ^nns++++=data
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
Fus ^np+++??+=FUS
toxicity ^nn+nom+++=toxicity
in ^in++++=in
vivo ^rb"++++=vivo
does ^vbz+doz+aux++=does
not ^xnot++not++=not
correlate ^nn+nom+++=correlate
with ^in++++=with
functional ^jj+atrb+++=functional
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Fus ^np+++??+=FUS-P517L,
- ^zz++++=EXTRAWORD
p517l ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
better ^jjr++++=better
able ^jj++++=able
to ^to+jcmp+++=to
rescue ^vb++++=rescue
the ^ati++++=the
Fus ^np+++??+=FUS
knockout ^nn+++??+=knockout
phenotype ^nn+++??+=phenotype,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
toxic ^jj+pred+++=toxic
than ^in++++=than
the ^ati++++=the
less ^rbr++++=less
functional ^jj++++=functional
14 ^cd++++=14
mutant ^nn++++=mutant
Fus ^np+++??+=FUS
protein ^nn++++=protein.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
data ^nns++++=data
find ^vb+vprv+++=find
no ^at++++=no
correlation ^nn+nom+++=correlation
in ^in++++=in
vivo ^rb"++++=vivo
between ^in++++=between
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
cytoplasmic ^jj+atrb+++=cytoplasmic
mislocalization ^nn+nom+++=mislocalization
and ^cc++++=and
toxicity ^nn+nom+++=toxicity
of ^in++++=of
mutant ^nn++++=mutant
Fus ^np+++??+=FUS.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truncated ^jj++++=truncated
14 ^cd++++=14
protein ^nn++++=protein,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
completely ^rb+amp+++=completely
lacks ^vbz++++=lacks
