Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^vbd+++xvbn+=analyzed
temporal ^jj+atrb+++=temporal
variations ^nns+nom+++=variations
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
diagnosis ^nn++++=diagnosis
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
first ^od++++=first
event ^nn++++=event
of ^in++++=of
self ^nn++++=self-harm.
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn+nom+++=proportion
of ^in++++=of
patients ^nns++++=patients
being ^xvbg+++xvbg+=being
diagnosed ^vwbn+++xvbn+=diagnosed
with ^in++++=with
a ^at++++=a
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
time ^nn++++=time)
) ^zz++++=EXTRAWORD
before ^in++++=before
and ^cc++++=and
after ^cs+sub+++=after
the ^ati++++=the
first ^od++++=first
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
event ^nn++++=event
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
and ^cc+phrs+++=and
plotted ^vbd+++xvbn+=plotted.
. ^zz++++=EXTRAWORD
Prevalence ^np+nom++??+=Prevalence
ratios ^nns++++=ratios
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
diagnosis ^nn++++=diagnosis
before ^cs+sub+++=before
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^vb++++=EXTRAWORD
divided ^vpsv++by+xvbn+=divided
by ^in++++=by
prevalence ^nn+nom+++=prevalence
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
disorder ^nn+nom+++=disorder
after ^in++++=after
self ^nn++++=self-harm.
- ^zz++++=EXTRAWORD
harm. ^nn++++=EXTRAWORD
