Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
few ^ap++++=few
survey ^vb++++=survey
data ^nns++++=data
sets ^nns++++=sets
have ^vb+hv+vrb++=have
both ^abx++++=both
comprehensive ^jj+atrb+++=comprehensive
Sep ^jj+atrb+++=SEP
indicators ^nns++++=indicators
and ^cc++++=and
health ^nn++++=health
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
panel ^nn++++=panel
surveys ^nns++++=surveys
that ^tht+rel+obj++=that
document ^nn+nom+++=document
longitudinal ^jj+atrb+++=longitudinal
dynamics ^nn++++=dynamics
of ^in++++=of
Sep ^jj++++=SEP
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Survey ^nn++++=Survey
of ^in++++=of
Income ^nn++++=Income
and ^cc++++=and
Program ^np+++??+=Program
Participation ^nn+nom+++=Participation)
) ^zz++++=EXTRAWORD
collect ^vb++++=collect
information ^nn+nom+++=information
on ^in++++=on
respondents ^nns++++=respondents
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Population ^nn+nom+++=Population
health ^nn++++=health
surveys ^nns++++=surveys
that ^tht+rel+subj++=that
examine ^vb++++=examine
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=EXTRAWORD
health ^nn++++=health
outcomes ^nns+++??+=outcomes
use ^nn++++=use
Sep ^jj+atrb+++=SEP
measures ^nns++++=measures
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
fuzzy ^jj+pred+++=fuzzy.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
consensus ^nn++++=consensus
that ^tht+rel+++=that
Sep ^jj++++=SEP
is ^vbz+bez+vrb++=is
complex ^jj+pred+++=complex
and ^cc+phrs+++=and
multifactorial ^jj++++=multifactorial,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
health ^nn++++=health
studies ^nns++++=studies
that ^tht+rel+subj++=that
consider ^nn+nom+++=consider
Sep ^jj+atrb+++=SEP
use ^nn++++=use
a ^at++++=a
single ^jj++++=single
socioeconomic ^jj++++=socioeconomic
variable ^jj++++=variable
measured ^jj+++xvbn+=measured
at ^rb++++=at
a ^at++++=a
single ^jj+atrb+++=single
period ^nn++++=period
or ^cc++++=or
level ^nn++++=level
and ^cc++++=and
include ^vb++++=include
variables ^nns++++=variables
that ^tht+rel+subj++=that
explain ^vb+vpub+++=explain
why ^wrb+who+whcl++=why
some ^dti++++=some
measures ^nns++++=measures
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
over ^rp++++=over
others ^aps++++=others
( ^zz++++=(
19 ^cd++++=19
) ^zz++++=).
. ^zz++++=EXTRAWORD
Wealth ^nn++++=Wealth
is ^vbz+bez+vrb++=is
an ^at++++=an
underutilized ^jj+++xvbn+=underutilized
yet ^rb++++=yet
important ^jj+atrb+++=important
indicator ^nn++++=indicator
of ^in++++=of
Sep ^jj++++=SEP,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
future ^jjb+atrb+++=future
health ^nn++++=health
studies ^nns++++=studies
should ^md+nec+++=should
measure ^vb++++=measure
wealth ^nn++++=wealth
( ^zz++++=(
94 ^cd++++=94
) ^zz++++=).
. ^zz++++=EXTRAWORD
