Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
algorithm ^nn+++??+=algorithm
validation ^nn+nom+++=validation
was ^vbd+bedz+aux++=was
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
the ^ati++++=the
assessment ^nn+nom+++=assessment
of ^in++++=of
individual ^jj+atrb+++=individual
biopsies ^nns+++??+=biopsies
whereas ^cs+sub+++=whereas,
, ^zz++++=EXTRAWORD
in ^in++++=in
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
pathologists ^nns+nom+++=pathologists
examine ^vb++++=examine
multiple ^jj+atrb+++=multiple
biopsies ^nns+++??+=biopsies
per ^nnu++++=per
patient ^nn++++=patient.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
studies ^nns++++=studies
can ^md+pos+++=can
focus ^vb++++=focus
on ^in++++=on
patient ^nn++++=patient-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
evaluation ^nn+nom+++=evaluation
of ^in++++=of
tissue ^nn++++=tissue
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
multiple ^jj+atrb+++=multiple
cores ^nns++++=cores
and ^cc++++=and
sections ^nns+nom+++=sections
into ^in++++=into
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
final ^jj+atrb+++=final
diagnosis ^nn++++=diagnosis.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
focused ^vbd+++xvbn+=focused
on ^in++++=on
grading ^xvbg+++xvbg+=grading
acinar ^nn+++??+=acinar
adenocarcinoma ^nn+++??+=adenocarcinoma
of ^in++++=of
the ^ati++++=the
prostate ^nn+nom+++=prostate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
algorithm ^nn+++??+=algorithm
responses ^nns++++=responses
to ^in++++=to
other ^ap++++=other
variants ^nns+nom+++=variants
and ^cc++++=and
subtypes ^nns+++??+=subtypes
of ^in++++=of
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
precancerous ^jj+atrb+++=precancerous
